"","word"
"1","york"
"2","now"
"3","year"
"4","week"
"5","ago"
"6","school"
"7","night"
"8","day"
"9","want"
"10","get"
"11","time"
"12","jersey"
"13","know"
"14","sure"
"15","years"
"16","louis"
"17","like"
"18","angeles"
"19","wait"
"20","think"
"21","see"
"22","forward"
"23","much"
"24","going"
"25","states"
"26","make"
"27","francisco"
"28","morning"
"29","bit"
"30","find"
"31","though"
"32","birthday"
"33","cream"
"34","diego"
"35","care"
"36","two"
"37","better"
"38","follow"
"39","never"
"40","one"
"41","city"
"42","month"
"43","will"
"44","media"
"45","weeks"
"46","president"
"47","go"
"48","back"
"49","us"
"50","state"
"51","guilty"
"52","estate"
"53","district"
"54","take"
"55","got"
"56","said"
"57","street"
"58","continue"
"59","show"
"60","work"
"61","else"
"62","post"
"63","even"
"64","luck"
"65","gonna"
"66","people"
"67","times"
"68","favorite"
"69","receiver"
"70","also"
"71","old"
"72","way"
"73","press"
"74","service"
"75","help"
"76","california"
"77","need"
"78","ready"
"79","news"
"80","thing"
"81","just"
"82","still"
"83","christ"
"84","love"
"85","saw"
"86","center"
"87","women"
"88","carolina"
"89","many"
"90","together"
"91","good"
"92","half"
"93","bowl"
"94","can"
"95","days"
"96","house"
"97","obama"
"98","believe"
"99","executive"
"100","council"
"101","worry"
"102","director"
"103","manager"
"104","home"
"105","happy"
"106","really"
"107","sorry"
"108","fall"
"109","season"
"110","weekend"
"111","life"
"112","feel"
"113","county"
"114","lot"
"115","monday"
"116","pepper"
"117","r„s"
"118","university"
"119","court"
"120","war"
"121","actually"
"122","always"
"123","imagine"
"124","learn"
"125","say"
"126","use"
"127","percent"
"128","hall"
"129","types"
"130","judge"
"131","single"
"132","quarter"
"133","jury"
"134","mothers"
"135","insurance"
"136","attack"
"137","enjoy"
"138","youre"
"139","excited"
"140","glad"
"141","ever"
"142","fine"
"143","im"
"144","enforcement"
"145","wage"
"146","fun"
"147","less"
"148","seen"
"149","best"
"150","point"
"151","factory"
"152","barack"
"153","dont"
"154","police"
"155","statement"
"156","thursday"
"157","salt"
"158","stop"
"159","control"
"160","anniversary"
"161","century"
"162","months"
"163","hours"
"164","man"
"165","country"
"166","force"
"167","known"
"168","made"
"169","woman"
"170","th"
"171","world"
"172","buy"
"173","friend"
"174","friends"
"175","play"
"176","rights"
"177","cards"
"178","caring"
"179","seem"
"180","s"
"181","round"
"182","wrong"
"183","beyond"
"184","bed"
"185","give"
"186","deal"
"187","new"
"188","runs"
"189","speaker"
"190","tried"
"191","turned"
"192","wanted"
"193","vegas"
"194","hope"
"195","enough"
"196","sense"
"197","dollars"
"198","orleans"
"199","knows"
"200","department"
"201","officer"
"202","well"
"203","health"
"204","book"
"205","away"
"206","rt"
"207","hes"
"208","last"
"209","federal"
"210","tuned"
"211","action"
"212","party"
"213","god"
"214","right"
"215","first"
"216","games"
"217","dc"
"218","able"
"219","become"
"220","come"
"221","keep"
"222","likely"
"223","soon"
"224","try"
"225","later"
"226","prison"
"227","report"
"228","great"
"229","used"
"230","question"
"231","republic"
"232","corner"
"233","points"
"234","forth"
"235","america"
"236","part"
"237","member"
"238","read"
"239","office"
"240","found"
"241","tell"
"242","write"
"243","phones"
"244","thinking"
"245","shop"
"246","minutes"
"247","card"
"248","forget"
"249","usually"
"250","development"
"251","done"
"252","since"
"253","matter"
"254","members"
"255","government"
"256","free"
"257","third"
"258","place"
"259","twitter"
"260","student"
"261","food"
"262","family"
"263","chance"
"264","rid"
"265","something"
"266","started"
"267","father"
"268","beer"
"269","job"
"270","chris"
"271","hour"
"272","easter"
"273","friday"
"274","level"
"275","look"
"276","oswego"
"277","learning"
"278","long"
"279","saturday"
"280","summer"
"281","alone"
"282","music"
"283","room"
"284","governments"
"285","ones"
"286","address"
"287","students"
"288","things"
"289","cheese"
"290","money"
"291","park"
"292","add"
"293","zealand"
"294","administration"
"295","wall"
"296","brother"
"297","direction"
"298","reason"
"299","three"
"300","might"
"301","game"
"302","share"
"303","increase"
"304","parenthood"
"305","visit"
"306","minister"
"307","safety"
"308","enjoyed"
"309","around"
"310","thats"
"311","today"
"312","tuesday"
"313","wasnt"
"314","thank"
"315","shes"
"316","officials"
"317","email"
"318","vice"
"319","aside"
"320","machine"
"321","top"
"322","different"
"323","miles"
"324","charles"
"325","pats"
"326","steps"
"327","thousands"
"328","st"
"329","u"
"330","following"
"331","woods"
"332","tebow"
"333","mee"
"334","pictures"
"335","start"
"336","loss"
"337","side"
"338","bring"
"339","host"
"340","join"
"341","provide"
"342","remain"
"343","five"
"344","plan"
"345","welcome"
"346","received"
"347","took"
"348","felt"
"349","wants"
"350","building"
"351","general"
"352","near"
"353","stairs"
"354","sheet"
"355","high"
"356","theres"
"357","bang"
"358","mountain"
"359","water"
"360","patrol"
"361","boil"
"362","sugar"
"363","vista"
"364","partner"
"365","cause"
"366","easily"
"367","handle"
"368","longer"
"369","send"
"370","win"
"371","quite"
"372","remember"
"373","church"
"374","bank"
"375","christie"
"376","tree"
"377","commissioner"
"378","mo"
"379","rate"
"380","change"
"381","mike"
"382","guard"
"383","socks"
"384","meeting"
"385","sheriffs"
"386","cakes"
"387","hair"
"388","team"
"389","la"
"390","heat"
"391","crisis"
"392","end"
"393","revenue"
"394","age"
"395","parts"
"396","mean"
"397","mind"
"398","understand"
"399","open"
"400","picks"
"401","next"
"402","rutherford"
"403","sunday"
"404","mixer"
"405","route"
"406","story"
"407","important"
"408","billion"
"409","vermandel"
"410","market"
"411","died"
"412","character"
"413","little"
"414","asleep"
"415","arrived"
"416","date"
"417","episode"
"418","foremost"
"419","heard"
"420","consider"
"421","tape"
"422","drink"
"423","drinks"
"424","coach"
"425","seeing"
"426","seasons"
"427","history"
"428","shipping"
"429","laundry"
"430","mine"
"431","door"
"432","name"
"433","prices"
"434","station"
"435","marriage"
"436","election"
"437","w"
"438","babies"
"439","someone"
"440","check"
"441","far"
"442","brown"
"443","idea"
"444","stuff"
"445","services"
"446","call"
"447","phone"
"448","broeker"
"449","store"
"450","wound"
"451","driving"
"452","er"
"453","sell"
"454","tweeted"
"455","schools"
"456","trinity"
"457","security"
"458","kong"
"459","sauce"
"460","dogs"
"461","foxtrot"
"462","millions"
"463","rather"
"464","looking"
"465","pissed"
"466","pretty"
"467","proud"
"468","frame"
"469","rates"
"470","h"
"471","fest"
"472","added"
"473","bought"
"474","came"
"475","cant"
"476","didnt"
"477","kept"
"478","returned"
"479","sitting"
"480","went"
"481","eye"
"482","cabinets"
"483","feels"
"484","firsthand"
"485","real"
"486","whats"
"487","village"
"488","number"
"489","comment"
"490","ankle"
"491","behind"
"492","elbow"
"493","hand"
"494","holy"
"495","big"
"496","coming"
"497","every"
"498","everything"
"499","nothing"
"500","wish"
"501","booger"
"502","beach"
"503","run"
"504","amazing"
"505","weight"
"506","pounds"
"507","area"
"508","progress"
"509","characters"
"510","league"
"511","difference"
"512","easier"
"513","happen"
"514","easy"
"515","female"
"516","named"
"517","john"
"518","cases"
"519","fans"
"520","materials"
"521","lead"
"522","may"
"523","marijuana"
"524","illness"
"525","christmas"
"526","sound"
