"","x"
"1",10
"2",771
"3",1121
"4",1124
"5",1161
"6",1380
"7",1584
"8",1760
"9",1851
"10",2211
"11",2496
"12",2737
"13",2823
"14",2924
"15",2971
"16",3272
"17",3564
"18",3648
"19",4185
"20",4250
"21",5180
"22",5418
"23",5687
"24",6591
"25",6681
"26",8920
"27",9168
"28",9532
"29",9560
"30",9602
"31",9902
"32",10202
"33",12002
"34",13548
"35",14173
"36",14442
"37",15625
"38",15677
"39",15937
"40",16219
"41",16270
"42",16294
"43",16325
"44",16587
"45",17280
"46",17442
"47",17755
"48",18018
"49",18547
"50",18908
"51",18985
"52",19157
"53",19399
"54",19560
"55",20077
"56",20264
"57",20375
"58",20551
"59",20640
"60",20691
"61",20861
"62",20888
"63",21109
"64",21215
"65",21934
"66",22054
"67",22335
"68",22907
"69",22909
"70",23391
"71",24090
"72",24469
"73",24533
"74",25252
"75",25479
"76",25626
"77",26077
"78",26437
"79",27045
"80",27062
"81",27471
"82",27501
"83",29456
"84",30289
"85",30602
"86",30776
"87",31060
"88",31458
"89",31778
"90",32593
"91",32634
"92",32802
"93",33242
"94",34301
"95",34323
"96",34500
"97",34599
"98",35517
"99",35708
"100",35950
"101",35952
"102",36101
"103",36334
"104",37002
"105",37557
"106",38125
"107",38495
"108",39186
"109",39767
"110",40431
"111",40576
"112",41066
"113",41645
"114",41791
"115",42091
"116",42303
"117",42496
"118",42642
"119",43375
"120",43452
"121",43514
"122",43523
"123",43696
"124",43714
"125",44099
"126",44673
"127",44881
"128",44953
"129",44998
"130",45158
"131",45732
"132",46094
"133",46216
"134",46909
"135",47198
"136",47302
"137",47518
"138",47788
"139",47977
"140",48624
"141",48693
"142",49975
"143",50171
"144",50607
"145",50807
"146",50945
"147",50967
"148",51239
"149",53066
"150",54251
"151",54342
"152",54593
"153",55255
"154",55628
"155",55763
"156",55821
"157",55933
"158",57243
"159",57356
"160",57402
"161",57416
"162",57594
"163",57747
"164",57782
"165",58334
"166",58371
"167",58812
"168",58903
"169",58911
"170",60295
"171",61593
"172",62269
"173",62466
"174",62779
"175",63663
"176",63878
"177",64256
"178",64406
"179",64836
"180",64864
"181",65032
"182",65462
"183",65682
"184",66029
"185",66039
"186",66169
"187",66481
"188",66851
"189",66864
"190",67330
"191",67641
"192",67741
"193",68024
"194",68025
"195",68176
"196",68441
"197",68532
"198",68627
"199",68726
"200",69244
"201",69258
"202",69760
"203",69822
"204",69955
"205",70021
"206",70162
"207",71240
"208",72918
"209",74021
"210",74706
"211",74840
"212",75100
"213",75165
"214",75259
"215",75281
"216",75706
"217",75764
"218",75829
"219",76123
"220",76214
"221",76608
"222",76834
"223",77049
