"","word"
"1","year"
"2","york"
"3","school"
"4","ago"
"5","jersey"
"6","louis"
"7","u"
"8","care"
"9","week"
"10","angeles"
"11","know"
"12","francisco"
"13","now"
"14","time"
"15","said"
"16","years"
"17","got"
"18","statement"
"19","will"
"20","states"
"21","think"
"22","month"
"23","though"
"24","director"
"25","season"
"26","want"
"27","parks"
"28","fountain"
"29","percent"
"30","get"
"31","estate"
"32","court"
"33","come"
"34","day"
"35","thing"
"36","monday"
"37","night"
"38","district"
"39","weeks"
"40","president"
"41","take"
"42","also"
"43","pates"
"44","members"
"45","like"
"46","insurance"
"47","sure"
"48","people"
"49","lot"
"50","dont"
"51","department"
"52","thats"
"53","continue"
"54","make"
"55","old"
"56","world"
"57","laden"
"58","see"
"59","development"
"60","four"
"61","times"
"62","jpmorgan"
"63","two"
"64","bit"
"65","center"
"66","orleans"
"67","game"
"68","barack"
"69","many"
"70","quarter"
"71","months"
"72","since"
"73","street"
"74","prison"
"75","obama"
"76","executive"
"77","council"
"78","sheriffs"
"79","appeals"
"80","kick"
"81","half"
"82","manager"
"83","chris"
"84","going"
"85","tax"
"86","city"
"87","us"
"88","one"
"89","fall"
"90","tournament"
"91","law"
"92","carolina"
"93","god"
"94","best"
"95","bin"
"96","guard"
"97","rebounds"
"98","team"
"99","weve"
"100","board"
"101","games"
"102","rate"
"103","ii"
"104","war"
"105","country"
"106","state"
"107","press"
"108","church"
"109","ten"
"110","cancer"
"111","use"
"112","phone"
"113","christie"
"114","clinic"
"115","back"
"116","county"
"117","comment"
"118","judge"
"119","s"
"120","government"
"121","way"
"122","place"
"123","done"
"124","stout"
"125","liquid"
"126","g"
"127","assets"
"128","room"
"129","jump"
"130","first"
"131","million"
"132","administration"
"133","oil"
"134","point"
"135","side"
"136","north"
"137","can"
"138","dealer"
"139","officers"
"140","good"
"141","hes"
"142","consecutive"
"143","security"
"144","california"
"145","charles"
"146","park"
"147","springs"
"148","cuts"
"149","anniversary"
"150","seasons"
"151","able"
"152","go"
"153","help"
"154","keep"
"155","provide"
"156","police"
"157","available"
"158","museum"
"159","pm"
"160","points"
"161","area"
"162","new"
"163","become"
"164","just"
"165","look"
"166","ohio"
"167","report"
"168","prosecutors"
"169","end"
"170","sum"
"171","conduct"
"172","union"
"173","officer"
"174","say"
"175","friends"
"176","round"
"177","six"
"178","hits"
"179","innings"
"180","agent"
"181","happen"
"182","seen"
"183","coach"
"184","disease"
"185","tony"
"186","run"
"187","cream"
"188","immigration"
"189","prime"
"190","three"
"191","vegas"
"192","weekend"
"193","decision"
"194","possible"
"195","league"
"196","health"
"197","romney"
"198","happened"
"199","england"
"200","parenthood"
"201","guilty"
"202","april"
"203","may"
"204","saturday"
"205","per"
"206","chief"
"207","authority"
"208","whether"
"209","h"
"210","eli"
"211","didnt"
"212","dr"
"213","tuesday"
"214","diego"
"215","ana"
"216","districts"
"217","bill"
"218","aside"
"219","last"
"220","america"
"221","training"
"222","championship"
"223","university"
"224","breaks"
"225","days"
"226","hours"
"227","afternoon"
"228","open"
"229","put"
"230","coast"
"231","house"
"232","wine"
"233","always"
"234","lead"
"235","likely"
"236","never"
"237","hard"
"238","boy"
"239","shakopee"
"240","son"
"241","later"
"242","another"
"243","housing"
"244","field"
"245","certainly"
"246","every"
"247","issued"
"248","seeking"
"249","getting"
"250","money"
"251","chance"
"252","else"
"253","information"
"254","outstanding"
"255","crafts"
"256","travel"
"257","murder"
"258","general"
"259","office"
"260","won"
"261","home"
"262","obamas"
"263","ladens"
"264","hills"
"265","directors"
"266","education"
"267","member"
"268","patrol"
"269","line"
"270","columbia"
"271","mountain"
"272","deficit"
"273","community"
"274","hon"
"275","cause"
"276","change"
"277","allowance"
"278","share"
"279","operating"
"280","de"
"281","officials"
"282","rights"
"283","staff"
"284","alive"
"285","college"
"286","call"
"287","minutes"
"288","club"
"289","jail"
"290","man"
"291","warrant"
"292","documents"
"293","records"
"294","jobs"
"295","butte"
"296","released"
"297","mayo"
"298","played"
"299","ways"
"300","believe"
"301","quite"
"302","expect"
"303","play"
"304","orange"
"305","conference"
"306","growth"
"307","issue"
"308","management"
"309","banks"
"310","planning"
"311","comfortable"
"312","service"
"313","pound"
"314","five"
"315","throw"
"316","throws"
"317","cost"
"318","giffords"
"319","prices"
"320","station"
"321","marriage"
"322","fund"
"323","work"
"324","baskets"
"325","brown"
"326","enough"
"327","job"
"328","arnold"
"329","john"
"330","spending"
"331","jury"
"332","prix"
"333","lakes"
"334","store"
"335","number"
"336","fame"
"337","still"
"338","expected"
"339","sales"
"340","kong"
"341","immigrants"
"342","creation"
"343","kasich"
"344","mccain"
"345","system"
"346","feet"
"347","saying"
"348","short"
"349","ages"
"350","crimson"
"351","ive"
"352","erie"
"353","oswego"
"354","saint"
"355","summer"
"356","th"
"357","enforcement"
"358","firm"
"359","filed"
"360","knee"
"361","third"
"362","turn"
"363","big"
"364","face"
"365","music"
"366","poverty"
"367","forward"
"368","courses"
"369","sense"
"370","cited"
"371","camby"
"372","research"
"373","heat"
"374","millions"
"375","voted"
"376","atlantic"
"377","schools"
"378","according"
"379","euros"
"380","dollars"
"381","seconds"
"382","guides"
"383","pelosi"
"384","gas"
"385","billion"
"386","made"
"387","brunswick"
"388","high"
"389","hope"
"390","jerseys"
"391","technology"
"392","beach"
"393","ballot"
"394","things"
"395","scott"
"396","july"
"397","june"
"398","cut"
"399","washington"
"400","butter"
"401","trying"
"402","raise"
"403","art"
"404","noir"
"405","hill"
"406","sunday"
"407","thursday"
"408","wednesday"
"409","departments"
"410","spokesman"
"411","speech"
"412","ceo"
"413","minister"
"414","taxes"
"415","together"
"416","deal"
"417","well"
"418","asked"
"419","carpet"
"420","risk"
"421","freedom"
"422","silent"
"423","gabrielle"
"424","near"
