"","x"
"1",1
"2",2
"3",4
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",13
"11",14
"12",15
"13",16
"14",18
"15",21
"16",23
"17",26
"18",27
"19",28
"20",29
"21",32
"22",33
"23",34
"24",36
"25",37
"26",38
"27",40
"28",42
"29",44
"30",45
"31",47
"32",48
"33",49
"34",51
"35",53
"36",54
"37",56
"38",57
"39",58
"40",59
"41",60
"42",61
"43",62
"44",65
"45",67
"46",70
"47",71
"48",72
"49",73
"50",75
"51",76
"52",77
"53",80
"54",81
"55",82
"56",83
"57",84
"58",86
"59",87
"60",88
"61",91
"62",92
"63",93
"64",94
"65",96
"66",98
"67",99
"68",100
"69",101
"70",102
"71",104
"72",106
"73",107
"74",108
"75",109
"76",110
"77",114
"78",115
"79",116
"80",117
"81",121
"82",124
"83",125
"84",126
"85",127
"86",128
"87",129
"88",131
"89",134
"90",135
"91",136
"92",137
"93",139
"94",140
"95",141
"96",142
"97",144
"98",145
"99",146
"100",147
"101",149
"102",150
"103",152
"104",153
"105",154
"106",155
"107",156
"108",158
"109",160
"110",162
"111",164
"112",169
"113",170
"114",175
"115",176
"116",177
"117",179
"118",180
"119",181
"120",182
"121",183
"122",184
"123",185
"124",187
"125",188
"126",189
"127",190
"128",191
"129",193
"130",194
"131",197
"132",198
"133",199
"134",201
"135",205
"136",210
"137",211
"138",212
"139",213
"140",214
"141",215
"142",216
"143",217
"144",219
"145",221
"146",222
"147",224
"148",225
"149",226
"150",228
"151",233
"152",234
"153",236
"154",237
"155",238
"156",240
"157",241
"158",242
"159",243
"160",244
"161",247
"162",249
"163",251
"164",252
"165",253
"166",254
"167",256
"168",258
"169",261
"170",263
"171",264
"172",265
"173",268
"174",269
"175",273
"176",274
"177",277
"178",278
"179",280
"180",281
"181",282
"182",284
"183",285
"184",286
"185",287
"186",291
"187",292
"188",294
"189",295
"190",296
"191",297
"192",298
"193",304
"194",306
"195",307
"196",308
"197",310
"198",311
"199",313
"200",315
"201",316
"202",319
"203",320
"204",321
"205",325
"206",328
"207",329
"208",333
"209",335
"210",336
"211",337
"212",339
"213",340
"214",341
"215",342
"216",343
"217",344
"218",345
"219",348
"220",349
"221",351
"222",352
"223",355
"224",356
"225",357
"226",358
"227",362
"228",363
"229",368
"230",369
"231",370
"232",372
"233",373
"234",375
"235",378
"236",380
"237",383
"238",384
"239",385
"240",387
"241",389
"242",390
"243",392
"244",393
"245",396
"246",397
"247",400
"248",401
"249",403
"250",405
"251",406
"252",407
"253",409
"254",410
"255",412
"256",415
"257",416
"258",417
"259",418
"260",419
"261",421
"262",422
"263",423
"264",424
"265",425
"266",427
"267",428
"268",430
"269",431
"270",432
"271",433
"272",434
"273",435
"274",437
"275",438
"276",440
"277",442
"278",443
"279",444
"280",445
"281",449
"282",450
"283",453
"284",456
"285",458
"286",459
"287",461
"288",463
"289",464
"290",465
"291",467
"292",469
"293",472
"294",473
"295",474
"296",475
"297",476
"298",477
"299",479
"300",480
"301",481
"302",482
"303",484
"304",485
"305",486
"306",487
"307",488
"308",490
"309",493
"310",494
"311",496
"312",497
"313",498
"314",499
"315",501
"316",503
"317",505
"318",506
"319",507
"320",510
"321",513
"322",514
"323",518
"324",520
"325",522
"326",524
"327",525
"328",526
"329",527
"330",533
"331",534
"332",535
"333",536
"334",538
"335",539
"336",540
"337",541
"338",542
"339",546
"340",549
"341",550
"342",551
"343",552
"344",553
"345",554
"346",555
"347",556
"348",557
"349",560
"350",561
"351",564
"352",565
"353",568
"354",569
"355",570
"356",571
"357",572
"358",574
"359",575
"360",578
"361",579
"362",581
"363",582
"364",585
"365",586
"366",587
"367",588
"368",589
"369",590
"370",591
"371",592
"372",593
"373",595
"374",599
"375",600
"376",601
"377",604
"378",606
"379",607
"380",608
"381",609
"382",610
"383",611
"384",613
"385",615
"386",616
"387",618
"388",619
"389",620
"390",621
"391",623
"392",626
"393",627
"394",629
"395",631
"396",635
"397",638
"398",642
"399",643
"400",644
"401",645
"402",646
"403",649
"404",650
"405",651
"406",655
"407",656
"408",657
"409",659
"410",662
"411",663
"412",664
"413",665
"414",666
"415",667
"416",668
"417",669
"418",670
"419",671
"420",674
"421",676
"422",679
"423",680
"424",684
"425",685
"426",687
"427",691
"428",692
"429",694
"430",695
"431",696
"432",699
"433",701
"434",702
"435",705
"436",707
"437",708
"438",710
"439",711
"440",712
"441",715
"442",716
"443",717
"444",718
"445",719
"446",722
"447",725
"448",727
"449",730
"450",734
"451",735
"452",736
