"","word"
"1","york"
"2","year"
"3","now"
"4","school"
"5","know"
"6","ago"
"7","night"
"8","week"
"9","get"
"10","time"
"11","day"
"12","sure"
"13","jersey"
"14","though"
"15","like"
"16","wait"
"17","see"
"18","louis"
"19","going"
"20","states"
"21","think"
"22","u"
"23","care"
"24","angeles"
"25","old"
"26","want"
"27","go"
"28","years"
"29","francisco"
"30","estate"
"31","forward"
"32","got"
"33","people"
"34","thing"
"35","just"
"36","bit"
"37","days"
"38","weeks"
"39","make"
"40","back"
"41","morning"
"42","much"
"43","else"
"44","also"
"45","birthday"
"46","one"
"47","said"
"48","will"
"49","media"
"50","take"
"51","luck"
"52","month"
"53","good"
"54","statement"
"55","come"
"56","never"
"57","use"
"58","cream"
"59","times"
"60","best"
"61","point"
"62","lot"
"63","new"
"64","say"
"65","director"
"66","can"
"67","season"
"68","two"
"69","district"
"70","court"
"71","century"
"72","always"
"73","help"
"74","single"
"75","glad"
"76","really"
"77","dont"
"78","im"
"79","favorite"
"80","diego"
"81","follow"
"82","way"
"83","home"
"84","still"
"85","phone"
"86","forget"
"87","seen"
"88","parks"
"89","gonna"
"90","happy"
"91","fountain"
"92","percent"
"93","months"
"94","continue"
"95","country"
"96","world"
"97","find"
"98","even"
"99","ready"
"100","another"
"101","wanted"
"102","love"
"103","things"
"104","fun"
"105","together"
"106","africa"
"107","tuned"
"108","following"
"109","since"
"110","hours"
"111","president"
"112","give"
"113","friend"
"114","post"
"115","imagine"
"116","tell"
"117","council"
"118","s"
"119","friends"
"120","done"
"121","deal"
"122","suk"
"123","excited"
"124","getting"
"125","us"
"126","weekend"
"127","great"
"128","better"
"129","orleans"
"130","carolina"
"131","oil"
"132","minister"
"133","need"
"134","monday"
"135","security"
"136","anniversary"
"137","street"
"138","happen"
"139","keep"
"140","city"
"141","obama"
"142","white"
"143","cancer"
"144","look"
"145","believe"
"146","de"
"147","pates"
"148","members"
"149","mayo"
"150","feel"
"151","worry"
"152","development"
"153","free"
"154","place"
"155","idea"
"156","store"
"157","work"
"158","insurance"
"159","looking"
"160","came"
"161","vegas"
"162","room"
"163","england"
"164","god"
"165","side"
"166","department"
"167","officers"
"168","life"
"169","many"
"170","thats"
"171","half"
"172","later"
"173","corner"
"174","sheet"
"175","laden"
"176","easily"
"177","hear"
"178","used"
"179","min"
"180","page"
"181","four"
"182","round"
"183","away"
"184","jpmorgan"
"185","ha"
"186","disease"
"187","proud"
"188","trying"
"189","stout"
"190","tax"
"191","ever"
"192","christ"
"193","little"
"194","saw"
"195","decision"
"196","sense"
"197","center"
"198","romney"
"199","tournament"
"200","law"
"201","yeah"
"202","first"
"203","game"
"204","barack"
"205","book"
"206","yes"
"207","quarter"
"208","rt"
"209","r"
"210","house"
"211","allow"
"212","war"
"213","prison"
"214","report"
"215","state"
"216","every"
"217","soon"
"218","across"
"219","become"
"220","cause"
"221","executive"
"222","sheriffs"
"223","appeals"
"224","service"
"225","mean"
"226","kick"
"227","bad"
"228","six"
"229","marriage"
"230","manager"
"231","bless"
"232","try"
"233","enough"
"234","job"
"235","news"
"236","chris"
"237","mothers"
"238","rights"
"239","sorry"
"240","tired"
"241","three"
"242","fall"
"243","summer"
"244","last"
"245","minutes"
"246","lies"
"247","bulb"
"248","music"
"249","difference"
"250","ways"
"251","stewart"
"252","well"
"253","dad"
"254","easier"
"255","less"
"256","america"
"257","bin"
"258","paper"
"259","butter"
"260","guard"
"261","rebounds"
"262","cool"
"263","whether"
"264","hope"
"265","team"
"266","hand"
"267","didnt"
"268","hes"
"269","weve"
"270","board"
"271","aside"
"272","games"
"273","playing"
"274","university"
"275","bowl"
"276","rate"
"277","party"
"278","different"
"279","seasons"
"280","ii"
"281","dc"
"282","able"
"283","add"
"284","provide"
"285","remain"
"286","hard"
"287","cup"
"288","welcome"
"289","force"
"290","museum"
"291","questions"
"292","nigga"
"293","press"
"294","church"
"295","ten"
"296","hair"
"297","series"
"298","brenda"
"299","buy"
"300","change"
"301","found"
"302","made"
"303","play"
"304","afford"
"305","christie"
"306","clinic"
"307","ohio"
"308","beer"
"309","county"
"310","long"
"311","right"
"312","comment"
"313","judge"
"314","expect"
"315","miss"
"316","understand"
"317","march"
"318","coast"
"319","paso"
"320","worse"
"321","government"
"322","let"
"323","processor"
"324","agent"
"325","door"
"326","rid"
"327","card"
"328","wrong"
"329","bed"
"330","brown"
"331","start"
"332","hour"
"333","coach"
"334","run"
"335","park"
"336","bored"
"337","pretty"
"338","talking"
"339","thinking"
"340","working"
"341","liquid"
"342","ask"
"343","cant"
"344","fine"
"345","finished"
"346","saying"
"347","told"
"348","g"
"349","nights"
"350","thursday"
"351","alone"
"352","without"
"353","assets"
"354","boy"
"355","girl"
"356","jump"
"357","term"
"358","adjustments"
"359","others"
"360","may"
"361","grose"
"362","needed"
"363","million"
"364","thought"
"365","album"
"366","zealand"
"367","administration"
"368","biggest"
"369","step"
"370","north"
"371","fruit"
"372","calls"
"373","dealer"
"374","pm"
"375","view"
"376","officer"
"377","conference"
"378","foot"
"379","enjoyed"
"380","pepper"
"381","districts"
"382","consecutive"
"383","business"
"384","california"
"385","money"
"386","word"
"387","charles"
"388","wars"
"389","blog"
"390","springs"
"391","group"
"392","cuts"
"393","might"
"394","self"
"395","figure"
"396","military"
"397","around"
"398","end"
"399","loss"
"400","definitely"
"401","lead"
"402","likely"
"403","ny"
"404","brother"
"405","police"
"406","exercise"
"407","american"
"408","certainly"
"409","available"
"410","th"
"411","crafts"
"412","question"
"413","points"
"414","onto"
"415","noble"
"416","area"
"417","part"
"418","blue"
"419","girls"
"420","columbia"
"421","sister"
"422","actually"
"423","anyone"
"424","call"
"425","eat"
"426","stop"
"427","win"
"428","check"
"429","something"
"430","club"
"431","prosecutors"
"432","theory"
"433","coffee"
"434","seem"
"435","sum"
"436","conduct"
"437","quite"
"438","address"
"439","union"
"440","harder"
"441","today"
"442","twitter"
"443","beyond"
"444","comfortable"
"445","line"
"446","heard"
"447","hits"
"448","innings"
"449","throw"
"450","giffords"
"451","station"
"452","ahead"
"453","involved"
"454","next"
"455","real"
"456","story"
"457","stuff"
"458","event"
"459","lakes"
