"","word"
"1","new"
"2","last"
"3","right"
"4","high"
"5","dont"
"6","years"
"7","can"
"8","first"
"9","every"
"10","make"
"11","even"
"12","feel"
"13","cant"
"14","one"
"15","st"
"16","im"
"17","united"
"18","u"
"19","health"
"20","los"
"21","just"
"22","looks"
"23","year"
"24","lets"
"25","look"
"26","two"
"27","next"
"28","san"
"29","long"
"30","real"
"31","looking"
"32","weve"
"33","many"
"34","will"
"35","little"
"36","sounds"
"37","three"
"38","go"
"39","good"
"40","pretty"
"41","several"
"42","anyone"
"43","happy"
"44","officials"
"45","said"
"46","social"
"47","five"
"48","four"
"49","mothers"
"50","really"
"51","things"
"52","feels"
"53","follow"
"54","ice"
"55","ive"
"56","let"
"57","parking"
"58","police"
"59","brand"
"60","didnt"
"61","executive"
"62","get"
"63","know"
"64","recent"
"65","saturday"
"66","school"
"67","supreme"
"68","th"
"69","months"
"70","now"
"71","people"
"72","someone"
"73","thanks"
"74","wait"
"75","want"
"76","weeks"
"77","york"
"78","along"
"79","also"
"80","back"
"81","cell"
"82","coming"
"83","ever"
"84","fountain"
"85","need"
"86","pates"
"87","percent"
"88","trying"
"89","way"
"90","youve"
"91","across"
"92","around"
"93","best"
"94","couple"
"95","felt"
"96","going"
"97","least"
"98","love"
"99","much"
"100","put"
"101","second"
"102","seems"
"103","south"
"104","stay"
"105","time"
"106","vice"
"107","yet"
"108","blog"
"109","city"
"110","days"
"111","doesnt"
"112","early"
"113","family"
"114","great"
"115","hyun"
"116","join"
"117","makes"
"118","north"
"119","olive"
"120","prime"
"121","something"
"122","take"
"123","think"
"124","try"
"125","valentines"
"126","wall"
"127","barack"
"128","black"
"129","breast"
"130","came"
"131","cinco"
"132","classic"
"133","come"
"134","council"
"135","day"
"136","de"
"137","earlier"
"138","economic"
"139","everything"
"140","find"
"141","friday"
"142","getting"
"143","grocery"
"144","hard"
"145","id"
"146","las"
"147","like"
"148","living"
"149","looked"
"150","maybe"
"151","number"
"152","oh"
"153","past"
"154","please"
"155","rose"
"156","six"
"157","today"
"158","us"
"159","well"
"160","absolutely"
"161","always"
"162","anything"
"163","baking"
"164","bin"
"165","chang"
"166","everyone"
"167","facebook"
"168","final"
"169","give"
"170","giving"
"171","h"
"172","ha"
"173","havent"
"174","heart"
"175","imperial"
"176","income"
"177","jae"
"178","jesus"
"179","lot"
"180","made"
"181","medical"
"182","mitt"
"183","monday"
"184","moving"
"185","ncaa"
"186","never"
"187","nothing"
"188","per"
"189","president"
"190","read"
"191","say"
"192","spending"
"193","ten"
"194","thats"
"195","whats"
"196","white"
"197","world"
"198","young"
"199","according"
"200","almost"
"201","another"
"202","anytime"
"203","beautiful"
"204","better"
"205","chief"
"206","comes"
"207","county"
"208","court"
"209","customer"
"210","dining"
"211","either"
"212","elementary"
"213","eli"
"214","fiscal"
"215","gay"
"216","general"
"217","god"
"218","got"
"219","gov"
"220","help"
"221","hes"
"222","hope"
"223","human"
"224","issued"
"225","jersey"
"226","jpmorgan"
"227","late"
"228","lies"
"229","light"
"230","live"
"231","making"
"232","martha"
"233","may"
"234","might"
"235","mom"
"236","osama"
"237","passed"
"238","patterned"
"239","peanut"
"240","point"
"241","points"
"242","question"
"243","relay"
"244","see"
"245","set"
"246","spend"
"247","started"
"248","state"
"249","still"
"250","super"
"251","tax"
"252","tea"
"253","tell"
"254","thank"
"255","told"
"256","unemployment"
"257","war"
"258","washington"
"259","work"
"260","youre"
"261","act"
"262","ago"
"263","air"
"264","art"
"265","ask"
"266","ass"
"267","associated"
"268","bake"
"269","baptist"
"270","believe"
"271","big"
"272","board"
"273","book"
"274","brenda"
"275","bring"
"276","brought"
"277","building"
"278","chris"
"279","cleveland"
"280","comic"
"281","company"
"282","couldnt"
"283","craft"
"284","cute"
"285","cuyahoga"
"286","declined"
"287","desperately"
"288","district"
"289","east"
"290","el"
"291","end"
"292","excited"
"293","experts"
"294","fair"
"295","federal"
"296","feeling"
"297","fell"
"298","food"
"299","free"
"300","front"
"301","gift"
"302","golden"
"303","group"
"304","half"
"305","head"
"306","hey"
"307","home"
"308","hyde"
"309","ill"
"310","kick"
"311","later"
"312","life"
"313","liquid"
"314","louis"
"315","million"
"316","minutes"
"317","month"
"318","move"
"319","mrs"
"320","must"
"321","national"
"322","nearly"
"323","obama"
"324","ohio"
"325","parkway"
"326","passion"
"327","phone"
"328","plain"
"329","pm"
"330","press"
"331","quite"
"332","regular"
"333","salt"
"334","seem"
"335","seemed"
"336","seven"
"337","since"
"338","small"
"339","sound"
"340","sour"
"341","southern"
"342","spread"
"343","star"
"344","steamboat"
"345","sunday"
"346","support"
"347","sure"
"348","team"
"349","theres"
"350","third"
"351","thought"
"352","took"
"353","true"
"354","tuesday"
"355","wanted"
"356","wasnt"
"357","weight"
"358","west"
"359","wrong"
"360","yes"
"361","youll"
"362","younger"
"363","able"
"364","aerobic"
"365","african"
"366","already"
"367","although"
"368","april"
"369","arts"
"370","atlantic"
"371","avenue"
"372","averaging"
"373","away"
"374","bad"
"375","barnes"
"376","bay"
"377","boys"
"378","british"
"379","brother"
"380","build"
"381","california"
"382","cause"
"383","chance"
"384","circuit"
"385","civil"
"386","conference"
"387","contributed"
"388","cook"
"389","country"
"390","cricket"
"391","critical"
"392","cup"
"393","decided"
"394","defensive"
"395","design"
"396","determine"
"397","different"
"398","difficult"
"399","dim"
"400","disorderly"
"401","eastern"
"402","else"
"403","email"
"404","enough"
"405","essex"
"406","european"
"407","far"
"408","favorite"
"409","february"
"410","finally"
"411","finish"
"412","football"
"413","fourth"
"414","funny"
"415","gabrielle"
"416","game"
"417","gas"
"418","gave"
"419","glad"
"420","grilled"
"421","guess"
"422","gun"
"423","holiday"
"424","hong"
"425","hopefully"
"426","hotel"
"427","hunger"
"428","illegal"
"429","isnt"
"430","job"
"431","jones"
"432","july"
"433","kansas"
"434","keep"
"435","kids"
"436","knew"
"437","lake"
"438","law"
"439","left"
"440","location"
"441","lose"
"442","loved"
"443","major"
"444","march"
"445","mean"
"446","medium"
"447","mediumhigh"
"448","mega"
"449","mental"
"450","middle"
"451","middlesex"
"452","millions"
"453","miss"
"454","mmfmorgan"
"455","moved"
"456","mr"
"457","night"
"458","oil"
"459","old"
"460","open"
"461","orange"
"462","order"
"463","oregon"
"464","paintball"
"465","penn"
"466","peoples"
"467","pine"
"468","planned"
"469","pleaded"
"470","port"
"471","post"
"472","probably"
"473","program"
"474","public"
"475","r"
"476","radio"
"477","recently"
"478","red"
"479","river"
"480","road"
"481","roman"
"482","romney"
"483","rt"
"484","run"
"485","santa"
"486","sea"
"487","secretary"
"488","senate"
"489","seung"
"490","short"
"491","simply"
"492","singing"
"493","single"
"494","smelly"
"495","soon"
"496","spent"
"497","spokesman"
"498","spring"
"499","staff"
"500","stamp"
"501","standing"
"502","start"
"503","students"
"504","taken"
"505","taking"
"506","theyre"
"507","though"
"508","thursday"
"509","times"
"510","tomorrow"
"511","tonight"
"512","transition"
"513","turned"
"514","tv"
"515","use"
"516","waiting"
"517","walk"
"518","walking"
"519","watch"
"520","wednesday"
"521","week"
"522","went"
"523","whenever"
"524","whether"
"525","whipped"
"526","whoa"
"527","whole"
"528","widely"
"529","within"
"530","wonderful"
"531","wont"
"532","worked"
"533","working"
"534","wouldnt"
"535","yearold"
"536","academy"
"537","acting"
"538","adams"
"539","admit"
"540","advent"
"541","affordable"
"542","aged"
"543","agreed"
"544","albert"
"545","allow"
"546","american"
"547","americans"
"548","among"
"549","amount"
"550","angeles"
"551","anne"
"552","announced"
"553","answer"
"554","answered"
"555","answering"
"556","arrested"
"557","asked"
"558","attempted"
"559","attorney"
"560","attorneys"
"561","automakers"
"562","available"
"563","bank"
"564","baseball"
"565","bbq"
"566","begins"
"567","behind"
"568","biggest"
"569","bill"
"570","birth"
"571","bit"
"572","block"
"573","blood"
"574","bloomfield"
"575","border"
"576","born"
"577","bottom"
"578","breaking"
"579","brewing"
"580","brick"
"581","bride"
"582","brokeback"
"583","brown"
"584","bucket"
"585","budget"
"586","business"
"587","busy"
"588","butte"
"589","buy"
"590","cafe"
"591","called"
"592","cancer"
"593","car"
"594","care"
"595","case"
"596","caught"
"597","center"
"598","centered"
"599","central"
"600","cents"
"601","certain"
"602","championship"
"603","chances"
"604","changed"
"605","child"
"606","children"
"607","chinese"
"608","chores"
"609","christie"
"610","church"
"611","clackamas"
"612","classes"
"613","clean"
"614","close"
"615","closed"
"616","coach"
"617","coaching"
"618","college"
"619","columbia"
"620","columbus"
"621","common"
"622","community"
"623","connect"
"624","constant"
"625","construction"
"626","contact"
"627","cool"
"628","crack"
"629","cream"
"630","create"
"631","crested"
"632","cross"
"633","crowd"
"634","cut"
"635","cuts"
"636","cutting"
"637","d"
"638","dance"
"639","dark"
"640","data"
"641","debt"
"642","debut"
"643","december"
"644","deep"
"645","defense"
"646","definitely"
"647","department"
"648","deputy"
"649","determined"
"650","distress"
"651","dominican"
"652","done"
"653","double"
"654","downtown"
"655","drinking"
"656","earn"
"657","easily"
"658","easy"
"659","eat"
"660","eclectic"
"661","education"
"662","eight"
"663","emergency"
"664","energy"
"665","entirely"
"666","entry"
"667","estate"
"668","ethnic"
"669","everyday"
"670","except"
"671","expect"
"672","experience"
"673","extra"
"674","faces"
"675","factors"
"676","fall"
"677","fans"
"678","fast"
"679","father"
"680","feet"
"681","fewer"
"682","fictional"
"683","fight"
"684","financial"
"685","fingers"
"686","fire"
"687","firstdegree"
"688","foot"
"689","foreign"
"690","former"
"691","found"
"692","fox"
"693","french"
"694","fresh"
"695","friend"
"696","friends"
"697","full"
"698","games"
"699","gang"
"700","girls"
"701","given"
"702","global"
"703","goal"
"704","goat"
"705","goes"
"706","gold"
"707","gonna"
"708","goods"
"709","gop"
"710","gorgeous"
"711","government"
"712","grand"
"713","granite"
"714","green"
"715","grow"
"716","growing"
"717","guest"
"718","gummi"
"719","guy"
"720","guys"
"721","haha"
"722","hall"
"723","hand"
"724","heavenly"
"725","hell"
"726","hello"
"727","hi"
"728","higher"
"729","hip"
"730","hit"
"731","honestly"
"732","hoped"
"733","hospital"
"734","hours"
"735","house"
"736","however"
"737","hundreds"
"738","important"
"739","including"
"740","independence"
"741","insurance"
"742","jean"
"743","john"
"744","judicial"
"745","jump"
"746","june"
"747","junior"
"748","junk"
"749","justin"
"750","keeps"
"751","kelly"
"752","kind"
"753","kinda"
"754","king"
"755","knowledge"
"756","labor"
"757","large"
"758","lawsuit"
"759","leader"
"760","less"
"761","letters"
"762","level"
"763","lgbt"
"764","license"
"765","likely"
"766","line"
"767","lined"
"768","local"
"769","lol"
"770","lord"
"771","lower"
"772","lucky"
"773","luther"
"774","main"
"775","man"
"776","manglik"
"777","marcus"
"778","martin"
"779","matter"
"780","matters"
"781","max"
"782","mayoral"
"783","meat"
"784","members"
"785","mid"
"786","miles"
"787","minute"
"788","mix"
"789","mmfservice"
"790","money"
"791","morning"
"792","mountain"
"793","mouth"
"794","multiple"
"795","mycoplasma"
"796","nancy"
"797","natural"
"798","needed"
"799","needless"
"800","newport"
"801","news"
"802","none"
"803","november"
"804","nowhere"
"805","office"
"806","official"
"807","oklahoma"
"808","older"
"809","ones"
"810","onto"
"811","opening"
"812","operating"
"813","others"
"814","oude"
"815","outstanding"
"816","pacific"
"817","palo"
"818","paper"
"819","parchment"
"820","parents"
"821","parks"
"822","parmesan"
"823","part"
"824","pay"
"825","pdt"
"826","peace"
"827","performance"
"828","person"
"829","peyton"
"830","philadelphia"
