"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct","prediction9","prediction10"
"1","We love you Mr. Brown.","we love you mr",5,"brown","obama","edwards","smith","bushs","doublebarrel","mendahun","pants","requiro",0.0800000000017462,FALSE,NA,NA
"2","If you have an alternative argument, let's hear it! :)","if you have an alternative argument lets",8,"hear","go","get","see","just","say","keep","hope","put",0.0199999999967986,FALSE,NA,NA
"3","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","i am enroute to cornwall again months of slog and sun and sea too always a job needs doing in a tourist",23,"town",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"4","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","the also mention the effect on the night sky an issue we raised in our report which again was ignore by lancing parish",24,"council","council",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE,NA,NA
"5","State contracts worth over 100 MILLION ringgit!","state contracts",3,"worth","come","add","worth","orange","goods","hiring","followed","mazzocchi",0,TRUE,NA,NA
"6","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”","people like you",4,"are","are","have","to",NA,NA,NA,NA,NA,0.0200000000040745,TRUE,NA,NA
"7","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”","a neighbor recommended “chasing fireflies” by charles martin i’d never read anything by martin before although he was this neighbor’s favorite author “fireflies” is the story of chase a journalist who never knew his parents and was adopted by “unc” a colorful resident of a small georgia town",49,"whose","town","friday","southern","def","tech","militia","regiment","salpa",0.0299999999988358,FALSE,NA,NA
"8","Fallout by Ellen Hopkins (p.1-140)","fallout",2,"by","original","ellen",NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA
"9","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","april was a month for new beginnings firstly i finally finished my exams and if all is good i’ll be graduating in may it still feels weird to know that the business degree i’ve been working for four years is finally mine so now i’m in the process of looking for a new job secondly i finally began moving in with my boyfriend of four years and that’s a bit nervewrecking as for reading books the last week of april gave me an opportunity to relax and enjoy a few stories as you will see i have not finished much but i have successfully began several hefty novels i am happy with the progress i’ve made so far and the quality of books i’ve picked to read the fellowship of the ring is surprisingly easy to read considering all my fears about tolkien and his writing i am loving a clash of kings even though this season took a few liberties concerning the plot master and margarita is my first russian novel in a long time and i have to say it’s surprisingly refreshing i had to postpone my virginia woolf experience for later as i find that i am just not in the mood for it i should be returning to it",214,"a","the","be","say","your","their",NA,NA,NA,0.0499999999956344,FALSE,NA,NA
"10","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","i was hoping howie would smash his face",9,"in","feeling","value","earth","fears","like","years","people","make",0.0299999999988358,FALSE,"one","new"
"11","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","contains dmae which provides firming and toning benefits enhances facial contours an antiinflammatory that enhances the strength of other antioxidant therapiesvitamin c ester patented a powerful antioxidant that improves firmness and elasticity diminishes the appearance of fine lines",39,"wrinkles","can","long","just","since","job","hes","add","read",0.0500000000029104,FALSE,"ill","filed"
"12","for I did not come to condemn the world but to save the world.","for i did not come to condemn the",9,"world","world","asks",NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE,NA,NA
"13","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and",78,"i","this",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"14","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","point if it’s a show that your kid wants a show about a book is always",17,"better","good","will","think","one","remember","grateful","know","like",0.0199999999967986,FALSE,"going","go"
