"","x"
"1",2
"2",6
"3",12
"4",14
"5",15
"6",16
"7",19
"8",20
"9",22
"10",23
"11",24
"12",25
"13",26
"14",27
"15",28
"16",29
"17",31
"18",32
"19",34
"20",35
"21",36
"22",42
"23",45
"24",49
"25",51
"26",52
"27",53
"28",58
"29",62
"30",65
"31",67
"32",74
"33",75
"34",77
"35",80
"36",81
"37",83
"38",88
"39",89
"40",92
"41",93
"42",94
"43",96
"44",99
"45",104
"46",107
"47",108
"48",110
"49",111
"50",112
"51",114
"52",117
"53",119
"54",121
"55",124
"56",125
"57",127
"58",128
"59",129
"60",130
"61",134
"62",142
"63",145
"64",147
"65",149
"66",150
"67",152
"68",153
"69",154
"70",156
"71",158
"72",164
"73",166
"74",169
"75",170
"76",174
"77",176
"78",177
"79",178
"80",180
"81",183
"82",185
"83",186
"84",187
"85",188
"86",189
"87",191
"88",193
"89",195
"90",196
"91",197
"92",198
"93",204
"94",208
"95",209
"96",212
"97",213
"98",224
"99",226
"100",229
"101",230
"102",232
"103",233
"104",234
"105",236
"106",238
"107",239
"108",240
"109",242
"110",251
"111",252
"112",255
"113",260
"114",261
"115",262
"116",263
"117",265
"118",266
"119",271
"120",272
"121",274
"122",276
"123",277
"124",281
"125",282
"126",283
"127",285
"128",286
"129",288
"130",290
"131",291
"132",292
"133",293
"134",295
"135",297
"136",298
"137",299
"138",301
"139",302
"140",303
"141",307
"142",310
"143",311
"144",312
"145",314
"146",316
"147",317
"148",319
"149",324
"150",326
"151",336
"152",338
"153",339
"154",341
"155",342
"156",347
"157",348
"158",349
"159",353
"160",354
"161",356
"162",358
"163",361
"164",362
"165",364
"166",365
"167",368
"168",372
"169",382
"170",388
"171",390
"172",392
"173",393
"174",395
"175",398
"176",410
"177",411
"178",413
"179",414
"180",415
"181",417
"182",418
"183",419
"184",420
"185",421
"186",424
"187",425
"188",428
"189",437
"190",443
"191",453
"192",456
"193",458
"194",463
"195",474
"196",477
"197",478
"198",481
"199",483
"200",484
"201",485
"202",488
"203",489
"204",490
"205",492
"206",493
"207",494
"208",495
"209",496
"210",497
"211",498
"212",500
"213",501
"214",502
"215",503
"216",507
"217",509
"218",513
"219",515
"220",520
"221",521
"222",523
"223",524
"224",525
"225",529
"226",530
"227",532
"228",535
"229",537
"230",539
"231",542
"232",546
"233",547
"234",549
"235",551
"236",553
"237",557
"238",559
"239",564
"240",566
"241",571
"242",572
"243",573
"244",575
"245",580
"246",591
"247",592
"248",593
"249",598
"250",599
"251",601
"252",605
"253",607
"254",609
"255",614
"256",618
"257",619
"258",622
"259",623
"260",626
"261",628
"262",629
"263",630
"264",633
"265",634
"266",635
"267",638
"268",640
"269",641
"270",645
"271",648
"272",649
"273",653
"274",656
"275",663
"276",664
"277",667
"278",668
"279",669
"280",672
"281",674
"282",676
"283",677
"284",679
"285",684
"286",685
"287",686
