"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct"
"1","Are you aware of any news organizations that will be livestreaming the Celebration of Life for Jr. Seau on May 11?","are you aware of any news organizations that will be livestreaming the celebration of life for jr",18,"seau","the",0.0299999999988358,FALSE
"2","Tina Moore and the Just Us Trio tonight at 9:30. All ages, no cover - nothing but great music!","tina moore and the just us trio tonight at all ages no cover nothing but great",17,"music","the",0.0200000000004366,FALSE
"3","sounds like it would be Trevor Crowe","sounds",2,"like","like",0.0300000000006548,TRUE
"4","Heard about the #WRECK in Wal-Marts parking lot last night in E-ton? Would love to know details, and if the girl is ok!","heard about the in walmarts parking lot last night in eton would love to know details and",18,"if","of",0.0100000000002183,FALSE
"5","Just watched Rhyme & Reason dope ass documentary. Lots of history. Makes you wonder when did Hip-Hop stop being honest.","just watched rhyme",4,"reason","the",0.0299999999988358,FALSE
"6","Oy! How'd THAT work for you??? RT : Flavored my first cup of coffee with Cumin, not Cinnamon. It's going to be a long day","oy howd that work for you rt flavored my first cup of coffee with cumin not cinnamon its going to be",22,"a","in",0.0200000000004366,FALSE
"7","Is anyone else having problems with their twitter account. I keep having to reset my password!","is anyone else having problems with their",8,"twitter","the",0.0300000000006548,FALSE
"8","Nice! I will listen to it at random times.","nice i will listen to it",7,"at","the",0.0499999999992724,FALSE
"9","I was gonna do that !","i was gonna",4,"do","be",0,FALSE
"10","Be who you are and say what you feel because those who mind don't matter and those who matter don't mind.","be who you are and say what you feel because those who mind dont matter",16,"and","know",0.0300000000006548,FALSE
"11","A trifle consoles us, for a trifle distresses us","a trifle consoles us for a trifle distresses",9,"us","glasses",0.0299999999988358,FALSE
"12","Love their pulled pork!","love their",3,"pulled","own",0.0200000000004366,FALSE
"13","1reason facebook sucxs is becuz of all the reasons ur acount can get disabled. Its very annoying getting ur account disabled Needs 2 b fixed","reason facebook sucxs is becuz of all the reasons ur acount can get disabled its very annoying getting ur account disabled needs",23,"b","first",0.0100000000002183,FALSE
"14","have fun! Love Edwardsville!","have",2,"fun","to",0.0300000000006548,FALSE
"15","Always gon be the best 2 me! RT : Kobe Bryant: ""It's always funny to hear the ""Kobe Sucks"" chant because why provoke me...It's fun.""","always gon be the best me",7,"rt","way",0.0299999999988358,FALSE
"16","When you have an opportunity to watch Kindergarten Cop you take it.","when you have an opportunity",6,"to","hour",0.0300000000006548,FALSE
"17","""Cocaine for breakfast yikes! Met her a coachella ....""","for breakfast yikes",4,"met","an",0.0200000000004366,FALSE
"18","Thanks for following us back. We are in Philadelphia, PA but I know the weather in the Caribbean is great today. Thanks","thanks for following us back we are in philadelphia pa but",12,"i","than",0.0199999999986176,FALSE
"19","Music on the patio with Three Chord Rodeo cancelled tonight due to cold wind. We will def have them back next season!!","music on the",4,"patio","other",0.0300000000006548,FALSE
"20","Ugh. Just haven't felt right all day. Throw up or whatever already.","ugh just",3,"havent","as",0.0100000000002183,FALSE
"21","Thanks for the follow Eric!","thanks",2,"for","to",0.0200000000004366,FALSE
"22","It's that or Hot Topic bondage pants with all the chains.","its that or hot topic",6,"bondage","and",0.0299999999988358,FALSE
"23","#tnla12 Information is a means to an end. People care about getting a job, not finding resume books. Link to the situation of the person.","information is a means",5,"to","few",0.0200000000004366,FALSE
"24","Ces Convention in Las Vegas Jan 2011 Offering discounted group rates or individual rooms Rates Book now www.myvegaspeople.com","ces convention in las vegas jan offering discounted group rates or individual rooms rates book",16,"now","of",0.0100000000002183,FALSE
"25","how bout lsu:)","how bout",3,"lsu","with",0,FALSE
"26","“: The Patriots just agreed to a one-year deal with free-agent wide receiver Donte Stallworth.” going to work in free agency","“ the patriots just agreed to a oneyear deal",10,"with","visas",0.0300000000006548,FALSE
"27","Are you going on the air to report?","are you going",4,"on","to",0.0199999999986176,FALSE
"28","So uh...haven't been on Twitter for a while...","so uhhavent been",4,"on","able",0.0300000000006548,FALSE
"29","indeed, I'm a believer! Hope the burrito biz is good","indeed im a believer hope the",7,"burrito","of",0.0799999999999272,FALSE
"30","COME visit us! We have #triverahappyhour and we can share a light saber!","come visit us we have",6,"and","are",0.0300000000006548,FALSE
"31","SO LET'S SET THE WORLD ON FIRE~","so lets set",4,"the","up",0,FALSE
"32","Seriously LOVE #2BrokeGirls BEST SHOW EVER!!!","seriously love best",4,"show","to",0.00999999999839929,FALSE
"33","sometimes happens when you're dehydrated--drink lots of water and keep your feet lower than your heart!","sometimes happens when youre dehydrateddrink lots of water and keep your feet lower than",15,"your","left",0.0400000000008731,FALSE
"34","We will pack #china with an ad attached inside billions of","we will pack with an ad attached inside",9,"billions","the",0.0300000000006548,FALSE
"35","The Drake concert was definitely an amazing experience, will always remember this","the drake concert was definitely an amazing experience will",10,"always","the",0,FALSE
"36","....... wow. cute grammar britt. meant to say *1D as a*","wow cute grammar",4,"britt","truth",0.0100000000002183,FALSE
"37","Ok the Gruner Veltliner pretty good with no food, ok we forgot to eat, sorry, will try again with food.","ok the gruner veltliner pretty good with no food ok we forgot to eat sorry will try again with",20,"food","and",0.0199999999986176,FALSE
"38","There is a song, you probably know it, Spring can Really Get You Down The Most","there is a song you probably know it spring can",11,"really","and",0.0300000000006548,FALSE
"39","The energy of a punk rock show is 1 million times more intense than any hip-hop show.","the energy of a punk rock show is million times more",12,"intense","and",0.0300000000006548,FALSE
"40","#takeittothehead video so damn Hott can't wait to see it already know its going to be the hottest video DJ Khaled doing this sh*t","video so hott cant wait to see it already know its",12,"going","that",0.0199999999986176,FALSE
"41","As a fellow member of , thx! RT : Adding the GLBTRT to my ALA membership, which I should have done years ago.","as a fellow member of thx rt adding the glbtrt to my ala membership which i should have done",20,"years","to",0.0300000000006548,FALSE
"42","Hey staunch Christians who say Jesus is the reason for the season. Jesus' birthday wasn't actually in December, so remember that.","hey staunch christians who say jesus is the reason for the season jesus birthday",15,"wasnt","christ",0.0300000000006548,FALSE
"43","Thin black phone with blue keyboard buttons lost at ultimate frisbee field. If found, return to Promised Land.","thin black phone",4,"with","call",0.00999999999839929,FALSE
"44","updated twitter to , some chick from africa had that shit when i signed up but now it's all mine muahahha","updated twitter to some chick from africa had that when i signed up",14,"but","up",0.0400000000008731,FALSE
"45","This new blackberry has made the most unproductive person ever.","this new blackberry has",5,"made","vibrate",0.0100000000002183,FALSE
"46","Transition defense anyone? C'mon Suns!","transition defense",3,"anyone","you",0.0200000000004366,FALSE
"47","My man avoids the camera, but tonight the camera found him! #NASCARRaceDayon SPEED.","my man avoids the camera but tonight the camera found",11,"him","was",0.0100000000002183,FALSE
"48","Follow our personal twitters, , , , ,","follow",2,"our","the",0,FALSE
"49","publicly-biased? what do you mean?","publiclybiased",2,"what",NA,NA,FALSE
"50","Getting hair done by the wonderful people at Can't wait to hit the dance floor tonight.","getting hair done by the wonderful people at cant",10,"wait","the",0.0100000000002183,FALSE
"51","wait what is a noogie?","wait what",3,"is","you",0.0300000000006548,FALSE
"52","Also, had a good convo with Evo Institute 's Jerry Lieberman RE: community organization the right way (i.e., where it does good not harm!)","also had a good convo with evo institute s jerry lieberman re",13,"community",NA,NA,FALSE
"53","love you to!! <3","love you",3,"to","can",0.0199999999986176,FALSE
"54","I wanted that kiss for a long time!! <3","i",2,"wanted","was",0.0100000000002183,FALSE
"55","Hehe got to charge my phone (:","hehe got to",4,"charge","the",0.0200000000004366,FALSE
"56","2 old men tonight asked me if I played golf cause I looked familiar..but I had no idea who their granddaughters were lol","old men tonight asked me",6,"if","for",0.0300000000006548,FALSE
"57","Thank you for the #FF love , , , and","thank you for the love",6,"and","smell",0.0499999999992724,FALSE
"58","yes sir and they are in postseason form","yes sir and",4,"they","the",0.0100000000002183,FALSE
"59","Just a reminder...I can now be seen in the recently released music video for ""Marry Me"" by top selling band !","just a reminderi can now be seen in the recently released",12,"music","and",0.0300000000006548,FALSE
"60","And that's who I'm going with!!","and thats who",4,"im","is",0.0199999999986176,FALSE
"61","And ! RT : Happy birthday !","and",2,"rt","the",0.0600000000013097,FALSE
"62","Our sponsor Printing Partners has been named to The BCA 10: Best Companies Supporting the Arts in America for 2011. Congratulations!","our sponsor printing partners has been",7,"named","been",0.0199999999986176,FALSE
"63","I feel yu","i",2,"feel","was",0.0300000000006548,FALSE
"64","I mean it, if i meet justin bieber, my life is going to be made <3","i mean it if i meet justin bieber my life is going to",14,"be","be",0.0100000000002183,TRUE
"65","Good to hear! I'm addicted to journals, art supplies, etc. The possibilities are so delicious :)","good to hear im addicted to journals art supplies etc",11,"the","were",0.0299999999988358,FALSE
"66","Im so fucking done...i wanna be happy","im so",3,"donei","glad",0.0200000000004366,FALSE
"67","New Portland radio station... 1059thebrew.com","new portland",3,"radio","and",0.0200000000004366,FALSE
"68","Maybe 1/2 recognized it; 1/2 of those placed it; and another 1/2 connected the dots.","maybe recognized it of those placed it and another",10,"connected","the",0.0300000000006548,FALSE
"69","it was amazing! Scary, exciting, kept you guessing. And that ending!","it was",3,"amazing","an",0,FALSE
"70","lies! Because I not goofy","lies because i not",5,"goofy","of",0.0399999999990541,FALSE
"71","And turned and took 2 steps. No slo mo needed. RT : He caught that pass bitch","and turned",3,"and","out",0.0200000000004366,FALSE
"72","that ain't my style","that aint my",4,"style","life",0.0100000000002183,FALSE
"73","Come on Ayala get us out of this jam","come",2,"on","to",0.0200000000004366,FALSE
