"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct","prediction6","prediction7","prediction8","prediction9","prediction10","prediction11","prediction12","prediction13","prediction14","prediction15"
"1","Are you aware of any news organizations that will be livestreaming the Celebration of Life for Jr. Seau on May 11?","are you aware of any news organizations that will be livestreaming the celebration of life for jr",18,"seau","the","me","my","this","you",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tina Moore and the Just Us Trio tonight at 9:30. All ages, no cover - nothing but great music!","tina moore and the just us trio tonight at all ages no cover nothing but great",17,"music","the","it","they","he","we",0.0499999999992724,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","sounds like it would be Trevor Crowe","sounds",2,"like","of","the","was","as","like",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Heard about the #WRECK in Wal-Marts parking lot last night in E-ton? Would love to know details, and if the girl is ok!","heard about the in walmarts parking lot last night in eton would love to know details and",18,"if","of","for","make","are","that",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Just watched Rhyme & Reason dope ass documentary. Lots of history. Makes you wonder when did Hip-Hop stop being honest.","just watched rhyme",4,"reason","her","as","the","that","our",0.0500000000010914,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Oy! How'd THAT work for you??? RT : Flavored my first cup of coffee with Cumin, not Cinnamon. It's going to be a long day","oy howd that work for you rt flavored my first cup of coffee with cumin not cinnamon its going to be",22,"a","the","be","do","get","make",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Is anyone else having problems with their twitter account. I keep having to reset my password!","is anyone else having problems with their",8,"twitter","the","my","her","me","their",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Nice! I will listen to it at random times.","nice i will listen to it",7,"at","the","be","my","one","the",0.069999999999709,FALSE,"be","do","get","make",NA,NA,NA,NA,NA,NA
"9","I was gonna do that !","i was gonna",4,"do","be","have","get","go","love",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Be who you are and say what you feel because those who mind don't matter and those who matter don't mind.","be who you are and say what you feel because those who mind dont matter",16,"and","know","want","have","think","like",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A trifle consoles us, for a trifle distresses us","a trifle consoles us for a trifle distresses",9,"us","glasses",NA,NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Love their pulled pork!","love their",3,"pulled","own","way","new","work","lives",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1reason facebook sucxs is becuz of all the reasons ur acount can get disabled. Its very annoying getting ur account disabled Needs 2 b fixed","reason facebook sucxs is becuz of all the reasons ur acount can get disabled its very annoying getting ur account disabled needs",23,"b","first","like","or","child","according",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","have fun! Love Edwardsville!","have",2,"fun","to","been","the","you","no",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
