"","x"
"1",602
"2",616
"3",1637
"4",1904
"5",1992
"6",1995
"7",2174
"8",2473
"9",2905
"10",2942
"11",3111
"12",3335
"13",3795
"14",3847
"15",3872
"16",3986
"17",4218
"18",4363
"19",4556
"20",4770
"21",5161
"22",5228
"23",5492
"24",5568
"25",6231
"26",6321
"27",6855
"28",7906
"29",7921
"30",8021
"31",8510
"32",8795
"33",8852
"34",8978
"35",9308
"36",9584
"37",9604
"38",9793
"39",10285
"40",10369
"41",10644
"42",10830
"43",10911
"44",11030
"45",11049
"46",11097
"47",11354
"48",11386
"49",11503
"50",12085
"51",12449
"52",13111
"53",13145
"54",13260
"55",13472
"56",13578
"57",13590
"58",13899
"59",13911
"60",13939
"61",14114
"62",14442
"63",14490
"64",14784
"65",14816
"66",15126
"67",15233
"68",15426
"69",15846
"70",16239
"71",16282
"72",16691
"73",17344
"74",17433
"75",17519
"76",17609
"77",17758
"78",17902
"79",17932
"80",17963
"81",17965
"82",18002
"83",18092
"84",18183
"85",18420
"86",18461
"87",18566
"88",18710
"89",18907
"90",18974
"91",19584
"92",19847
"93",20003
"94",20427
"95",20614
"96",20641
"97",20689
"98",20703
"99",20883
"100",20947
"101",20966
"102",20997
"103",21203
"104",22163
"105",22823
"106",22945
"107",23277
"108",24126
"109",24727
"110",24838
"111",25237
"112",25338
"113",26028
"114",26089
"115",26115
"116",26447
"117",26641
"118",26681
"119",27682
"120",28022
"121",28382
"122",28429
"123",28595
"124",29483
"125",29697
"126",30180
"127",30762
"128",30908
"129",30918
"130",30971
"131",31162
"132",31370
"133",31956
"134",32069
"135",32400
"136",32946
"137",32997
"138",33381
"139",33925
"140",34210
"141",34439
"142",34671
"143",34735
"144",34964
"145",35044
"146",35484
"147",36220
"148",36489
"149",36670
"150",36974
"151",37164
"152",37181
"153",37373
"154",37649
"155",37695
"156",37885
"157",38168
"158",38810
"159",38963
"160",39366
"161",39408
"162",39680
"163",39874
"164",39889
"165",40591
"166",40640
"167",40819
"168",40888
"169",41303
"170",42340
"171",42717
"172",42782
"173",42869
"174",43177
"175",43628
"176",43728
"177",43808
"178",43979
"179",44032
"180",44134
"181",44651
"182",44796
"183",45033
"184",45084
"185",45427
"186",45755
"187",45997
"188",46473
"189",46542
"190",46557
"191",47260
"192",47393
"193",47550
"194",47598
"195",47615
"196",47973
"197",48090
"198",48307
"199",48384
"200",48439
"201",48510
"202",48605
"203",49076
"204",49101
"205",49182
"206",49537
"207",49563
"208",49903
"209",49933
"210",50369
"211",50382
"212",50622
"213",50645
"214",50730
"215",50962
"216",51146
"217",51289
"218",51428
"219",51437
"220",51520
"221",51527
"222",51544
"223",51788
"224",51900
"225",51947
"226",51965
"227",52262
"228",52450
"229",52499
"230",52555
"231",52672
"232",53026
"233",53438
"234",53562
"235",53713
"236",53977
"237",53990
"238",54022
"239",54338
"240",54998
"241",55009
"242",55017
"243",55162
"244",55187
"245",55203
"246",55294
"247",55467
"248",55607
"249",55716
"250",56047
"251",56497
"252",56732
"253",57184
"254",57395
"255",57409
"256",57730
"257",57965
"258",58004
"259",58088
"260",58107
"261",58328
"262",58707
"263",58899
"264",58908
"265",59261
"266",59530
"267",60397
"268",60596
"269",60628
"270",61162
"271",61305
"272",61451
"273",61897
"274",61949
"275",62483
"276",62706
"277",63123
"278",63692
"279",63789
"280",63906
"281",64207
"282",64298
"283",64564
"284",64740
"285",65209
"286",65664
"287",65700
"288",66394
"289",67249
"290",67336
"291",67569
"292",67615
"293",67629
"294",67641
"295",67907
"296",67919
"297",67982
"298",68310
"299",68395
"300",68819
"301",69890
"302",70304
"303",70306
"304",71310
"305",71323
"306",71645
"307",71907
"308",72029
"309",72193
"310",72424
"311",72524
"312",72541
"313",72626
"314",72860
"315",73520
"316",73638
"317",73690
"318",73864
"319",73945
