"","x"
"1",75
"2",567
"3",601
"4",615
"5",1081
"6",1180
"7",1400
"8",1631
"9",1899
"10",1990
"11",2170
"12",2395
"13",2471
"14",2689
"15",2898
"16",2934
"17",3043
"18",3049
"19",3102
"20",3330
"21",3785
"22",3792
"23",3844
"24",3861
"25",3974
"26",4202
"27",4353
"28",4538
"29",4754
"30",5144
"31",5212
"32",5480
"33",5559
"34",6071
"35",6227
"36",6319
"37",6830
"38",7270
"39",7386
"40",7882
"41",7917
"42",7992
"43",8427
"44",8490
"45",8628
"46",8780
"47",8820
"48",8971
"49",9301
"50",9572
"51",9583
"52",9763
"53",10259
"54",10366
"55",10401
"56",10527
"57",10551
"58",10619
"59",10629
"60",10797
"61",10849
"62",10888
"63",10987
"64",11010
"65",11029
"66",11061
"67",11077
"68",11169
"69",11337
"70",11341
"71",11496
"72",11601
"73",12036
"74",12426
"75",13109
"76",13110
"77",13224
"78",13255
"79",13403
"80",13423
"81",13553
"82",13579
"83",13853
"84",13867
"85",13914
"86",13979
"87",14070
"88",14271
"89",14385
"90",14477
"91",14627
"92",14747
"93",14782
"94",15102
"95",15141
"96",15194
"97",15375
"98",15825
"99",16185
"100",16270
"101",16662
"102",17247
"103",17315
"104",17326
"105",17380
"106",17452
"107",17603
"108",17608
"109",17726
"110",17897
"111",17912
"112",17915
"113",17955
"114",17958
"115",18047
"116",18142
"117",18405
"118",18448
"119",18500
"120",18561
"121",18692
"122",18866
"123",18905
"124",19377
"125",19548
"126",19755
"127",19812
"128",19993
"129",20048
"130",20378
"131",20505
"132",20558
"133",20560
"134",20648
"135",20696
"136",20823
"137",20882
"138",20892
"139",20915
"140",21188
"141",21211
"142",21345
"143",22093
"144",22657
"145",22775
"146",22936
"147",22942
"148",23016
"149",23198
"150",23515
"151",23924
"152",23927
"153",24040
"154",24291
"155",24714
"156",24766
"157",25228
"158",25277
"159",25326
"160",25766
"161",25930
"162",26049
"163",26061
"164",26282
"165",26379
"166",26539
"167",26632
"168",26648
"169",27074
"170",27584
"171",27709
"172",27951
"173",28218
"174",28272
"175",28386
"176",28434
"177",28519
"178",28883
"179",29375
"180",29442
"181",29632
"182",30070
"183",30320
"184",30535
"185",30695
"186",30733
"187",30793
"188",30804
"189",30838
"190",30855
"191",31048
"192",31228
"193",31301
"194",31793
"195",31951
"196",32046
"197",32279
"198",32527
"199",32735
"200",32866
"201",32905
"202",32939
"203",33358
"204",33519
"205",33524
"206",33851
"207",34074
"208",34336
"209",34366
"210",34658
"211",34668
"212",34913
"213",35027
"214",35400
"215",35481
"216",36046
"217",36077
"218",36112
"219",36253
"220",36402
"221",36641
"222",36699
"223",36829
"224",36900
