"","word"
"1","right"
"2","last"
"3","new"
"4","high"
"5","first"
"6","feel"
"7","years"
"8","can"
"9","make"
"10","looking"
"11","even"
"12","good"
"13","just"
"14","happy"
"15","every"
"16","one"
"17","looks"
"18","st"
"19","next"
"20","let"
"21","united"
"22","look"
"23","thanks"
"24","mothers"
"25","follow"
"26","two"
"27","sounds"
"28","los"
"29","many"
"30","social"
"31","long"
"32","will"
"33","go"
"34","little"
"35","san"
"36","get"
"37","health"
"38","ice"
"39","please"
"40","come"
"41","great"
"42","officials"
"43","wait"
"44","year"
"45","really"
"46","pretty"
"47","real"
"48","four"
"49","three"
"50","best"
"51","know"
"52","need"
"53","want"
"54","anyone"
"55","going"
"56","join"
"57","seems"
"58","stay"
"59","weeks"
"60","feels"
"61","police"
"62","much"
"63","supreme"
"64","things"
"65","five"
"66","parking"
"67","getting"
"68","th"
"69","us"
"70","white"
"71","m"
"72","vice"
"73","people"
"74","school"
"75","someone"
"76","think"
"77","time"
"78","like"
"79","saturday"
"80","couple"
"81","las"
"82","thank"
"83","way"
"84","back"
"85","family"
"86","brand"
"87","executive"
"88","give"
"89","hard"
"90","help"
"91","living"
"92","said"
"93","something"
"94","across"
"95","barack"
"96","cant"
"97","everyone"
"98","got"
"99","ha"
"100","least"
"101","oh"
"102","several"
"103","trying"
"104","also"
"105","associated"
"106","hope"
"107","looked"
"108","love"
"109","now"
"110","recent"
"111","rt"
"112","spend"
"113","super"
"114","beautiful"
"115","cell"
"116","felt"
"117","friday"
"118","kansas"
"119","monday"
"120","president"
"121","six"
"122","u"
"123","around"
"124","beep"
"125","came"
"126","coming"
"127","general"
"128","lets"
"129","percent"
"130","take"
"131","valentines"
"132","wanna"
"133","washington"
"134","yet"
"135","york"
"136","able"
"137","blog"
"138","de"
"139","ever"
"140","find"
"141","never"
"142","past"
"143","set"
"144","yes"
"145","act"
"146","along"
"147","cinco"
"148","god"
"149","lot"
"150","mitt"
"151","months"
"152","north"
"153","sunday"
"154","another"
"155","april"
"156","chief"
"157","city"
"158","facebook"
"159","federal"
"160","gay"
"161","makes"
"162","regular"
"163","second"
"164","star"
"165","tomorrow"
"166","try"
"167","well"
"168","anything"
"169","big"
"170","black"
"171","days"
"172","dining"
"173","far"
"174","forward"
"175","giving"
"176","maybe"
"177","middle"
"178","red"
"179","say"
"180","wall"
"181","work"
"182","always"
"183","ask"
"184","east"
"185","economic"
"186","grocery"
"187","hall"
"188","justin"
"189","lol"
"190","medical"
"191","nothing"
"192","olive"
"193","sound"
"194","south"
"195","today"
"196","atlantic"
"197","company"
"198","day"
"199","earlier"
"200","end"
"201","fall"
"202","final"
"203","heart"
"204","holiday"
"205","home"
"206","jesus"
"207","law"
"208","may"
"209","moving"
"210","ncaa"
"211","orange"
"212","passed"
"213","peanut"
"214","plain"
"215","rose"
"216","run"
"217","square"
"218","state"
"219","task"
"220","told"
"221","young"
"222","already"
"223","bin"
"224","breast"
"225","civil"
"226","council"
"227","district"
"228","everything"
"229","finally"
"230","friends"
"231","glad"
"232","live"
"233","making"
"234","merry"
"235","number"
"236","pleaded"
"237","prime"
"238","put"
"239","since"
"240","spending"
"241","spread"
"242","sure"
"243","tell"
"244","tuesday"
"245","wanted"
"246","weight"
"247","went"
"248","wish"
"249","world"
"250","air"
"251","either"
"252","elementary"
"253","feeling"
"254","fourth"
"255","gift"
"256","gov"
"257","hunger"
"258","late"
"259","made"
"260","point"
"261","read"
"262","seconds"
"263","see"
"264","seem"
"265","send"
"266","sometimes"
"267","still"
"268","tea"
"269","week"
"270","almost"
"271","anytime"
"272","bay"
"273","circuit"
"274","community"
"275","county"
"276","customer"
"277","different"
"278","front"
"279","global"
"280","hours"
"281","june"
"282","kind"
"283","left"
"284","lose"
"285","loved"
"286","might"
"287","must"
"288","obama"
"289","old"
"290","penn"
"291","points"
"292","press"
"293","ready"
"294","sex"
"295","thursday"
"296","took"
"297","tv"
"298","watch"
"299","welcome"
"300","yearold"
"301","absolutely"
"302","authorities"
"303","bad"
"304","better"
"305","bring"
"306","christmas"
"307","credit"
"308","cup"
"309","early"
"310","earth"
"311","el"
"312","email"
"313","february"
"314","fiscal"
"315","fountain"
"316","free"
"317","gas"
"318","gonna"
"319","gotta"
"320","hip"
"321","house"
"322","keep"
"323","march"
"324","million"
"325","month"
"326","music"
"327","ohio"
"328","opening"
"329","osama"
"330","pates"
"331","pay"
"332","per"
"333","program"
"334","public"
"335","question"
"336","records"
"337","sent"
"338","small"
"339","started"
"340","ten"
"341","west"
"342","whole"
"343","art"
"344","attorney"
"345","believe"
"346","check"
"347","chris"
"348","christie"
"349","country"
"350","excited"
"351","fell"
"352","film"
"353","following"
"354","football"
"355","game"
"356","grand"
"357","grilled"
"358","hate"
"359","head"
"360","hell"
"361","hey"
"362","im"
"363","important"
"364","jersey"
"365","later"
"366","lemon"
"367","life"
"368","mental"
"369","michael"
"370","move"
"371","news"
"372","nice"
"373","oregon"
"374","phone"
"375","pm"
"376","putting"
"377","quite"
"378","ron"
"379","running"
"380","salt"
"381","seemed"
"382","seven"
"383","sheriffs"
"384","soon"
"385","southern"
"386","start"
"387","starts"
"388","stuff"
"389","takes"
"390","uh"
"391","war"
"392","waste"
"393","wednesday"
"394","wrong"
"395","according"
"396","african"
"397","awkward"
"398","bank"
"399","barnes"
"400","blood"
"401","board"
"402","buy"
"403","call"
"404","championship"
"405","contact"
"406","contributed"
"407","court"
"408","dont"
"409","drinking"
"410","enough"
"411","essex"
"412","event"
"413","farmers"
"414","feet"
"415","found"
"416","full"
"417","funeral"
"418","group"
"419","half"
"420","higher"
"421","hong"
"422","hopefully"
"423","hyun"
"424","illegal"
"425","interesting"
"426","job"
"427","kick"
"428","lebron"
"429","louis"
"430","medium"
"431","men"
"432","mom"
"433","natural"
"434","none"
"435","perfect"
"436","radio"
"437","santa"
"438","scored"
"439","senior"
"440","spent"
"441","spring"
"442","taken"
"443","taking"
"444","thing"
"445","tim"
"446","twitter"
"447","unemployment"
"448","yr"
"449","ago"
"450","american"
"451","among"
"452","answer"
"453","attorneys"
"454","averaging"
"455","away"
"456","awesome"
"457","bake"
"458","birth"
"459","bit"
"460","bright"
"461","bucket"
"462","budget"
"463","build"
"464","central"
"465","chance"
"466","classic"
"467","comes"
"468","daily"
"469","declined"
"470","elected"
"471","else"
"472","european"
"473","except"
"474","fresh"
"475","fun"
"476","george"
"477","golden"
"478","granite"
"479","hot"
"480","including"
"481","income"
"482","issued"
"483","johnson"
"484","july"
"485","kentucky"
"486","lady"
"487","locker"
"488","martha"
"489","middlesex"
"490","miles"
"491","millions"
"492","minutes"
"493","mr"
"494","n"
"495","nearly"
"496","needless"
"497","notre"
"498","office"
"499","oil"
"500","pasty"
"501","patricks"
"502","patterned"
"503","places"
"504","play"
"505","played"
"506","post"
"507","preheat"
"508","probably"
"509","puerto"
"510","sad"
"511","saudi"
"512","save"
"513","says"
"514","secretary"
"515","senate"
"516","short"
"517","single"
"518","somewhere"
"519","sort"
"520","sour"
"521","spokesman"
"522","starting"
"523","status"
"524","sweet"
"525","tax"
"526","team"
"527","tells"
"528","tens"
"529","third"
"530","throughout"
"531","thus"
"532","tonight"
"533","turned"
"534","upon"
"535","use"
"536","used"
