"","x"
"1",1
"2",2
"3",4
"4",7
"5",8
"6",10
"7",13
"8",14
"9",15
"10",16
"11",18
"12",19
"13",21
"14",23
"15",25
"16",26
"17",29
"18",30
"19",33
"20",34
"21",36
"22",37
"23",38
"24",39
"25",40
"26",43
"27",45
"28",46
"29",47
"30",48
"31",50
"32",53
"33",54
"34",55
"35",56
"36",60
"37",61
"38",62
"39",63
"40",64
"41",65
"42",70
"43",72
"44",73
"45",74
"46",75
"47",76
"48",77
"49",78
"50",80
"51",82
"52",83
"53",84
"54",86
"55",87
"56",90
"57",92
"58",96
"59",97
"60",98
"61",99
"62",100
"63",101
"64",102
"65",103
"66",104
"67",107
"68",108
"69",110
"70",111
"71",112
"72",113
"73",114
"74",116
"75",118
"76",119
"77",121
"78",125
"79",126
"80",130
"81",131
"82",133
"83",134
"84",135
"85",136
"86",137
"87",139
"88",142
"89",143
"90",144
"91",145
"92",146
"93",149
"94",151
"95",153
"96",154
"97",155
"98",157
"99",158
"100",160
"101",163
"102",164
"103",168
"104",170
"105",171
"106",172
"107",173
"108",174
"109",176
"110",179
"111",184
"112",187
"113",188
"114",191
"115",192
"116",193
"117",194
"118",196
"119",197
"120",198
"121",200
"122",201
"123",205
"124",206
"125",207
"126",208
"127",210
"128",211
"129",213
"130",214
"131",215
"132",217
"133",218
"134",221
"135",222
"136",225
"137",227
"138",229
"139",231
"140",233
"141",234
"142",235
"143",237
"144",238
"145",240
"146",241
"147",243
"148",246
"149",249
"150",251
"151",253
"152",255
"153",257
"154",258
"155",259
"156",262
"157",263
"158",266
"159",268
"160",269
"161",270
"162",271
"163",273
"164",276
"165",277
"166",279
"167",281
"168",283
"169",285
"170",287
"171",288
"172",289
"173",293
"174",294
"175",295
"176",296
"177",297
"178",298
"179",300
"180",301
"181",302
"182",307
"183",308
"184",310
"185",312
"186",314
"187",316
"188",317
"189",318
"190",319
"191",320
"192",322
"193",324
"194",325
"195",326
"196",331
"197",332
"198",333
"199",335
"200",337
"201",338
"202",339
"203",340
"204",342
"205",346
"206",347
"207",358
"208",362
"209",363
"210",365
"211",366
"212",368
"213",369
"214",370
"215",371
"216",372
"217",373
"218",374
"219",375
"220",376
"221",377
"222",378
"223",379
"224",382
"225",383
"226",386
"227",387
"228",388
"229",391
"230",392
"231",394
"232",395
"233",398
"234",400
"235",401
"236",402
"237",404
"238",405
"239",407
"240",411
"241",413
"242",414
"243",420
"244",421
"245",423
"246",424
"247",425
"248",426
"249",427
"250",428
"251",429
"252",430
"253",431
"254",434
"255",435
"256",439
"257",440
"258",441
"259",442
"260",447
"261",448
"262",449
"263",450
"264",452
"265",453
"266",454
"267",455
"268",456
"269",457
"270",459
"271",461
"272",462
"273",463
"274",465
"275",466
"276",467
"277",468
"278",469
"279",470
"280",476
"281",477
"282",478
"283",479
"284",481
"285",482
"286",484
"287",486
"288",488
"289",490
"290",491
"291",492
"292",494
"293",495
"294",496
"295",497
"296",498
"297",499
"298",500
"299",501
"300",502
"301",503
"302",505
"303",506
"304",507
"305",508
"306",509
"307",510
"308",511
"309",512
"310",513
"311",514
"312",515
"313",516
"314",517
"315",518
"316",519
"317",520
"318",521
"319",522
"320",524
"321",525
"322",526
"323",528
"324",532
"325",533
"326",534
"327",535
"328",537
"329",541
"330",542
"331",543
"332",544
"333",548
"334",549
"335",550
"336",551
"337",553
"338",554
"339",555
"340",556
"341",558
"342",559
"343",561
"344",563
"345",564
"346",565
"347",566
"348",568
"349",569
"350",570
"351",571
"352",573
"353",574
"354",575
"355",578
"356",579
"357",584
"358",585
"359",588
"360",589
"361",590
"362",591
"363",592
"364",593
"365",596
"366",597
"367",598
"368",600
"369",601
"370",602
"371",603
"372",604
"373",605
"374",608
"375",609
"376",616
"377",617
"378",619
"379",620
"380",621
"381",622
"382",623
"383",624
"384",625
"385",627
"386",629
"387",631
"388",633
"389",638
"390",640
"391",646
"392",647
"393",648
"394",650
"395",651
"396",655
"397",656
"398",658
"399",659
"400",661
"401",662
"402",664
"403",665
"404",669
"405",670
"406",673
"407",674
"408",675
"409",676
"410",680
"411",682
"412",684
"413",685
"414",686
"415",688
"416",689
"417",691
"418",693
"419",694
"420",696
"421",698
"422",700
"423",701
"424",704
"425",709
"426",710
"427",712
"428",713
"429",715
"430",718
"431",719
"432",721
"433",726
"434",727
"435",729
"436",732
"437",734
"438",736
"439",737
"440",738
"441",741
"442",742
"443",743
"444",744
"445",746
"446",747
"447",748
"448",749
"449",750
"450",751
"451",752
"452",753
