"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct"
"1","How are you? Btw thanks for the RT. You gonna be in DC anytime soon? Love to see you. Been way, way too long.",20,"love","to","see","you","been","the","a","to","be","are",0.0499999999997272,FALSE
"2","When you meet someone special... you'll know. Your heart will beat more rapidly and you'll smile for no reason.",15,"beat","more","rapidly","and","you'll","the","i","a","to","it",0.0399999999999636,FALSE
"3","they've decided its more fun if I don't.",4,NA,"they've","decided","its","more","a","not","to","own","just",0.0300000000002001,FALSE
"4","So Tired D; Played Lazer Tag & Ran A LOT D; Ughh Going To Sleep Like In 5 Minutes ;)",8,"played","lazer","tag","","ran","by","at","games","the","well",0.0399999999999636,FALSE
"5","Words from a complete stranger! Made my birthday even better :)",5,"words","from","a","complete","stranger","of","lot","to","and","the",0.0300000000002001,FALSE
"6","First Cubs game ever! Wrigley field is gorgeous. This is perfect. Go Cubs Go!",4,NA,"first","cubs","game","ever","the","you","and","we","out",0.0299999999997453,FALSE
"7","i no! i get another day off from skool due to the wonderful snow (: and THIS wakes me up...damn thing",12,"from","skool","due","to","the","the","be","a","make","do",0.0300000000002001,TRUE
"8","I'm coo... Jus at work hella tired r u ever in cali",3,NA,NA,"i'm","coo","jus","to","not","a","trying","going",0.00999999999976353,FALSE
"9","The new sundrop commercial ...hehe love at first sight",9,"hehe","love","at","first","sight","the","a","least","of","home",0.0500000000001819,FALSE
"10","we need to reconnect THIS WEEK",2,NA,NA,NA,"we","need","have","are","to","were","can",0,FALSE
"11","I always wonder how the guys on the auctions shows learned to talk so fast!? all I hear is djsosnekspqnslanskam.",17,"talk","so","fast","all","i","the","of","i","and","that",0.0399999999999636,TRUE
"12","Dammnnnnn what a catch",3,NA,NA,"dammnnnnn","what","a","i","the","is","you","to",0.0199999999999818,FALSE
"13","such a great picture! The green shirt totally brings out your eyes!",11,"shirt","totally","brings","out","your","of","the","on","in","there",0.0500000000001819,FALSE
"14","Desk put together, room all set up. Oh boy, oh boy",10,"set","up","oh","boy","oh","to","the","a","and","with",0.0399999999999636,FALSE
"15","I'm doing it!👦",3,NA,NA,"i'm","doing","it","to","not","a","the","some",0.0199999999999818,FALSE
"16","Beauty Brainstorming in the Alchemy office with and Sally Walker!",10,"office","with","and","sally","walker","the","a","i","to","it",0.0599999999999454,FALSE
"17","Looking for a new band to blog for the month. anyone interested?",11,"blog","for","the","month","anyone","of","and","the","to","is",0.0299999999997453,FALSE
"18","Packing for a quick move down the street... If only I had some movers...",4,NA,"packing","for","a","quick","of","the","lot","and","to",0.0300000000002001,FALSE
"19","ford focus hatchback?",2,NA,NA,NA,"ford","focus","yes","focus","churchill","hatchback",NA,0.0199999999999818,TRUE
"20","RT : According to the National Retail Federation $16.3 BILLION was spent on #MothersDay last year!!",13,"","billion","was","spent","on","a","to","the","in","not",0.0300000000002001,FALSE
"21","“: ""The tragedy of life is not that it ends so soon, but that we wait so long to begin it."" - W.M. Lewis”",5,"","the","tragedy","of","life","the","a","of","and","my",0.0299999999997453,FALSE
"22","More skating! Come by the check out a movie, eat a great dinner and top it off with great times at the ice rink.",3,NA,NA,"more","skating","come","than","to","the","about","of",0.0300000000002001,FALSE
"23","watch your mailbox! : )",2,NA,NA,NA,"watch","your","out","the","and","as","his",0.0199999999999818,FALSE
"24","Tommorows the day...",2,NA,NA,NA,"tommorows","the","the","day",NA,NA,NA,0.00999999999976353,TRUE
"25","Good questions. RT : Your #brand will be judged based on its #website. Is your website a good brand ambassador?...",11,"will","be","judged","based","on","the","a","in","on","to",0.0399999999999636,TRUE
"26","Don't care what others think of you, and you will save yourself a lot of mental energy that instead can be used to push you towards success.",20,"mental","energy","that","instead","can","the","i","is","was","it",0.0399999999999636,FALSE
"27","This Ron Artest interview... is it possible to die from laughter?",10,"it","possible","to","die","from","the","be","a","make","do",0.0199999999999818,FALSE
"28","Linda! Just looked at my sched & I have to hustle back to Chula for P.M. meetings, so no time 4 lunch. :( Do u meet every Fri?",25,"","lunch","","do","u","you","i","the","with","it",0.0300000000002001,FALSE
"29","Bum Squad lets get it! RT : Shout that ninja out for winning",12,"shout","that","ninja","out","for","the","of","i","on","is",0.0300000000002001,FALSE
