"","x"
"1",616
"2",2173
"3",3334
"4",5567
"5",8791
"6",11091
"7",11353
"8",12443
"9",13571
"10",13932
"11",15122
"12",16684
"13",17750
"14",19575
"15",19838
"16",20676
"17",26084
"18",28424
"19",29481
"20",32983
"21",34960
"22",37161
"23",38159
"24",39673
"25",41280
"26",42322
"27",42757
"28",44636
"29",44771
"30",45004
"31",45082
"32",46528
"33",47570
"34",47965
"35",48580
"36",49096
"37",50352
"38",50380
"39",50598
"40",50625
"41",51518
"42",55132
"43",55685
"44",57983
"45",58073
"46",61881
"47",62460
"48",65627
"49",67885
"50",68796
"51",72528
"52",76518
"53",79178
"54",79821
"55",81154
"56",81697
"57",85322
"58",87160
"59",91616
"60",91808
"61",92006
"62",93757
"63",94935
"64",95893
"65",98445
"66",98776
"67",98801
"68",99583
"69",99638
"70",104808
"71",104842
"72",105500
"73",110362
"74",111995
"75",112827
"76",114791
"77",117158
"78",117372
"79",118300
"80",118718
"81",119786
"82",125970
"83",126929
"84",128883
"85",130636
"86",131875
"87",135418
"88",138066
"89",138133
"90",140157
"91",141016
"92",142286
"93",143316
"94",144348
"95",149818
"96",150772
"97",150960
"98",151650
"99",152595
"100",159580
"101",163360
"102",164434
"103",166774
"104",167564
"105",169750
"106",171627
"107",172576
"108",174081
"109",175848
"110",176539
"111",179559
"112",180698
"113",181446
"114",182373
"115",183954
"116",184974
"117",185608
"118",188085
"119",188088
"120",189483
"121",192924
"122",194078
"123",194173
"124",195683
"125",195979
"126",196219
"127",196229
"128",196969
"129",201842
"130",203028
"131",205666
"132",205747
"133",207298
"134",207700
"135",209066
"136",209695
"137",210439
"138",210793
"139",212137
"140",212370
"141",212972
"142",214064
"143",217971
"144",218036
"145",220911
"146",220943
"147",222347
"148",224397
"149",224399
"150",227459
"151",228059
"152",230406
"153",232050
"154",232744
"155",233548
"156",236473
"157",236727
"158",237058
"159",237088
"160",237450
"161",238595
"162",238674
"163",239241
"164",242211
"165",243345
"166",243731
"167",251007
"168",252363
"169",252389
"170",253016
"171",260592
"172",263043
"173",270634
"174",273847
"175",274934
"176",275397
"177",277043
"178",277847
"179",277968
"180",279147
"181",281156
"182",281934
"183",281936
"184",283198
"185",287250
"186",289762
"187",291037
"188",292446
"189",292447
"190",293961
"191",295386
"192",295499
"193",296080
"194",297135
"195",298332
"196",298516
"197",298863
"198",301174
"199",305784
"200",306019
"201",307329
"202",309829
"203",311144
"204",311596
"205",314399
"206",316236
"207",317571
"208",318516
"209",318589
"210",319687
"211",325484
"212",327059
"213",327347
"214",327511
"215",330147
"216",331157
"217",333553
"218",335523
"219",336449
"220",341067
"221",342540
"222",342707
"223",344066
"224",348806
"225",349914
"226",353051
"227",355593
"228",356052
"229",361662
"230",362676
"231",365302
"232",365369
"233",365741
"234",367494
"235",369956
"236",370756
"237",371679
"238",372383
"239",373702
"240",373851
"241",374348
"242",374940
"243",375337
"244",376349
"245",377667
"246",382213
"247",382626
"248",382666
"249",390751
"250",391492
"251",392113
"252",394369
"253",395392
"254",395509
"255",398196
"256",398527
"257",398595
"258",401041
"259",401565
"260",402068
"261",402535
"262",408946
"263",409302
"264",411283
"265",414512
"266",416496
