"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"1","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","so anyways i am going to share some home decor inspiration that i have been storing in my folder on the puter i have all these amazing images stored away ready to",33,"come","come","4","to","41C","come","31B","come","31A","to","3","me","3","to","32B","to","32C","to","31B","secret","31A",0.259999999994761,TRUE
"2","If I were a bear,","if i were a",5,"bear","bear","5","bear","4","bear","41A","bear","41B","able","41C","bear","41C","pick","41C","quite","3","lunch","3","of","3",0.240000000005239,TRUE
"3","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","winter is the time when all sleeps on some level it is a time of turning within to make contact with your own innermost being winter is the best time to do this and as a result get answers for yourself about whatever concerns you it is also a tremendously creative time a time for artists of all kinds to turn within and to seek images",67,"of","of","4","images","41C","forms","3","of","31A","seek","42F","of","31B","images","32B","of","3","jos�","32A","images","31B",0.289999999993597,TRUE
"4","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","pure large leaf assam no waffling with the leaf thank you i want",14,"it","it","5","strong","4","it","41A","it","41B","i","52J","it","41C","i","42F","want","32B","it","4","want","41C",0.440000000002328,TRUE
"5","State contracts worth over 100 MILLION ringgit!","state contracts",3,"worth","over","2","worth","2","affairs","21","school","21","playing","21","economics","21","a","21","is","21","my","21","high","21",0.0299999999988358,TRUE
"6","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","we attend our friend",5,"kendras","friend","41C","friend","31B","amy","3","kendras","3","friend","32C","our","32C","home","32B","friend","32B","children","32B","rights","32B",0.200000000011642,TRUE
"7","Fallout by Ellen Hopkins (p.1-140)","fallout by ellen",4,"hopkins","p","3","ellen","31B","hopkins","3","p","2","me","2","hopkins","2","invited","2","way","21","like","21","time","21",0.130000000004657,TRUE
"8","for I did not come to condemn the world but to save the world.","for i",3,"did","can","3","look","3","took","3","cant","3","the","3","have","3","not","3","had","3","who","3","should","3",0.0899999999965075,FALSE
"9","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","point if it’s a show that your kid wants a show about a book is always better than",19,"craccc","craccc","3","than","31B","the","32A","doable","32C","very","32C","better","32C","yammering","32C","a","32C","so","32C","people","2",0.309999999997672,TRUE
"10","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","let’s say hypothetically there is a bomb threat inside an airport and there is only minutes remaining it will explode inside the building",24,"there","there","3","couch","31B","the","32C","building","31B","muscle","2","the","2","had","2","are","2","an","2","just","2",0.240000000005239,TRUE
"11","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","come join us next tuesday february st for discussion on chapter we will talk about personal will self control and the ability to stay true to ourselves as we travel through this life the gathering is",37,"fun","fun","4","fun","3","fun","31B","fun","21","love","32A","ban","32C","is","31B","good","32A","gathering","32C","now","31A",0.259999999994761,TRUE
"12","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.","ive also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type like the color codes but that seems like a",27,"lot","of","4","a","41C","lot","31A","like","42F","a","32B","lot","4","lot","31B","are","31B","a","32C","in","32C",0.360000000000582,TRUE
"13","Ed Switenky, manager of traffic engineering and operations, couldn't comment on any short-term improvements the city might be able to make to Governor's Road - in light of last week's accident.","ed switenky manager of traffic engineering and operations couldnt comment on any shortterm improvements the city might be able to make to governors road in light of",28,"last","of","41C","my","4","his","4","of","31B","of","32B","weeks","3","divine","3","glory","3","of","32C","last","31B",0.310000000012224,TRUE
"14","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may truly and devoutly serve you through",50,"our","lord","3","through","31B","you","32C","our","3","life","2","south","2","lord","2","glass","2","window","2","zero","2",0.25,TRUE
"15","1/3 cup tomato paste","cup tomato",3,"paste","paste","3","paste","2","dvd","21","of","21","tea","21","chopped","21","dough","21","paste","21","the","21","a","21",0.0499999999883585,TRUE
