"","word"
"1","right"
"2","last"
"3","new"
"4","feel"
"5","can"
"6","looking"
"7","pretty"
"8","high"
"9","long"
"10","years"
"11","even"
"12","first"
"13","make"
"14","every"
"15","looks"
"16","one"
"17","sounds"
"18","just"
"19","next"
"20","united"
"21","good"
"22","let"
"23","year"
"24","blog"
"25","two"
"26","come"
"27","go"
"28","much"
"29","coming"
"30","great"
"31","thanks"
"32","weeks"
"33","will"
"34","might"
"35","want"
"36","able"
"37","feels"
"38","follow"
"39","get"
"40","look"
"41","mothers"
"42","things"
"43","way"
"44","everything"
"45","going"
"46","many"
"47","need"
"48","now"
"49","people"
"50","popular"
"51","really"
"52","seems"
"53","sports"
"54","three"
"55","us"
"56","valentines"
"57","wait"
"58","act"
"59","climate"
"60","couple"
"61","design"
"62","felt"
"63","happy"
"64","jesus"
"65","keep"
"66","know"
"67","maybe"
"68","oh"
"69","past"
"70","see"
"71","social"
"72","something"
"73","star"
"74","tell"
"75","weight"
"76","whole"
"77","always"
"78","another"
"79","anyone"
"80","back"
"81","blah"
"82","boom"
"83","came"
"84","early"
"85","ever"
"86","everyone"
"87","far"
"88","five"
"89","friday"
"90","gay"
"91","got"
"92","guess"
"93","harry"
"94","hate"
"95","hope"
"96","join"
"97","least"
"98","like"
"99","little"
"100","los"
"101","may"
"102","mommy"
"103","months"
"104","play"
"105","please"
"106","saturday"
"107","several"
"108","someone"
"109","sound"
"110","stay"
"111","still"
"112","sure"
"113","time"
"114","words"
"115","yet"
"116","york"
"117","almost"
"118","also"
"119","around"
"120","baby"
"121","best"
"122","buy"
"123","care"
"124","civil"
"125","commercial"
"126","court"
"127","diet"
"128","elementary"
"129","email"
"130","end"
"131","especially"
"132","excited"
"133","fall"
"134","full"
"135","give"
"136","goal"
"137","hard"
"138","health"
"139","help"
"140","holy"
"141","however"
"142","im"
"143","large"
"144","leave"
"145","living"
"146","looked"
"147","lot"
"148","love"
"149","made"
"150","never"
"151","nothing"
"152","old"
"153","prime"
"154","put"
"155","quite"
"156","sense"
"157","september"
"158","small"
"159","st"
"160","state"
"161","stop"
"162","street"
"163","take"
"164","ten"
"165","thank"
"166","thing"
"167","think"
"168","thought"
"169","tina"
"170","today"
"171","try"
"172","trying"
"173","u"
"174","uh"
"175","well"
"176","went"
"177","white"
"178","yes"
"179","young"
"180","already"
"181","amazing"
"182","anything"
"183","awesome"
"184","ban"
"185","barack"
"186","bear"
"187","better"
"188","big"
"189","biggest"
"190","birthday"
"191","black"
"192","blue"
"193","books"
"194","brand"
"195","breast"
"196","bring"
"197","cant"
"198","cell"
"199","centered"
"200","certain"
"201","chance"
"202","check"
"203","chocolate"
"204","closest"
"205","college"
"206","coney"
"207","create"
"208","credit"
"209","cup"
"210","cut"
"211","day"
"212","days"
"213","deaf"
"214","decided"
"215","difficult"
"216","dinner"
"217","dire"
"218","duck"
"219","east"
"220","either"
"221","eleventh"
"222","energy"
"223","enough"
"224","et"
"225","family"
"226","fast"
"227","favorite"
"228","federal"
"229","feeling"
"230","fell"
"231","film"
"232","finally"
"233","find"
"234","fingers"
"235","four"
"236","fourth"
"237","free"
"238","front"
"239","fun"
"240","games"
"241","gave"
"242","gift"
"243","ginger"
"244","giving"
"245","gotta"
"246","half"
"247","headed"
"248","heart"
"249","home"
"250","hormone"
"251","hot"
"252","hour"
"253","hug"
"254","human"
"255","immigration"
"256","interesting"
"257","latin"
"258","lead"
"259","learning"
"260","life"
"261","litigation"
"262","loud"
"263","loved"
"264","lower"
"265","main"
"266","makes"
"267","matter"
"268","mean"
"269","meaning"
"270","means"
"271","mind"
"272","must"
"273","needless"
"274","nice"
"275","nuts"
"276","olive"
"277","order"
"278","outside"
"279","passed"
"280","patent"
"281","pcbs"
"282","per"
"283","post"
"284","pray"
"285","president"
"286","press"
"287","probably"
"288","profile"
"289","real"
"290","rich"
"291","rock"
"292","room"
"293","rt"
"294","san"
"295","saute"
"296","saw"
"297","say"
"298","says"
"299","school"
"300","science"
"301","season"
"302","second"
"303","seeing"
"304","sell"
"305","separate"
"306","six"
"307","smart"
"308","solar"
"309","sometimes"
"310","spend"
"311","spending"
"312","spent"
"313","story"
"314","sunday"
"315","super"
"316","taking"
"317","th"
"318","thus"
"319","times"
"320","took"
"321","trayvon"
"322","tree"
"323","trust"
"324","truth"
"325","tv"
"326","twitter"
"327","walked"
"328","wall"
"329","wanted"
"330","week"
"331","whatever"
"332","whose"
"333","without"
"334","work"
"335","working"
"336","write"
"337","ya"
"338","yeah"
"339","ability"
"340","absolutely"
"341","acquired"
"342","across"
"343","actors"
"344","actually"
"345","add"
"346","added"
"347","adding"
"348","address"
"349","adore"
"350","adult"
"351","advanced"
"352","advent"
"353","aer"
"354","african"
"355","agents"
"356","ago"
"357","ahead"
"358","aircraft"
"359","alien"
"360","aliens"
"361","almond"
"362","along"
"363","am"
"364","amazon"
"365","american"
"366","among"
"367","amount"
"368","anders"
"369","ann"
"370","announced"
"371","answer"
"372","answered"
"373","anybody"
"374","anyway"
"375","apartment"
"376","approach"
"377","arms"
"378","arrived"
"379","art"
"380","arthur"
"381","asked"
"382","attack"
"383","attorney"
"384","aunt"
"385","austerity"
"386","average"
"387","away"
"388","aww"
"389","ayushman"
"390","babies"
"391","bad"
"392","bakers"
"393","baking"
"394","banana"
"395","band"
"396","bank"
"397","baptist"
"398","bar"
"399","based"
"400","beautiful"
"401","become"
"402","becomes"
"403","becoming"
"404","began"
"405","behind"
"406","behring"
"407","believe"
"408","bell"
"409","ben"
"410","bill"
"411","billion"
"412","birds"
"413","bit"
"414","bits"
"415","blanks"
"416","blind"
"417","blush"
"418","body"
"419","book"
"420","born"
"421","boston"
"422","bowl"
"423","box"
"424","boxes"
"425","boy"
"426","brain"
"427","brains"
"428","breaking"
"429","breath"
"430","brewing"
"431","bright"
"432","british"
"433","broadcast"
"434","broken"
"435","brought"
"436","brown"
"437","brush"
"438","bull"
"439","burton"
"440","business"
"441","busy"
"442","butter"
"443","buying"
"444","buzz"
"445","cake"
"446","call"
"447","called"
"448","canadian"
"449","card"
"450","cards"
"451","cared"
"452","carried"
"453","carrot"
"454","cartoon"
"455","case"
"456","catholic"
"457","caught"
"458","cause"
"459","cent"
"460","certainly"
"461","challenges"
"462","change"
"463","chat"
"464","checked"
"465","chicago"
"466","chicken"
"467","christ"
"468","christmas"
"469","cinco"
"470","cinder"
"471","city"
"472","classic"
"473","close"
"474","closed"
"475","clt"
"476","co"
"477","coconut"
"478","color"
"479","colored"
"480","comes"
"481","comic"
"482","comin"
"483","community"
"484","computer"
"485","consequences"
"486","construction"
"487","contact"
"488","continental"
"489","continue"
"490","convenient"
"491","conversion"
"492","cook"
"493","cookie"
"494","cooking"
"495","copyright"
"496","corner"
"497","coronation"
"498","cost"
"499","cotton"
"500","count"
"501","country"
"502","coupon"
"503","course"
"504","cover"
"505","crazy"
"506","creative"
"507","cried"
"508","crock"
"509","crying"
"510","csa"
"511","cultural"
"512","culture"
"513","curry"
"514","custom"
"515","d"
"516","da"
"517","dallas"
"518","dance"
"519","dark"
"520","daughter"
"521","david"
"522","dazzling"
"523","de"
"524","dear"
"525","deaths"
"526","decades"
"527","deep"
"528","die"
"529","died"
"530","different"
"531","dining"
