"","x"
"1",130
"2",149
"3",961
"4",1358
"5",1635
"6",1833
"7",2910
"8",3188
"9",4433
"10",4726
"11",4914
"12",5669
"13",5883
"14",6368
"15",6492
"16",6789
"17",7139
"18",7962
"19",8964
"20",9128
"21",9144
"22",9758
"23",9912
"24",10313
"25",10583
"26",10881
"27",11137
"28",11248
"29",11418
"30",11599
"31",11937
"32",12225
"33",13187
"34",13636
"35",15149
"36",15687
"37",15736
"38",15851
"39",16063
"40",16174
"41",18010
"42",18281
"43",18320
"44",18341
"45",18472
"46",18599
"47",18869
"48",18959
"49",19411
"50",19525
"51",19670
"52",19746
"53",19824
"54",20729
"55",21286
"56",22463
"57",22487
"58",23112
"59",23351
"60",23368
"61",23603
"62",23899
"63",24502
"64",24580
"65",24730
"66",26075
"67",26137
"68",26965
"69",27042
"70",27318
"71",27552
"72",27572
"73",27621
"74",27846
"75",28081
"76",28419
"77",28477
"78",29054
"79",29079
"80",29384
"81",29620
"82",30138
"83",30209
"84",30425
"85",30722
"86",31542
"87",31742
"88",32138
"89",32309
"90",32420
"91",32554
"92",32662
"93",33028
"94",33402
"95",34173
"96",34364
"97",35184
"98",35361
"99",35378
"100",35500
"101",35867
"102",35903
"103",35925
"104",35938
"105",36034
"106",36406
"107",36844
"108",36972
"109",37210
"110",37640
"111",37866
"112",38504
"113",38940
"114",39095
"115",39405
"116",39678
"117",39836
"118",40205
"119",40350
"120",40781
"121",41602
"122",41754
"123",42214
"124",42906
"125",43375
"126",43861
"127",43992
"128",45184
"129",45234
"130",45631
"131",45791
"132",45795
"133",46099
"134",46325
"135",46638
"136",47228
"137",47606
"138",47660
"139",47962
"140",48102
"141",48421
"142",48919
"143",48969
"144",49170
"145",49497
"146",49698
"147",49726
"148",49798
"149",50375
"150",50471
"151",50533
"152",50551
"153",50680
"154",50710
"155",50896
"156",51009
"157",51375
"158",51960
"159",52610
"160",52642
"161",53116
"162",53371
"163",53745
"164",54406
"165",54687
"166",54802
"167",54882
"168",55673
"169",55958
"170",56316
"171",56620
"172",57226
"173",57360
"174",57478
"175",57882
"176",58113
"177",58577
"178",58811
"179",59362
"180",59449
"181",59560
"182",60415
"183",60732
"184",60975
"185",61248
"186",61370
"187",61372
"188",62078
"189",62301
"190",62895
"191",62956
"192",63006
"193",63283
"194",63541
"195",63563
"196",64034
"197",64269
"198",64453
"199",65164
"200",65173
"201",65727
"202",65983
"203",66032
"204",66823
"205",67158
"206",67628
"207",67650
"208",68010
"209",68052
"210",69370
"211",69858
"212",71859
"213",72157
"214",72438
"215",73178
"216",74143
"217",74440
"218",74460
"219",74937
"220",75168
"221",75406
"222",75607
"223",76670
"224",77529
"225",77530
"226",78208
"227",78378
"228",78417
"229",78627
"230",78976
"231",79018
"232",79024
"233",79074
"234",79407
"235",79467
"236",79837
"237",80129
"238",80169
"239",80213
"240",80494
"241",80683
"242",80723
"243",80976
"244",81080
"245",81212
"246",81282
"247",81353
"248",81567
"249",81810
"250",82093
"251",82434
"252",82577
"253",82648
"254",82757
"255",83146
"256",83181
"257",83304
"258",84069
"259",84181
"260",84334
"261",84604
"262",84963
"263",85623
"264",85768
"265",86165
"266",86286
"267",86482
"268",87096
"269",87457
"270",87625
"271",87626
"272",87799
"273",87989
"274",88222
"275",88586
"276",89195
"277",89973
"278",90213
"279",90287
"280",90304
"281",90355
"282",90835
"283",91050
"284",91551
"285",91608
"286",91629
"287",91632
"288",92214
"289",92299
"290",92787
"291",93412
"292",93654
"293",93730
"294",94703
"295",94741
"296",94894
"297",94913
"298",94918
"299",95033
"300",95260
"301",95597
"302",95719
"303",95745
"304",96148
"305",96216
"306",96236
"307",96391
"308",96659
"309",96706
"310",96980
"311",97126
"312",97974
"313",98014
"314",98276
"315",98924
"316",99027
"317",99043
"318",100055
"319",100157
"320",100580
"321",100713
"322",100762
"323",100904
"324",101074
"325",101109
"326",101670
"327",101728
"328",101970
"329",102479
"330",102697
"331",102984
"332",103287
"333",103326
"334",103383
"335",103678
"336",104284
"337",104468
"338",104479
"339",104700
"340",105099
"341",105297
"342",105839
"343",107069
"344",107117
"345",107363
"346",107538
"347",108102
"348",108141
"349",108564
"350",109395
"351",110023
"352",111515
"353",111587
"354",111951
"355",112260
"356",112554
"357",112682
"358",112819
"359",112873
"360",113476
"361",114136
"362",114234
"363",114238
"364",114290
"365",114558
"366",115133
"367",116096
"368",116197
"369",116534
"370",116710
"371",117001
"372",117020
"373",117051
"374",117102
"375",117539
"376",117727
"377",117804
"378",117893
"379",117908
"380",118015
"381",118032
"382",118176
"383",118359
"384",119482
"385",119638
"386",119642
"387",120342
"388",120468
"389",121207
"390",121208
"391",121296
"392",121446
"393",121551
"394",121664
"395",121714
"396",122065
"397",122117
"398",122540
"399",122630
"400",122775
"401",122851
"402",123142
"403",123284
"404",123953
"405",124538
"406",124770
"407",125387
"408",125553
"409",125616
"410",126078
"411",126125
"412",126511
"413",126533
"414",126552
"415",126643
"416",127888
"417",127936
"418",128340
"419",128515
"420",128785
"421",128924
"422",129224
"423",129708
"424",130078
"425",130861
"426",130936
"427",131116
"428",131128
"429",131326
"430",132171
"431",132472
"432",132703
"433",132916
"434",132945
"435",133161
"436",133450
"437",133610
"438",133837
"439",133838
"440",134374
"441",134935
"442",135161
"443",135929
"444",136261
"445",136284
"446",136461
"447",136587
"448",136760
"449",136936
"450",136988
"451",137002
"452",137190
"453",137191
"454",137257
"455",137863
"456",138070
"457",138177
"458",138337
"459",138629
"460",139090
"461",139243
"462",139508
"463",139593
"464",139616
"465",139757
"466",140201
"467",140374
"468",140404
"469",140678
"470",140882
"471",141194
"472",141231
"473",141232
"474",141798
"475",142280
"476",142531
"477",142892
"478",142929
"479",142935
"480",143394
"481",143449
"482",144268
"483",145394
"484",145444
"485",145528
"486",145672
"487",146151
"488",146563
"489",146706
"490",147288
"491",147320
"492",147386
"493",148131
"494",148176
"495",148235
"496",149065
"497",149281
"498",149451
"499",149889
"500",150236
"501",150389
"502",150421
"503",150719
"504",150911
"505",151292
"506",151346
"507",151725
"508",151737
"509",152002
"510",152055
"511",152452
"512",152624
"513",152960
"514",153620
"515",153769
"516",154685
"517",154822
"518",154846
"519",154874
"520",155175
"521",155944
"522",156223
"523",156705
"524",157525
"525",157800
"526",157826
"527",158267
"528",158649
"529",159154
"530",159785
"531",159810
"532",160394
"533",160458
"534",160462
"535",161486
"536",161968
"537",162186
"538",162573
"539",162594
"540",162808
"541",162949
"542",163121
"543",163467
"544",163555
"545",163788
"546",164113
"547",164288
"548",164582
"549",164819
"550",165426
"551",165510
"552",165754
"553",166704
"554",166839
"555",167081
"556",167339
"557",167497
"558",167498
"559",167840
"560",167965
"561",167972
"562",168779
"563",169363
"564",169817
"565",169895
"566",170469
"567",170528
"568",170548
"569",170636
"570",170863
"571",172166
"572",172300
"573",172427
"574",172594
"575",172644
"576",173081
"577",173258
"578",173384
"579",175142
"580",175378
"581",176132
"582",176400
"583",176415
"584",176668
"585",176781
"586",176803
"587",177036
"588",177375
"589",177608
"590",177939
"591",178290
"592",179795
"593",179864
"594",180004
"595",180591
"596",181049
"597",181222
"598",182083
"599",182752
"600",183341
"601",183448
"602",183646
"603",184023
"604",184633
"605",185023
"606",185297
"607",185356
"608",185551
"609",185981
"610",186330
"611",186414
"612",186527
"613",187310
"614",187380
"615",187409
"616",187447
"617",187652
"618",188279
"619",188615
"620",188837
"621",189040
"622",189318
"623",189658
"624",189811
"625",190043
"626",190173
"627",190606
"628",190754
"629",190909
"630",191444
"631",192381
"632",192502
"633",192621
"634",192630
"635",192887
"636",193407
"637",193529
"638",193873
"639",194017
"640",194113
"641",194418
"642",194429
"643",194563
"644",195027
"645",195312
"646",195735
"647",196582
"648",196792
"649",197389
"650",197693
"651",198175
"652",198529
"653",198578
"654",198757
"655",199797
"656",200026
"657",200238
"658",200446
"659",201917
"660",202197
"661",202255
"662",203433
"663",203542
"664",203774
"665",203945
"666",204415
"667",204493
"668",204507
"669",204840
"670",205209
"671",205266
"672",205328
"673",205457
"674",205548
"675",207501
"676",207614
"677",207645
"678",207714
"679",208064
"680",208704
"681",208831
"682",208892
"683",209330
"684",209571
"685",209776
"686",209848
"687",209867
"688",209914
"689",209959
"690",210095
"691",210240
"692",210456
"693",210634
"694",210748
"695",210822
"696",211479
"697",211727
"698",211856
"699",212450
"700",213270
"701",213387
"702",213812
"703",213925
"704",214054
"705",214082
"706",214101
"707",214263
"708",214525
"709",214735
"710",214835
"711",215283
"712",215975
"713",216177
"714",216424
"715",216764
"716",216874
"717",216985
"718",217279
"719",217388
"720",217453
"721",218602
"722",218616
"723",218789
"724",219731
"725",220087
"726",220156
"727",220689
"728",220696
"729",220847
"730",221058
"731",221094
"732",221277
"733",221338
"734",221759
"735",222170
"736",222861
"737",223967
"738",224665
"739",225174
"740",225595
"741",225738
"742",226264
"743",226362
"744",226685
"745",226746
"746",227042
"747",227138
"748",227268
"749",227846
"750",227883
"751",228371
"752",229040
"753",229482
"754",229630
"755",229749
"756",229763
"757",229949
"758",230001
"759",230044
"760",230334
"761",230452
"762",230673
"763",231010
"764",231283
"765",231502
"766",231763
"767",231944
"768",232289
"769",232809
"770",232905
"771",233470
"772",233547
"773",233782
"774",234013
"775",234910
"776",235306
"777",235414
"778",235510
"779",235618
"780",235744
"781",236066
"782",236742
"783",237267
"784",237311
"785",237319
"786",237468
"787",237629
"788",237920
"789",238058
"790",238111
"791",238131
"792",239099
"793",240133
"794",240502
"795",240992
"796",241413
"797",241557
"798",242131
"799",242605
"800",243726
"801",244058
"802",244567
"803",244826
"804",245133
"805",245421
"806",245512
"807",245569
"808",245579
"809",245811
"810",246542
"811",246663
"812",246850
"813",246879
"814",247277
"815",247462
"816",247752
"817",247768
"818",247803
"819",248378
"820",248456
"821",249261
"822",249552
"823",249606
"824",250513
"825",251015
"826",251401
"827",251440
"828",251796
"829",252769
"830",252970
"831",253111
"832",253299
"833",253547
"834",253673
"835",254292
"836",254354
"837",255063
"838",255801
"839",256040
"840",256955
"841",257597
"842",257722
"843",257971
"844",258328
"845",258353
"846",258542
"847",258641
"848",258731
"849",258768
"850",259191
"851",259313
"852",259561
"853",259877
"854",260036
"855",260322
"856",260463
"857",261364
"858",261506
"859",261633
"860",261745
"861",263615
"862",263650
"863",264226
"864",264360
"865",264560
"866",264824
"867",265204
"868",265566
"869",265863
"870",266311
"871",267032
"872",267071
"873",267258
"874",267323
"875",267830
"876",268156
"877",268247
"878",269372
"879",269702
"880",269768
"881",269915
"882",270333
"883",270846
"884",271083
"885",272303
"886",272524
"887",272751
"888",273101
"889",273136
"890",273217
"891",273318
"892",273337
"893",273998
"894",274026
"895",274234
"896",274393
"897",274663
"898",274917
"899",275382
"900",275642
"901",276010
"902",276128
"903",276167
"904",276591
"905",277057
"906",277309
"907",277747
"908",278735
"909",278791
"910",278808
"911",280857
"912",281055
"913",282127
"914",282146
"915",282199
"916",282464
"917",282701
"918",282876
"919",283252
"920",283392
"921",283650
"922",283672
"923",283734
"924",283959
"925",284406
"926",284543
"927",284793
"928",284983
"929",286199
"930",286428
"931",287195
"932",288354
"933",288621
"934",288701
"935",289059
"936",289876
"937",290127
"938",290139
"939",290361
"940",291303
"941",291381
"942",291442
"943",291701
"944",291885
"945",292013
"946",292063
"947",292305
"948",292331
"949",292430
"950",293156
"951",294533
"952",294893
"953",295105
"954",295383
"955",295537
"956",295943
"957",296430
"958",296735
"959",297580
"960",298699
"961",299302
"962",300023
"963",300325
"964",300332
"965",300370
"966",301001
"967",301025
"968",301082
"969",301085
"970",301123
"971",301246
"972",301263
"973",301361
"974",301524
"975",302214
"976",302380
"977",302722
"978",302795
"979",302928
"980",303102
"981",303409
"982",303492
"983",303804
"984",303930
"985",304434
"986",304776
"987",304981
"988",304999
"989",305515
"990",305817
"991",306438
"992",306849
"993",307255
"994",307645
"995",307999
"996",308009
"997",308029
"998",308828
"999",308923
"1000",309152
"1001",309520
"1002",309934
"1003",310447
"1004",310543
"1005",311162
"1006",311470
"1007",311868
"1008",312297
"1009",312366
"1010",312739
"1011",313074
"1012",313273
"1013",313529
"1014",314101
"1015",314147
"1016",315044
"1017",315095
"1018",315180
"1019",315725
"1020",316380
"1021",316424
"1022",316856
"1023",317087
"1024",317115
"1025",317782
"1026",317811
"1027",318095
"1028",318344
"1029",318485
"1030",318556
"1031",319765
"1032",320051
"1033",320983
"1034",321057
"1035",321280
"1036",321360
"1037",321781
"1038",321831
"1039",322065
"1040",322227
"1041",322473
"1042",323598
"1043",323947
"1044",324409
"1045",324450
"1046",324634
"1047",325418
"1048",326084
"1049",326280
"1050",326481
"1051",326749
