"","x"
"1",2
"2",7
"3",8
"4",9
"5",12
"6",18
"7",19
"8",21
"9",22
"10",26
"11",27
"12",28
"13",34
"14",36
"15",37
"16",38
"17",41
"18",44
"19",45
"20",47
"21",49
"22",50
"23",53
"24",55
"25",57
"26",58
"27",60
"28",61
"29",62
"30",63
"31",65
"32",67
"33",72
"34",73
"35",74
"36",76
"37",77
"38",79
"39",80
"40",81
"41",82
"42",88
"43",91
"44",95
"45",103
"46",104
"47",105
"48",106
"49",107
"50",112
"51",113
"52",114
"53",115
"54",118
"55",119
"56",120
"57",121
"58",122
"59",123
"60",126
"61",127
"62",128
"63",129
"64",132
"65",133
"66",134
"67",135
"68",136
"69",140
"70",144
"71",145
"72",146
"73",147
"74",149
"75",150
"76",152
"77",156
"78",158
"79",159
"80",160
"81",162
"82",164
"83",165
"84",166
"85",167
"86",168
"87",169
"88",170
"89",171
"90",172
"91",175
"92",176
"93",177
"94",178
"95",179
"96",181
"97",182
"98",183
"99",184
"100",185
"101",187
"102",190
"103",192
"104",195
"105",198
"106",199
"107",200
"108",201
"109",204
"110",207
"111",209
"112",210
"113",211
"114",213
"115",214
"116",216
"117",217
"118",218
"119",221
"120",222
"121",223
"122",228
"123",232
"124",237
"125",238
"126",239
"127",242
"128",243
"129",244
"130",245
"131",249
"132",250
"133",251
"134",253
"135",255
"136",256
"137",258
"138",259
"139",261
"140",262
"141",263
"142",265
"143",267
"144",269
"145",270
"146",271
"147",275
"148",276
"149",281
"150",282
"151",283
"152",284
"153",286
"154",287
"155",288
"156",289
"157",292
"158",294
"159",295
"160",296
"161",298
"162",302
"163",303
"164",304
"165",305
"166",306
"167",307
"168",309
"169",310
"170",311
"171",315
"172",320
"173",322
"174",323
"175",324
"176",325
"177",326
"178",328
"179",329
"180",332
"181",336
"182",338
"183",339
"184",340
"185",341
"186",343
"187",344
"188",345
"189",348
"190",349
"191",351
"192",356
"193",358
"194",359
"195",361
"196",362
"197",363
"198",364
"199",366
"200",367
"201",368
"202",369
"203",370
"204",372
"205",375
"206",376
"207",377
"208",379
"209",385
"210",387
"211",388
"212",390
"213",391
"214",395
"215",398
"216",399
"217",400
"218",401
"219",404
"220",407
"221",408
"222",411
"223",412
"224",414
"225",416
"226",417
"227",418
"228",419
"229",420
"230",422
"231",423
"232",425
"233",426
"234",428
"235",429
"236",431
"237",433
"238",434
"239",435
"240",436
"241",437
"242",438
"243",439
"244",442
"245",444
"246",448
"247",449
"248",453
"249",454
"250",455
"251",457
"252",459
"253",460
"254",462
"255",464
"256",465
"257",468
"258",471
"259",474
"260",475
"261",479
"262",480
"263",481
"264",482
"265",484
"266",488
"267",489
"268",492
"269",493
"270",495
"271",496
"272",497
"273",499
"274",500
"275",502
"276",504
"277",509
"278",510
"279",513
"280",514
"281",515
"282",516
"283",518
"284",519
"285",520
"286",521
"287",523
"288",525
"289",526
"290",530
"291",531
"292",534
"293",537
"294",538
"295",539
"296",540
"297",541
"298",542
"299",543
"300",544
"301",545
"302",546
"303",547
"304",548
"305",549
"306",551
"307",552
"308",558
"309",559
"310",560
"311",562
"312",564
"313",565
"314",566
"315",567
"316",568
"317",569
"318",570
"319",573
"320",575
"321",576
"322",577
"323",579
"324",581
"325",584
"326",585
"327",586
"328",589
"329",591
"330",592
"331",593
"332",594
"333",595
"334",599
"335",600
"336",601
"337",603
"338",604
"339",605
"340",606
"341",607
"342",608
"343",609
"344",610
"345",611
"346",613
"347",615
"348",616
"349",617
"350",619
"351",620
"352",621
"353",623
"354",624
"355",625
"356",626
"357",627
"358",628
"359",630
"360",631
"361",632
"362",633
"363",634
"364",635
"365",636
"366",637
"367",640
"368",645
"369",646
"370",647
"371",649
"372",650
"373",652
"374",653
"375",655
"376",657
"377",658
"378",664
"379",665
"380",667
"381",668
"382",669
"383",670
"384",673
"385",676
"386",680
"387",681
"388",682
"389",684
"390",685
"391",686
"392",687
"393",688
"394",691
"395",692
"396",693
"397",694
"398",695
"399",696
"400",703
"401",706
"402",707
"403",711
"404",712
"405",716
"406",717
"407",718
"408",722
"409",723
"410",724
"411",725
"412",726
"413",727
"414",729
"415",731
"416",732
"417",734
"418",735
"419",736
"420",740
"421",741
"422",742
"423",743
"424",744
"425",745
"426",746
"427",747
"428",753
"429",754
"430",755
"431",756
"432",757
"433",758
"434",760
"435",761
"436",763
"437",765
"438",767
"439",768
"440",769
"441",770
"442",772
"443",779
"444",780
"445",783
"446",784
"447",785
"448",788
"449",790
"450",792
"451",793
"452",794
"453",795
"454",796
"455",797
"456",803
"457",804
"458",805
"459",806
"460",808
"461",811
"462",812
"463",813
"464",815
"465",820
"466",821
"467",822
"468",823
"469",824
"470",825
"471",826
"472",827
"473",832
"474",833
