"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",13
"11",14
"12",15
"13",16
"14",20
"15",21
"16",22
"17",23
"18",27
"19",30
"20",34
"21",35
"22",37
"23",38
"24",39
"25",40
"26",41
"27",45
"28",46
"29",47
"30",48
"31",55
"32",56
"33",60
"34",61
"35",62
"36",64
"37",65
"38",66
"39",67
"40",68
"41",69
"42",72
"43",73
"44",75
"45",76
"46",77
"47",78
"48",79
"49",80
"50",82
"51",83
"52",84
"53",86
"54",87
"55",89
"56",91
"57",92
"58",93
"59",94
"60",96
"61",99
"62",100
"63",104
"64",105
"65",107
"66",108
"67",109
"68",111
"69",113
"70",114
"71",115
"72",116
"73",119
"74",120
"75",122
"76",123
"77",124
"78",125
"79",127
"80",128
"81",129
"82",131
"83",135
"84",136
"85",137
"86",140
"87",142
"88",143
"89",144
"90",148
"91",150
"92",151
"93",152
"94",153
"95",154
"96",155
"97",156
"98",157
"99",158
"100",159
"101",160
"102",161
"103",162
"104",163
"105",164
"106",167
"107",168
"108",170
"109",171
"110",172
"111",173
"112",174
"113",176
"114",180
"115",182
"116",183
"117",185
"118",186
"119",187
"120",190
"121",191
"122",192
"123",194
"124",195
"125",196
"126",198
"127",199
"128",201
"129",204
"130",205
"131",207
"132",210
"133",212
"134",215
"135",218
"136",219
"137",220
"138",223
"139",225
"140",226
"141",227
"142",228
"143",229
"144",230
"145",232
"146",233
"147",234
"148",235
"149",236
"150",237
"151",238
"152",239
"153",243
"154",244
"155",246
"156",248
"157",250
"158",253
"159",254
"160",255
"161",256
"162",258
"163",260
"164",262
"165",263
"166",264
"167",265
"168",268
"169",271
"170",274
"171",279
"172",280
"173",283
"174",285
"175",288
"176",289
"177",290
"178",291
"179",293
"180",297
"181",298
"182",299
"183",302
"184",307
"185",310
"186",312
"187",315
"188",316
"189",317
"190",320
"191",322
"192",324
"193",326
"194",328
"195",329
"196",330
"197",332
"198",333
"199",335
"200",336
"201",337
"202",339
"203",340
"204",341
"205",346
"206",347
"207",348
"208",349
"209",350
"210",353
"211",358
"212",360
"213",362
"214",364
"215",366
"216",367
"217",368
"218",371
"219",372
"220",374
"221",376
"222",377
"223",378
"224",381
"225",383
"226",384
"227",386
"228",388
"229",391
"230",392
"231",393
"232",394
"233",395
"234",397
"235",398
"236",399
"237",400
"238",403
"239",404
"240",405
"241",407
"242",408
"243",411
"244",413
"245",414
"246",415
"247",416
"248",418
"249",420
"250",421
"251",423
"252",424
"253",425
"254",426
"255",427
"256",429
"257",430
"258",432
"259",433
"260",435
"261",436
"262",437
"263",438
"264",440
"265",442
"266",444
"267",445
"268",447
"269",448
"270",449
"271",453
"272",454
"273",456
"274",460
"275",463
"276",466
"277",467
"278",469
"279",471
"280",472
"281",473
"282",475
"283",477
"284",479
"285",480
"286",482
"287",483
"288",484
"289",485
"290",487
"291",488
"292",489
"293",490
"294",492
"295",493
"296",495
"297",496
"298",497
"299",499
"300",500
