"","x"
"1",75
"2",1992
"3",3794
"4",3847
"5",6231
"6",8977
"7",9307
"8",11503
"9",13587
"10",14486
"11",16280
"12",17325
"13",18416
"14",18459
"15",21200
"16",32065
"17",33378
"18",36663
"19",37643
"20",38954
"21",42715
"22",43627
"23",46464
"24",49062
"25",51133
"26",53966
"27",63787
"28",65692
"29",69870
"30",72008
"31",79548
"32",87882
"33",88130
"34",88781
"35",90108
"36",91833
"37",92140
"38",93647
"39",99945
"40",106066
"41",112247
"42",112519
"43",115398
"44",121356
"45",126398
"46",135969
"47",137581
"48",138468
"49",138523
"50",142561
"51",143605
"52",151304
"53",151441
"54",159177
"55",164267
"56",165203
"57",166633
"58",169648
"59",172392
"60",175358
"61",176526
"62",186673
"63",187323
"64",193746
"65",209984
"66",210447
"67",211052
"68",211087
"69",215705
"70",215919
"71",220956
"72",237083
"73",255985
"74",256138
"75",257957
"76",259444
"77",269213
"78",270288
"79",277966
"80",288326
"81",289555
"82",302400
"83",303597
"84",304757
"85",308774
"86",312920
"87",323156
"88",323653
"89",332191
"90",340979
"91",342223
"92",346132
"93",348652
"94",350463
"95",350826
"96",353475
"97",353771
"98",358645
"99",358671
"100",362329
"101",362736
"102",364149
"103",366048
"104",369675
"105",374546
"106",378251
"107",380123
"108",383286
"109",389658
"110",391917
"111",394618
"112",398152
"113",401526
"114",401782
"115",402311
"116",405384
"117",416438
"118",418968
"119",427163
"120",427380
"121",427440
"122",439705
"123",445142
"124",447999
"125",450949
"126",453530
"127",458544
"128",462004
"129",468689
"130",469776
"131",472390
"132",476821
"133",481021
"134",484716
"135",484803
"136",486977
"137",490321
"138",491076
"139",497113
"140",499543
"141",501112
"142",502902
"143",503398
"144",505216
"145",507892
"146",508554
"147",514946
"148",518224
"149",525888
"150",526884
"151",537343
"152",539568
"153",546139
"154",549200
"155",551136
"156",553555
"157",554425
"158",555406
"159",558513
"160",564421
"161",565269
"162",567214
"163",569468
"164",570670
"165",575564
"166",579441
"167",579717
"168",584101
"169",585755
"170",587098
"171",597302
"172",602236
"173",608650
"174",609059
"175",614125
"176",622508
"177",624742
"178",625837
"179",630082
"180",636744
"181",637945
"182",641755
"183",642468
"184",643246
"185",643482
"186",644658
"187",645031
"188",645531
"189",646850
"190",651847
"191",651985
"192",653105
"193",656460
"194",656615
"195",660822
"196",661362
"197",672072
"198",673749
"199",674669
"200",676024
"201",684769
"202",687677
"203",688792
"204",690366
"205",691750
"206",707093
"207",713363
"208",718672
"209",720514
"210",724595
"211",727339
"212",729037
"213",732106
"214",733520
"215",733625
"216",739819
"217",749728
"218",753222
"219",754114
"220",754486
"221",755631
"222",760078
"223",760303
"224",760714
"225",761123
"226",762138
"227",763057
"228",763363
"229",773359
"230",773528
"231",775041
"232",782941
"233",786349
"234",786388
"235",786986
"236",790305
"237",790603
"238",794547
"239",796986
"240",798203
"241",801799
"242",807785
"243",810536
"244",814913
"245",814926
"246",815731
"247",820431
"248",822613
"249",823846
"250",826567
"251",828303
"252",828426
"253",828481
"254",830167
"255",834926
"256",835106
"257",836990
"258",845390
"259",845961
"260",849094
"261",852631
"262",857846
"263",867192
"264",869495
"265",872087
"266",879077
"267",887027
"268",891251
"269",895758
