"","word"
"1","new"
"2","can"
"3","right"
"4","every"
"5","feel"
"6","make"
"7","last"
"8","dont"
"9","even"
"10","first"
"11","year"
"12","high"
"13","im"
"14","one"
"15","united"
"16","look"
"17","long"
"18","years"
"19","just"
"20","little"
"21","pretty"
"22","three"
"23","next"
"24","real"
"25","things"
"26","will"
"27","go"
"28","many"
"29","really"
"30","south"
"31","th"
"32","along"
"33","brand"
"34","feels"
"35","hyun"
"36","ice"
"37","much"
"38","need"
"39","now"
"40","people"
"41","want"
"42","blog"
"43","cant"
"44","get"
"45","good"
"46","ive"
"47","looking"
"48","looks"
"49","makes"
"50","social"
"51","sounds"
"52","two"
"53","black"
"54","chang"
"55","couple"
"56","day"
"57","didnt"
"58","felt"
"59","jae"
"60","know"
"61","like"
"62","several"
"63","take"
"64","anyone"
"65","back"
"66","best"
"67","five"
"68","giving"
"69","great"
"70","jesus"
"71","let"
"72","lot"
"73","love"
"74","made"
"75","patterned"
"76","prime"
"77","read"
"78","someone"
"79","spending"
"80","think"
"81","time"
"82","today"
"83","weeks"
"84","yet"
"85","york"
"86","absolutely"
"87","baking"
"88","came"
"89","comic"
"90","craft"
"91","cute"
"92","days"
"93","everyone"
"94","everything"
"95","facebook"
"96","feeling"
"97","four"
"98","going"
"99","grocery"
"100","half"
"101","hard"
"102","least"
"103","light"
"104","martha"
"105","mrs"
"106","must"
"107","never"
"108","nothing"
"109","passion"
"110","put"
"111","quite"
"112","san"
"113","say"
"114","second"
"115","seems"
"116","something"
"117","started"
"118","tell"
"119","ten"
"120","told"
"121","took"
"122","true"
"123","us"
"124","way"
"125","weight"
"126","well"
"127","world"
"128","across"
"129","aerobic"
"130","also"
"131","always"
"132","another"
"133","anything"
"134","around"
"135","ask"
"136","away"
"137","bake"
"138","believe"
"139","big"
"140","book"
"141","brought"
"142","cell"
"143","coming"
"144","couldnt"
"145","cricket"
"146","critical"
"147","decided"
"148","design"
"149","early"
"150","ever"
"151","family"
"152","fell"
"153","finish"
"154","getting"
"155","give"
"156","got"
"157","gun"
"158","health"
"159","human"
"160","life"
"161","looked"
"162","making"
"163","may"
"164","maybe"
"165","mean"
"166","mom"
"167","months"
"168","old"
"169","paintball"
"170","parking"
"171","passed"
"172","past"
"173","please"
"174","point"
"175","post"
"176","river"
"177","roman"
"178","see"
"179","seemed"
"180","seung"
"181","simply"
"182","single"
"183","six"
"184","small"
"185","sour"
"186","spend"
"187","stamp"
"188","star"
"189","stay"
"190","tax"
"191","try"
"192","valentines"
"193","able"
"194","according"
"195","advent"
"196","aged"
"197","ago"
"198","air"
"199","allow"
"200","almost"
"201","already"
"202","answer"
"203","bad"
"204","bbq"
"205","better"
"206","bit"
"207","born"
"208","brewing"
"209","bride"
"210","caught"
"211","centered"
"212","certain"
"213","chances"
"214","city"
"215","classes"
"216","closed"
"217","come"
"218","company"
"219","constant"
"220","crack"
"221","cream"
"222","cup"
"223","dark"
"224","december"
"225","difficult"
"226","dining"
"227","distress"
"228","easily"
"229","eat"
"230","either"
"231","else"
"232","email"
"233","end"
"234","estate"
"235","ethnic"
"236","extra"
"237","fast"
"238","favorite"
"239","fictional"
"240","finally"
"241","find"
"242","fingers"
"243","food"
"244","former"
"245","friend"
"246","funny"
"247","gave"
"248","gift"
"249","girls"
"250","goat"
"251","god"
"252","grilled"
"253","group"
"254","gummi"
"255","havent"
"256","heart"
"257","hello"
"258","help"
"259","holiday"
"260","hope"
"261","hoped"
"262","hopefully"
"263","hours"
"264","hyde"
"265","id"
"266","ill"
"267","important"
"268","jean"
"269","join"
"270","keeps"
"271","kids"
"272","kinda"
"273","knew"
"274","late"
"275","leader"
"276","left"
"277","lets"
"278","letters"
"279","lgbt"
"280","living"
"281","los"
"282","lose"
"283","loved"
"284","lucky"
"285","manglik"
"286","matter"
"287","max"
"288","medium"
"289","middle"
"290","might"
"291","minutes"
"292","mix"
"293","month"
"294","move"
"295","mr"
"296","mycoplasma"
"297","needless"
"298","night"
"299","north"
"300","oh"
"301","older"
"302","olive"
"303","open"
"304","order"
"305","oude"
"306","paper"
"307","parmesan"
"308","peanut"
"309","play"
"310","police"
"311","poor"
"312","preheat"
"313","press"
"314","radio"
"315","rather"
"316","recent"
"317","richard"
"318","ring"
"319","rock"
"320","romney"
"321","room"
"322","salt"
"323","saturday"
"324","scene"
"325","seated"
"326","seem"
"327","sexually"
"328","shall"
"329","shopping"
"330","short"
"331","side"
"332","since"
"333","singing"
"334","sometimes"
"335","start"
"336","still"
"337","strong"
"338","students"
"339","suffice"
"340","suk"
"341","sunday"
"342","super"
"343","support"
"344","supreme"
"345","sure"
"346","taking"
"347","team"
"348","thats"
"349","theres"
"350","thing"
"351","though"
"352","thought"
"353","tick"
"354","times"
"355","tomorrow"
"356","transition"
"357","tried"
"358","trying"
"359","tummy"
"360","turned"
"361","twinkling"
"362","used"
"363","wait"
"364","walk"
"365","wanted"
"366","warm"
"367","washington"
"368","wasnt"
"369","water"
"370","web"
"371","week"
"372","went"
"373","whether"
"374","whisper"
"375","white"
"376","whoa"
"377","whole"
"378","wide"
"379","winners"
"380","within"
"381","without"
"382","women"
"383","wont"
"384","work"
"385","worked"
"386","worry"
"387","wrong"
"388","yard"
"389","yes"
"390","youre"
"391","youve"
"392","ability"
"393","accuse"
"394","acid"
"395","actively"
"396","activities"
"397","actually"
"398","add"
"399","added"
"400","adding"
"401","admit"
"402","adoptive"
"403","adverse"
"404","afraid"
"405","africa"
"406","african"
"407","ahead"
"408","al"
"409","alarm"
"410","ales"
"411","ally"
"412","although"
"413","amazon"
"414","ambassadors"
"415","american"
"416","amount"
"417","anger"
"418","angry"
"419","animals"
"420","anne"
"421","antilogger"
"422","anytime"
"423","april"
"424","area"
"425","army"
"426","arrive"
"427","art"
"428","arts"
"429","asks"
"430","assimilation"
"431","atlantic"
"432","attached"
"433","attitude"
"434","attitudes"
"435","audio"
"436","audrey"
"437","available"
"438","award"
"439","ba"
"440","baby"
"441","ball"
"442","band"
"443","bank"
"444","barack"
"445","barking"
"446","based"
"447","basic"
"448","basically"
"449","bear"
"450","beautiful"
"451","became"
"452","becoming"
"453","bed"
"454","beer"
"455","beers"
"456","beginning"
"457","behind"
"458","believers"
"459","belle"
"460","belly"
"461","beneath"
"462","bens"
"463","bernie"
"464","bestseller"
"465","beyond"
"466","bigger"
"467","bikini"
"468","birth"
"469","birthday"
"470","bits"
"471","blast"
"472","blend"
"473","blogger"
"474","blue"
"475","bonus"
"476","books"
"477","borrow"
"478","bottom"
"479","box"
"480","boxes"
"481","boys"
"482","breast"
"483","brick"
"484","bridge"
"485","brief"
"486","bring"
"487","brings"
"488","british"
"489","brother"
"490","build"
"491","built"
"492","burn"
"493","bushs"
"494","business"
"495","busy"
"496","cab"
"497","cake"
"498","california"
"499","call"
"500","called"
"501","canadian"
"502","cancer"
"503","candy"
"504","canon"
"505","capital"
"506","car"
"507","caramel"
"508","card"
"509","care"
"510","carling"
"511","carried"
"512","carry"
"513","case"
"514","cash"
"515","cass"
"516","cast"
"517","catch"
"518","catholic"
"519","cause"
"520","certainly"
"521","chalkboard"
"522","challenge"
"523","chance"
"524","change"
"525","character"
"526","chassis"
"527","check"
"528","chicago"
"529","child"
"530","childless"
"531","children"
"532","childrens"
"533","chock"
"534","chocolate"
"535","choose"
"536","choosing"
"537","chopped"
"538","chores"
"539","christmas"
"540","civil"
"541","class"
"542","close"
"543","club"
"544","code"
"545","cold"
"546","college"
"547","color"
"548","colour"
"549","coloured"
"550","columbia"
"551","combine"
"552","comes"
"553","comfortable"
"554","common"
"555","commonly"
"556","communicate"
"557","communicating"
"558","complete"
"559","conference"
"560","connect"
"561","control"
"562","controller"
"563","cook"
"564","cooked"
"565","cookie"
"566","cool"
"567","coped"
"568","copious"
"569","corporate"
"570","country"
"571","course"
"572","covent"
"573","cover"
"574","covers"
"575","create"
"576","cricut"
"577","crimes"
"578","customer"
"579","cut"
"580","da"
"581","daily"
"582","dance"
"583","data"
"584","dead"
"585","dear"
"586","death"
"587","debut"
"588","decision"
"589","deep"
"590","definitely"
"591","dental"
"592","describes"
"593","designers"
"594","desk"
"595","desperately"
"596","despite"
"597","detective"
"598","determined"
"599","diaper"
"600","diapers"
"601","diced"
"602","die"
"603","different"
"604","digga"
"605","dime"
"606","dinner"
"607","distance"
"608","doesnt"
"609","dog"
"610","dominican"
