"","x"
"1",6321
"2",13259
"3",25237
"4",38809
"5",43727
"6",51435
"7",59261
"8",72625
"9",84763
"10",135475
"11",148613
"12",152083
"13",211942
"14",233220
"15",269823
"16",275428
"17",280231
"18",299903
"19",310399
"20",329080
"21",329278
"22",332153
"23",333281
"24",354219
"25",380469
"26",386898
"27",391856
"28",446767
"29",467926
"30",478898
"31",485592
"32",500344
"33",503950
"34",509028
"35",511967
"36",525919
"37",529417
"38",531620
"39",541263
"40",595385
"41",622431
"42",640293
"43",646458
"44",696862
"45",709380
"46",722434
"47",735461
"48",745497
"49",748750
"50",751236
"51",794608
"52",803318
"53",807964
"54",821695
"55",838663
"56",843832
"57",851957
"58",869991
"59",877065
"60",884729
