"","x"
"1",2407
"2",3059
"3",3065
"4",6102
"5",7308
"6",7424
"7",10581
"8",10606
"9",10683
"10",11118
"11",13471
"12",24047
"13",24050
"14",26768
"15",27212
"16",28579
"17",30475
"18",31956
"19",33691
"20",34512
"21",36231
"22",36262
"23",37018
"24",38731
"25",39727
"26",42902
"27",43127
"28",45677
"29",48693
"30",52324
"31",56904
"32",57094
"33",59026
"34",60036
"35",60152
"36",61559
"37",62079
"38",62750
"39",65924
"40",69292
"41",72756
"42",78434
"43",81718
"44",83067
"45",84388
"46",85263
"47",87468
"48",88107
"49",89482
"50",90521
"51",93611
"52",94048
"53",95682
"54",96455
"55",96467
"56",99779
"57",99780
"58",100921
"59",102451
"60",104406
"61",104436
"62",107268
"63",108233
"64",110050
"65",110803
"66",115048
"67",115049
"68",117219
"69",118045
"70",123434
"71",127455
"72",131179
"73",132027
"74",133343
"75",134127
"76",134832
"77",135433
"78",135508
"79",137356
"80",144259
"81",146090
"82",149968
"83",152707
"84",154338
"85",155760
"86",156161
"87",156457
"88",157555
"89",159431
"90",160417
"91",161414
"92",161446
"93",163857
"94",168095
"95",168446
"96",168478
"97",168961
"98",170553
"99",174378
"100",174843
"101",176308
"102",177300
"103",177468
"104",178244
"105",178245
"106",179145
"107",185291
"108",186235
"109",190982
"110",191882
"111",191937
"112",194476
"113",196719
"114",197758
"115",198873
"116",202598
"117",203572
"118",204255
"119",206849
"120",207709
"121",208716
"122",208814
"123",209239
"124",211255
"125",213798
"126",214212
"127",214715
"128",214756
"129",215837
"130",217413
"131",219867
"132",220686
"133",221540
"134",222164
"135",222399
"136",222417
"137",223694
"138",224184
"139",227063
"140",234356
"141",235707
"142",238261
"143",238550
"144",241258
"145",242623
"146",246701
"147",246905
"148",247160
"149",248656
"150",249623
"151",249887
"152",253186
"153",255863
"154",263001
"155",263206
"156",265597
"157",266948
"158",268433
"159",269506
"160",270168
"161",271703
"162",273470
"163",273773
"164",274146
"165",275258
"166",275390
"167",275540
"168",276026
"169",278616
"170",281378
"171",282284
"172",282498
"173",284238
"174",286146
"175",286151
"176",287514
"177",287932
"178",288763
"179",289433
"180",290965
"181",297149
"182",297861
"183",299518
"184",301826
"185",303301
"186",304211
"187",305912
"188",307104
"189",311800
"190",317143
"191",318918
"192",323818
"193",323987
"194",328344
"195",330261
"196",331439
"197",333202
"198",334141
"199",342028
"200",343134
"201",344650
"202",344992
"203",348341
"204",350277
"205",350884
"206",354473
"207",354813
"208",355923
"209",356064
"210",356707
"211",356916
"212",360632
"213",361022
"214",361471
"215",363076
"216",364602
"217",367360
"218",368714
"219",369452
"220",369950
"221",370549
"222",373572
"223",375481
"224",375731
"225",377363
"226",377964
"227",378023
"228",378351
"229",378375
"230",381733
"231",383011
"232",385193
"233",390899
"234",393373
"235",393472
"236",395117
"237",397022
"238",399027
"239",401125
"240",401453
"241",406782
"242",413713
"243",414978
"244",415493
"245",415574
"246",418617
"247",418770
"248",419525
"249",424201
"250",428025
"251",428488
"252",431588
"253",431854
"254",432518
"255",435103
"256",435861
"257",437837
"258",438881
"259",440871
"260",441639
"261",451234
"262",453786
"263",455375
"264",455773
"265",457349
"266",465860
"267",466520
"268",469719
"269",470268
"270",472383
"271",473102
"272",473117
"273",475061
"274",476894
"275",478195
"276",478439
"277",483076
"278",483305
"279",484765
"280",486509
"281",486932
"282",490466
"283",490867
"284",491057
"285",495527
"286",496566
"287",500067
"288",508605
"289",509182
"290",513498
"291",515132
"292",518668
"293",519673
"294",519847
"295",521241
"296",522079
"297",526039
"298",526142
"299",526793
"300",527755
"301",529955
"302",530014
"303",530668
"304",531331
"305",532950
"306",534201
"307",534931
"308",535772
"309",537355
"310",539298
"311",540473
"312",543476
"313",544686
"314",547456
"315",547905
"316",549110
"317",552620
"318",553813
"319",554073
"320",555379
"321",561348
"322",565026
"323",566377
"324",566832
"325",567539
"326",568620
"327",569088
"328",570873
"329",573014
"330",573437
"331",576734
"332",578441
"333",581994
"334",582135
"335",582701
"336",582736
"337",584073
"338",585003
"339",588549
"340",590212
"341",592127
"342",597200
"343",597265
"344",601240
"345",601648
"346",603900
"347",606392
"348",606841
"349",608009
"350",609818
"351",609981
"352",610557
"353",611660
"354",613466
"355",613686
"356",614287
"357",618569
"358",619541
"359",621156
"360",621920
"361",624050
"362",628239
"363",629876
"364",632966
"365",633983
"366",637232
"367",637367
"368",637798
"369",638126
"370",642153
"371",643169
"372",643555
"373",644129
"374",644710
"375",646287
"376",647354
"377",647801
"378",647840
"379",647850
"380",648966
"381",650014
"382",652074
"383",653554
"384",653727
"385",654022
"386",655433
"387",659359
"388",663379
"389",664119
"390",665322
"391",665824
"392",665963
"393",668332
"394",671662
"395",673596
"396",674483
"397",676046
"398",677624
"399",679662
"400",682175
"401",683061
"402",684031
"403",686588
"404",689124
"405",689144
"406",691662
"407",694298
"408",695189
"409",699231
"410",701503
"411",704560
"412",706912
"413",711497
"414",711964
"415",713893
"416",714638
"417",715660
"418",718107
"419",724197
"420",725533
"421",726418
"422",729017
"423",729807
"424",730039
"425",732335
"426",733987
"427",737214
"428",738711
"429",739149
"430",740102
"431",740930
"432",742165
"433",742485
"434",743569
"435",745334
"436",745519
"437",746743
"438",747238
"439",754122
"440",756726
"441",758166
"442",762938
"443",764516
"444",766155
"445",771387
"446",771570
"447",775116
"448",775859
"449",776138
"450",776880
"451",777145
"452",779341
"453",780326
"454",781917
"455",784033
"456",784219
"457",784519
"458",784734
"459",785799
"460",785913
"461",786503
"462",789432
"463",793081
"464",794193
"465",797829
"466",798237
"467",798593
"468",801695
"469",802257
"470",802882
"471",802914
"472",804660
"473",804910
"474",808414
"475",813542
"476",814737
"477",814864
"478",814954
"479",815665
"480",816036
"481",816757
"482",818267
"483",821681
"484",822320
"485",822726
"486",827142
"487",828467
"488",828551
"489",831802
"490",832151
"491",833540
"492",834148
"493",837030
"494",837678
"495",839698
"496",840322
"497",842810
"498",843657
"499",845802
"500",847335
"501",847344
"502",848364
"503",849204
"504",849643
"505",850576
"506",852733
"507",853634
"508",854465
"509",860124
"510",860486
"511",861146
"512",861686
"513",862642
"514",863487
"515",864604
"516",864867
"517",864918
"518",865325
"519",868216
"520",869794
"521",871637
"522",873419
"523",873755
"524",874808
"525",874811
"526",876076
"527",877110
"528",878276
"529",878728
"530",880403
"531",882415
"532",882701
"533",885709
"534",888287
"535",889175
"536",891283
"537",892570
"538",894596
"539",897314
