"","x"
"1","new"
"2","right"
"3","last"
"4","high"
"5","one"
"6","feel"
"7","looks"
"8","first"
"9","three"
"10","anyone"
"11","can"
"12","even"
"13","hyun"
"14","just"
"15","make"
"16","police"
"17","every"
"18","happy"
"19","health"
"20","real"
"21","social"
"22","chang"
"23","cinco"
"24","de"
"25","follow"
"26","good"
"27","jae"
"28","long"
"29","looking"
"30","los"
"31","next"
"32","seems"
"33","will"
"34","brand"
"35","days"
"36","ever"
"37","get"
"38","join"
"39","let"
"40","lets"
"41","little"
"42","many"
"43","mothers"
"44","said"
"45","san"
"46","sounds"
"47","south"
"48","trying"
"49","two"
"50","united"
"51","want"
"52","year"
"53","around"
"54","day"
"55","go"
"56","look"
"57","m"
"58","much"
"59","oh"
"60","parking"
"61","prime"
"62","really"
"63","second"
"64","several"
"65","st"
"66","stay"
"67","thanks"
"68","valentines"
"69","way"
"70","work"
"71","world"
"72","also"
"73","always"
"74","another"
"75","anytime"
"76","best"
"77","breast"
"78","comes"
"79","cricket"
"80","great"
"81","hope"
"82","ice"
"83","know"
"84","las"
"85","late"
"86","lot"
"87","makes"
"88","monday"
"89","months"
"90","now"
"91","osama"
"92","people"
"93","phone"
"94","pretty"
"95","saturday"
"96","school"
"97","seung"
"98","six"
"99","smelly"
"100","something"
"101","take"
"102","tea"
"103","tell"
"104","th"
"105","things"
"106","time"
"107","told"
"108","u"
"109","us"
"110","wall"
"111","wanted"
"112","weeks"
"113","well"
"114","york"
"115","absolutely"
"116","across"
"117","act"
"118","advent"
"119","automakers"
"120","averaging"
"121","beautiful"
"122","believe"
"123","better"
"124","bin"
"125","blog"
"126","book"
"127","born"
"128","bride"
"129","brought"
"130","came"
"131","cell"
"132","chance"
"133","chief"
"134","chores"
"135","cleveland"
"136","come"
"137","coming"
"138","crack"
"139","cup"
"140","defensive"
"141","district"
"142","essex"
"143","ethnic"
"144","excited"
"145","executive"
"146","family"
"147","felt"
"148","final"
"149","finally"
"150","fiscal"
"151","foot"
"152","football"
"153","four"
"154","gay"
"155","glad"
"156","going"
"157","got"
"158","hell"
"159","hit"
"160","king"
"161","knowledge"
"162","lake"
"163","leader"
"164","life"
"165","like"
"166","living"
"167","looked"
"168","love"
"169","made"
"170","manglik"
"171","march"
"172","middlesex"
"173","might"
"174","mycoplasma"
"175","ncaa"
"176","nearly"
"177","need"
"178","never"
"179","number"
"180","oklahoma"
"181","paper"
"182","passed"
"183","passion"
"184","past"
"185","playing"
"186","please"
"187","points"
"188","press"
"189","question"
"190","quite"
"191","red"
"192","road"
"193","rock"
"194","roman"
"195","rt"
"196","say"
"197","see"
"198","seemed"
"199","sen"
"200","senate"
"201","seton"
"202","shopping"
"203","someone"
"204","spend"
"205","spent"
"206","standing"
"207","state"
"208","suk"
"209","super"
"210","team"
"211","teenage"
"212","thank"
"213","think"
"214","third"
"215","tonight"
"216","tonights"
"217","wait"
"218","whether"
"219","worse"
"220","yearold"
"221","years"
"222","young"
"223","able"
"224","accepted"
"225","according"
"226","acting"
"227","actors"
"228","actually"
"229","adams"
"230","addition"
"231","advocates"
"232","african"
"233","ago"
"234","agree"
"235","albert"
"236","alcoholic"
"237","algae"
"238","allowed"
"239","almost"
"240","along"
"241","already"
"242","although"
"243","american"
"244","americans"
"245","among"
"246","angry"
"247","annual"
"248","anything"
"249","anywhere"
"250","april"
"251","area"
"252","army"
"253","arrive"
"254","arts"
"255","ashton"
"256","ask"
"257","associated"
"258","available"
"259","away"
"260","awfully"
"261","b"
"262","back"
"263","bad"
"264","bah"
"265","barack"
"266","basic"
"267","became"
"268","become"
"269","beer"
"270","behind"
"271","believers"
"272","big"
"273","bit"
"274","black"
"275","bloomfield"
"276","board"
"277","books"
"278","border"
"279","borrow"
"280","boxing"
"281","breaking"
"282","brewing"
