"","trainSampNos"
"1",1
"2",3
"3",4
"4",6
"5",7
"6",11
"7",12
"8",13
"9",14
"10",15
"11",19
"12",20
"13",22
"14",23
"15",24
"16",25
"17",26
"18",31
"19",32
"20",34
"21",36
"22",41
"23",42
"24",43
"25",44
"26",45
"27",46
"28",47
"29",52
"30",54
"31",55
"32",56
"33",58
"34",61
"35",62
"36",64
"37",67
"38",68
"39",74
"40",77
"41",79
"42",82
"43",83
"44",84
"45",85
"46",86
"47",90
"48",91
"49",95
"50",99
"51",101
"52",102
"53",103
"54",104
"55",105
"56",109
"57",110
"58",111
"59",114
"60",116
"61",117
"62",118
"63",120
"64",121
"65",122
"66",123
"67",124
"68",127
"69",129
"70",130
"71",131
"72",133
"73",135
"74",136
"75",138
"76",140
"77",141
"78",142
"79",143
"80",144
"81",147
"82",149
"83",150
"84",151
"85",153
"86",155
"87",156
"88",158
"89",161
"90",162
"91",163
"92",165
"93",167
"94",169
"95",171
"96",172
"97",173
"98",174
"99",175
"100",176
"101",178
"102",179
"103",181
"104",184
"105",185
"106",187
"107",188
"108",189
"109",190
"110",193
"111",198
"112",200
"113",201
"114",205
"115",206
"116",208
"117",212
"118",213
"119",215
"120",217
"121",218
"122",219
"123",221
"124",222
"125",227
"126",228
"127",230
"128",232
"129",233
"130",235
"131",237
"132",238
"133",239
"134",240
"135",241
"136",242
"137",243
"138",245
"139",246
"140",247
"141",248
"142",249
"143",251
"144",252
"145",253
"146",255
"147",257
"148",259
"149",260
"150",261
"151",262
"152",263
"153",264
"154",266
"155",267
"156",274
"157",276
"158",278
"159",279
"160",280
"161",282
"162",285
"163",288
"164",290
"165",291
"166",293
"167",294
"168",295
"169",297
"170",298
"171",299
"172",300
"173",301
"174",303
"175",305
"176",308
"177",311
"178",313
"179",314
"180",317
"181",319
"182",320
"183",321
"184",322
"185",323
"186",324
"187",325
"188",328
"189",329
"190",330
"191",332
"192",335
"193",336
"194",337
"195",339
"196",341
"197",343
"198",344
"199",345
"200",347
"201",348
"202",349
"203",353
"204",354
"205",356
"206",357
"207",358
"208",359
"209",362
"210",363
"211",364
"212",366
"213",367
"214",368
"215",369
"216",370
"217",373
"218",376
"219",377
"220",378
"221",379
"222",380
"223",382
"224",385
"225",386
"226",387
"227",388
"228",389
"229",392
"230",394
"231",395
"232",396
"233",398
"234",399
"235",401
"236",402
"237",404
"238",407
"239",408
"240",409
"241",410
"242",411
"243",413
"244",414
"245",415
"246",417
"247",418
"248",419
"249",420
"250",421
"251",422
"252",426
"253",430
"254",433
"255",434
"256",438
"257",439
"258",440
"259",441
"260",443
"261",444
"262",445
"263",446
"264",447
"265",448
"266",449
"267",451
"268",452
"269",454
"270",457
"271",461
"272",463
"273",467
"274",470
"275",471
"276",473
"277",474
"278",475
"279",476
"280",478
"281",479
"282",480
"283",481
"284",485
"285",486
"286",487
"287",488
"288",489
"289",490
"290",493
"291",496
"292",497
"293",499
"294",500
"295",501
"296",503
"297",506
"298",508
"299",510
"300",511
"301",512
"302",513
"303",514
"304",515
"305",516
"306",517
"307",518
"308",519
"309",521
"310",522
"311",524
"312",525
"313",526
"314",529
"315",530
"316",531
"317",534
"318",536
"319",538
"320",539
"321",540
"322",541
"323",543
"324",544
"325",545
"326",546
"327",547
"328",548
"329",549
"330",550
"331",553
"332",555
"333",557
"334",558
"335",560
"336",562
"337",564
"338",565
"339",567
"340",568
"341",569
"342",570
"343",571
"344",572
"345",574
"346",575
"347",576
"348",577
"349",582
"350",584
"351",585
"352",587
"353",589
"354",592
"355",598
"356",600
"357",601
"358",602
"359",603
"360",604
"361",605
"362",608
"363",610
"364",611
"365",612
"366",614
"367",621
"368",623
"369",624
"370",625
"371",626
"372",627
"373",629
"374",630
"375",631
"376",632
"377",633
"378",635
"379",637
"380",638
"381",639
"382",640
"383",641
"384",642
"385",643
"386",646
"387",647
"388",649
"389",650
"390",652
"391",658
"392",659
"393",660
"394",661
"395",662
"396",665
"397",666
"398",671
"399",674
"400",675
"401",676
"402",677
"403",678
"404",679
"405",680
"406",681
"407",683
"408",685
"409",686
"410",687
"411",688
"412",689
"413",690
"414",691
"415",695
"416",696
"417",698
"418",699
"419",701
"420",702
"421",703
"422",704
"423",706
"424",707
"425",708
"426",709
"427",711
"428",713
"429",717
"430",718
"431",719
"432",720
"433",722
"434",724
"435",726
"436",729
"437",730
"438",731
"439",732
"440",733
"441",736
"442",738
"443",739
"444",741
"445",742
"446",744
"447",745
"448",746
"449",747
"450",749
"451",755
"452",756
"453",758
"454",760
"455",763
"456",765
"457",768
"458",769
"459",771
"460",772
"461",773
"462",775
"463",776
"464",777
"465",778
"466",779
"467",780
"468",782
"469",784
"470",785
"471",786
"472",787
"473",788
"474",789
"475",790
"476",792
"477",793
"478",794
"479",795
"480",797
"481",800
"482",804
"483",805
"484",806
"485",808
"486",809
"487",812
"488",813
"489",814
"490",816
"491",817
"492",818
"493",819
"494",821
"495",822
"496",823
"497",824
"498",827
"499",828
"500",829
"501",830
"502",831
"503",832
"504",833
"505",834
"506",836
"507",837
"508",838
"509",839
"510",840
"511",841
"512",842
"513",843
"514",848
"515",851
"516",853
"517",854
"518",857
"519",858
"520",859
"521",861
"522",864
"523",866
"524",869
"525",870
"526",871
"527",872
"528",873
"529",874
"530",880
"531",881
"532",883
"533",884
"534",888
"535",889
"536",890
"537",893
"538",894
"539",899
