"","x"
"1",2
"2",5
"3",6
"4",8
"5",9
"6",10
"7",11
"8",13
"9",15
"10",18
"11",20
"12",21
"13",25
"14",30
"15",31
"16",36
"17",38
"18",44
"19",46
"20",47
"21",50
"22",53
"23",56
"24",59
"25",60
"26",63
"27",64
"28",69
"29",72
"30",73
"31",76
"32",77
"33",82
"34",86
"35",88
"36",89
"37",95
"38",98
"39",101
"40",102
"41",104
"42",107
"43",108
"44",111
"45",112
"46",116
"47",120
"48",122
"49",123
"50",126
"51",127
"52",130
"53",131
"54",133
"55",134
"56",135
"57",138
"58",140
"59",142
"60",143
"61",144
"62",150
"63",159
"64",160
"65",161
"66",162
"67",163
"68",165
"69",167
"70",168
"71",169
"72",171
"73",172
"74",175
"75",184
"76",187
"77",190
"78",192
"79",193
"80",195
"81",197
"82",198
"83",201
"84",203
"85",205
"86",209
"87",212
"88",214
"89",218
"90",220
"91",221
"92",222
"93",223
"94",226
"95",227
"96",228
"97",232
"98",238
"99",239
"100",242
"101",247
"102",248
"103",249
"104",251
"105",252
"106",259
"107",263
"108",265
"109",266
"110",267
"111",271
"112",273
"113",274
"114",276
"115",277
"116",278
"117",280
"118",281
"119",284
"120",286
"121",289
"122",292
"123",293
"124",294
"125",298
"126",300
"127",302
"128",307
"129",314
"130",316
"131",320
"132",321
"133",330
"134",331
"135",332
"136",334
"137",338
"138",341
"139",343
"140",344
"141",345
"142",350
"143",352
"144",357
"145",359
"146",366
"147",368
"148",370
"149",372
"150",373
"151",374
"152",375
"153",378
"154",379
"155",381
"156",384
"157",385
"158",387
"159",388
"160",391
"161",393
"162",396
"163",398
"164",399
"165",404
"166",411
"167",412
"168",413
"169",414
"170",418
"171",419
"172",421
"173",425
"174",426
"175",431
"176",432
"177",434
"178",435
"179",440
"180",442
"181",450
"182",451
"183",452
"184",453
"185",454
"186",459
"187",460
"188",461
"189",462
"190",465
"191",466
"192",468
"193",469
"194",470
"195",471
"196",473
"197",476
"198",477
"199",478
"200",483
"201",484
"202",487
"203",489
"204",497
"205",501
"206",504
"207",505
"208",508
"209",509
"210",511
"211",515
"212",516
"213",518
"214",520
"215",521
"216",525
"217",526
"218",527
"219",529
"220",532
"221",533
"222",534
"223",535
"224",536
"225",537
"226",538
"227",540
"228",542
"229",545
"230",546
"231",547
"232",548
"233",549
"234",551
"235",552
"236",554
"237",555
"238",557
"239",558
"240",559
"241",560
"242",561
"243",562
"244",563
"245",564
"246",567
"247",568
"248",570
"249",572
"250",575
"251",576
"252",577
"253",581
"254",584
"255",587
"256",590
"257",591
"258",593
"259",594
"260",598
"261",602
"262",605
"263",608
"264",610
"265",613
"266",614
"267",615
"268",616
"269",618
"270",619
"271",620
"272",621
"273",622
"274",625
"275",626
"276",628
"277",631
"278",638
"279",647
"280",648
"281",649
"282",655
"283",659
"284",661
"285",667
"286",670
"287",671
"288",672
"289",674
"290",680
"291",681
"292",682
"293",683
"294",684
"295",689
"296",692
"297",694
"298",695
"299",700
"300",701
"301",703
"302",712
"303",713
"304",716
"305",718
"306",720
"307",721
"308",723
"309",729
"310",732
"311",734
"312",741
"313",742
"314",743
"315",744
"316",752
"317",753
"318",756
"319",760
"320",761
"321",764
"322",766
"323",768
"324",771
"325",772
"326",773
"327",775
"328",778
"329",780
"330",784
"331",786
"332",802
"333",803
"334",804
"335",808
"336",810
"337",813
"338",815
"339",820
"340",822
"341",824
"342",825
"343",830
"344",836
"345",837
"346",838
"347",840
"348",842
"349",843
"350",844
"351",850
"352",852
"353",856
"354",863
"355",867
"356",868
"357",870
"358",872
"359",873
"360",875
"361",880
"362",881
"363",882
"364",883
"365",885
"366",887
"367",895
"368",897
"369",899
"370",905
"371",907
"372",909
"373",911
"374",912
"375",914
"376",915
"377",918
"378",919
"379",921
"380",922
"381",924
"382",925
"383",927
"384",929
"385",931
"386",933
"387",937
"388",938
"389",956
"390",957
"391",959
"392",960
"393",963
"394",964
"395",965
"396",967
"397",970
"398",971
"399",973
"400",974
"401",976
"402",983
"403",984
"404",987
"405",988
"406",989
"407",990
"408",991
"409",995
"410",996
"411",999
"412",1002
"413",1006
"414",1008
"415",1012
"416",1014
"417",1015
"418",1016
"419",1018
"420",1020
"421",1023
"422",1024
"423",1026
"424",1030
"425",1033
"426",1036
"427",1038
"428",1039
"429",1040
"430",1042
"431",1044
"432",1045
"433",1051
"434",1052
"435",1053
"436",1054
"437",1062
"438",1064
"439",1070
"440",1072
"441",1080
"442",1083
"443",1084
"444",1089
"445",1090
"446",1091
"447",1094
"448",1095
"449",1098
"450",1100
"451",1101
"452",1104
"453",1105
"454",1106
"455",1107
"456",1109
"457",1117
"458",1119
"459",1124
"460",1126
"461",1127
"462",1131
"463",1133
"464",1134
"465",1138
"466",1140
"467",1143
"468",1144
"469",1146
"470",1149
"471",1152
"472",1153
"473",1155
"474",1158
"475",1161
"476",1163
"477",1164
"478",1167
"479",1168
"480",1170
"481",1175
"482",1177
"483",1179
"484",1181
"485",1182
"486",1186
"487",1191
"488",1193
"489",1196
"490",1198
"491",1202
"492",1206
"493",1209
"494",1210
"495",1214
"496",1219
"497",1222
"498",1223
"499",1224
"500",1225
"501",1226
"502",1227
"503",1228
"504",1230
"505",1232
"506",1234
"507",1239
"508",1240
"509",1244
"510",1245
"511",1250
"512",1251
"513",1256
"514",1258
"515",1260
"516",1266
"517",1270
"518",1277
"519",1278
"520",1279
"521",1281
"522",1283
"523",1284
"524",1286
"525",1287
"526",1290
"527",1297
"528",1298
"529",1300
"530",1301
"531",1302
"532",1307
"533",1310
"534",1317
"535",1319
"536",1320
"537",1321
"538",1326
"539",1331
"540",1332
"541",1333
"542",1335
"543",1337
"544",1339
"545",1341
"546",1342
"547",1344
"548",1350
"549",1351
"550",1352
"551",1353
"552",1354
"553",1356
"554",1357
"555",1359
"556",1361
"557",1362
"558",1364
"559",1369
"560",1370
"561",1373
"562",1377
"563",1379
"564",1382
"565",1383
"566",1384
"567",1388
"568",1394
"569",1397
"570",1399
"571",1402
"572",1405
"573",1410
"574",1411
"575",1412
"576",1414
"577",1417
"578",1418
"579",1419
"580",1420
"581",1425
"582",1426
"583",1429
"584",1430
"585",1431
"586",1432
"587",1435
"588",1436
"589",1442
"590",1445
"591",1447
"592",1452
"593",1456
"594",1457
"595",1461
"596",1464
"597",1469
"598",1472
"599",1473
"600",1475
"601",1477
"602",1480
"603",1481
"604",1482
"605",1485
"606",1487
"607",1488
"608",1490
"609",1493
"610",1498
"611",1501
"612",1503
"613",1505
"614",1506
"615",1507
"616",1510
"617",1511
"618",1514
"619",1518
"620",1519
"621",1520
"622",1522
"623",1531
"624",1535
"625",1536
"626",1540
"627",1541
"628",1542
"629",1544
"630",1548
"631",1549
"632",1550
"633",1551
"634",1552
"635",1556
"636",1557
"637",1559
"638",1566
"639",1568
"640",1569
"641",1570
"642",1572
"643",1573
"644",1575
"645",1576
"646",1579
"647",1580
"648",1581
"649",1584
"650",1589
"651",1593
"652",1596
"653",1597
"654",1599
"655",1603
"656",1608
"657",1612
"658",1614
"659",1616
"660",1617
"661",1620
"662",1624
"663",1626
"664",1627
"665",1629
"666",1630
"667",1636
"668",1637
"669",1647
"670",1648
"671",1650
"672",1651
"673",1652
"674",1655
"675",1659
"676",1661
"677",1663
"678",1666
"679",1670
"680",1673
"681",1681
"682",1684
"683",1686
"684",1687
"685",1689
"686",1691
"687",1692
"688",1695
"689",1696
"690",1697
"691",1702
"692",1703
"693",1708
"694",1709
"695",1711
"696",1715
"697",1722
"698",1725
"699",1726
"700",1729
"701",1730
"702",1731
"703",1744
"704",1746
"705",1751
"706",1752
"707",1753
"708",1755
"709",1756
"710",1759
"711",1761
"712",1762
"713",1764
"714",1770
"715",1774
"716",1776
"717",1777
"718",1780
"719",1781
"720",1783
"721",1784
"722",1785
