"","trainSampNos"
"1",75
"2",1081
"3",1180
"4",1990
"5",2471
"6",2689
"7",3792
"8",3844
"9",6227
"10",6319
"11",7917
"12",8971
"13",9301
"14",9583
"15",10366
"16",11496
"17",13110
"18",13255
"19",13579
"20",14477
"21",16270
"22",17315
"23",17326
"24",17608
"25",17897
"26",17915
"27",17955
"28",18405
"29",18448
"30",18561
"31",18692
"32",19993
"33",20696
"34",21188
"35",22942
"36",24714
"37",25228
"38",25326
"39",30733
"40",31951
"41",32046
"42",33358
"43",34668
"44",35027
"45",35481
"46",36641
"47",37331
"48",37621
"49",38796
"50",38931
"51",42690
"52",43601
"53",43712
"54",43969
"55",45401
"56",45949
"57",46436
"58",46537
"59",48062
"60",48426
"61",49033
"62",49136
"63",49507
"64",49913
"65",51102
"66",51418
"67",51466
"68",51910
"69",51938
"70",52256
"71",52492
"72",53017
"73",53934
"74",53974
"75",54329
"76",55283
"77",56021
"78",56430
"79",57353
"80",58083
"81",58850
"82",59241
"83",59477
"84",61155
"85",63749
"86",64543
"87",64681
"88",65653
"89",67238
"90",67266
"91",67904
"92",69828
"93",71294
"94",71965
"95",72190
"96",72522
"97",72601
"98",73604
"99",76610
"100",77471
"101",79359
"102",79501
"103",79933
"104",82736
"105",84735
"106",85791
"107",85842
"108",86805
"109",87454
"110",87829
"111",88078
"112",88728
"113",89239
"114",90054
"115",90897
"116",91543
"117",91778
"118",92085
"119",93591
"120",94660
"121",96904
"122",97178
"123",99885
"124",100670
"125",101450
"126",102353
"127",104412
"128",106003
"129",106619
"130",106695
"131",107085
"132",107451
"133",111951
"134",112179
"135",112452
"136",115219
"137",115329
"138",116241
"139",116344
"140",117643
"141",117970
"142",118206
"143",118904
"144",119288
"145",119331
"146",120885
"147",121284
"148",121903
"149",126322
"150",126461
"151",127703
"152",128046
"153",128460
"154",128983
"155",129812
"156",129947
"157",130788
"158",131100
"159",131637
"160",132847
"161",132955
"162",133785
"163",135430
"164",135887
"165",135993
"166",137499
"167",137992
"168",138385
"169",138440
"170",140862
"171",141889
"172",142384
"173",142476
"174",143296
"175",143518
"176",143519
"177",144575
"178",144742
"179",146935
"180",147565
"181",148327
"182",148563
"183",149266
"184",150204
"185",150370
"186",150468
"187",150692
"188",151213
"189",151313
"190",151350
"191",151364
"192",152032
"193",152988
"194",154589
"195",155096
"196",158204
"197",159081
"198",161545
"199",163326
"200",164169
"201",164311
"202",165105
"203",166406
"204",166533
"205",169546
"206",170458
"207",171223
"208",171302
"209",172289
"210",172447
"211",172581
"212",173591
"213",173928
"214",174336
"215",174836
"216",175253
"217",175745
"218",176281
"219",176420
"220",176651
"221",177519
"222",177702
"223",178369
"224",178828
"225",181039
"226",181702
"227",182355
"228",185850
"229",186562
"230",187211
"231",188011
"232",188696
"233",188943
"234",190762
"235",190943
"236",193208
"237",193630
"238",194239
"239",196413
"240",201214
"241",201527
"242",201805
"243",202720
"244",204732
"245",205500
"246",206849
"247",207062
"248",207870
"249",208009
"250",208071
"251",209275
"252",209858
"253",210321
"254",210344
"255",210925
"256",210961
"257",211158
"258",211190
"259",211871
"260",211963
"261",215576
"262",215789
"263",216229
"264",217594
"265",218419
"266",220824
"267",221771
"268",222095
"269",223979
"270",226706
"271",226856
"272",227707
"273",228439
"274",228964
"275",229728
"276",232143
"277",232171
"278",232273
"279",232394
"280",233142
"281",233777
"282",234259
"283",234391
"284",234614
"285",235543
"286",236236
"287",236942
"288",239510
"289",240515
"290",240994
"291",243503
"292",244124
"293",246354
"294",247386
"295",248858
"296",249040
"297",252452
"298",252906
"299",253303
"300",253969
"301",255679
"302",255832
"303",255985
"304",256507
"305",257803
"306",258229
"307",258758
"308",258893
"309",259289
"310",260916
"311",261776
"312",262465
"313",263146
"314",264795
"315",264954
"316",265874
"317",267351
"318",268544
"319",269052
"320",269527
"321",269732
"322",269827
"323",270126
"324",270147
"325",270316
"326",270937
"327",275336
"328",276681
"329",276820
"330",277799
"331",278406
"332",279384
"333",279651
"334",280069
"335",280137
"336",282300
"337",284050
"338",284109
"339",284511
"340",285105
"341",285836
"342",286136
"343",286969
"344",288153
"345",289154
"346",289382
"347",293974
"348",294579
"349",295996
"350",297242
"351",297537
"352",299603
"353",299633
"354",299803
"355",300847
"356",301250
"357",302038
"358",302219
"359",303378
"360",303415
"361",304574
"362",306917
"363",307157
"364",307330
"365",308590
"366",308823
"367",310048
"368",310296
"369",311449
"370",311590
"371",312733
"372",312827
"373",313501
"374",318870
"375",320498
"376",320676
"377",322394
"378",322940
"379",322962
"380",322974
"381",323267
"382",323289
"383",323459
"384",324634
"385",324757
"386",324823
"387",324907
"388",325540
"389",326297
"390",328338
"391",328970
"392",329168
"393",329537
"394",330080
"395",331993
"396",332042
"397",333170
"398",334831
"399",335280
"400",336039
"401",337118
"402",337560
"403",337982
"404",339954
"405",340775
"406",341640
"407",342018
"408",342574
"409",344293
"410",344423
"411",345925
"412",348443
"413",349992
"414",350213
"415",350254
"416",350616
"417",350761
"418",350979
"419",351248
"420",351851
"421",352751
"422",353189
"423",353264
"424",353559
"425",354101
"426",354199
"427",355788
"428",355999
"429",358431
"430",358457
"431",359457
"432",359878
"433",360891
"434",361205
"435",362112
"436",362191
"437",362241
"438",362519
"439",363126
"440",363932
"441",364643
"442",365829
"443",365847
"444",369454
"445",370945
"446",373576
"447",374206
"448",374322
"449",375524
"450",378025
"451",378571
"452",378878
"453",379263
"454",379896
"455",380342
"456",382513
"457",383057
"458",383712
"459",384665
"460",384929
"461",386027
"462",386071
"463",386769
"464",387416
