"","word"
"1","interests"
"2","vested"
"3","now"
"4","night"
"5","forward"
"6","like"
"7","ago"
"8","york"
"9","know"
"10","got"
"11","birthday"
"12","sure"
"13","time"
"14","morning"
"15","though"
"16","follow"
"17","get"
"18","week"
"19","see"
"20","back"
"21","luck"
"22","day"
"23","media"
"24","year"
"25","school"
"26","never"
"27","old"
"28","make"
"29","fun"
"30","good"
"31","favorite"
"32","cream"
"33","people"
"34","much"
"35","rt"
"36","ready"
"37","want"
"38","us"
"39","best"
"40","thing"
"41","following"
"42","states"
"43","mothers"
"44","really"
"45","weeks"
"46","always"
"47","help"
"48","tell"
"49","one"
"50","take"
"51","austin"
"52","go"
"53","soon"
"54","weekend"
"55","ha"
"56","saw"
"57","bit"
"58","find"
"59","friday"
"60","finished"
"61","wanted"
"62","diego"
"63","wait"
"64","found"
"65","need"
"66","love"
"67","times"
"68","will"
"69","days"
"70","still"
"71","free"
"72","job"
"73","new"
"74","better"
"75","album"
"76","years"
"77","just"
"78","else"
"79","tuned"
"80","page"
"81","seeing"
"82","home"
"83","little"
"84","oil"
"85","way"
"86","care"
"87","god"
"88","can"
"89","come"
"90","friend"
"91","news"
"92","everyone"
"93","made"
"94","realized"
"95","think"
"96","feel"
"97","lot"
"98","together"
"99","life"
"100","shout"
"101","moment"
"102","fan"
"103","give"
"104","great"
"105","games"
"106","watched"
"107","person"
"108","use"
"109","true"
"110","place"
"111","bless"
"112","angeles"
"113","th"
"114","followers"
"115","century"
"116","account"
"117","post"
"118","imagine"
"119","say"
"120","family"
"121","rid"
"122","work"
"123","fashion"
"124","girl"
"125","room"
"126","well"
"127","heard"
"128","jersey"
"129","italy"
"130","omg"
"131","direction"
"132","hi"
"133","break"
"134","bring"
"135","probably"
"136","try"
"137","blah"
"138","also"
"139","start"
"140","used"
"141","visit"
"142","away"
"143","ahead"
"144","sleep"
"145","happen"
"146","store"
"147","going"
"148","right"
"149","crazy"
"150","said"
"151","butter"
"152","let"
"153","please"
"154","estate"
"155","something"
"156","word"
"157","bowl"
"158","support"
"159","might"
"160","hours"
"161","around"
"162","yes"
"163","another"
"164","man"
"165","forth"
"166","deal"
"167","white"
"168","believe"
"169","put"
"170","watch"
"171","food"
"172","seen"
"173","since"
"174","single"
"175","book"
"176","round"
"177","mad"
"178","bed"
"179","hour"
"180","month"
"181","nights"
"182","someone"
"183","look"
"184","sense"
"185","meet"
"186","lol"
"187","game"
"188","cool"
"189","excited"
"190","pepper"
"191","wrong"
"192","coming"
"193","sharing"
"194","loss"
"195","ever"
"196","street"
"197","world"
"198","part"
"199","wishes"
"200","laden"
"201","even"
"202","phone"
"203","service"
"204","today"
"205","etc"
"206","things"
"207","bad"
"208","twitter"
"209","market"
"210","done"
"211","tired"
"212","idea"
"213","show"
"214","st"
"215","guys"
"216","runs"
"217","rights"
"218","getting"
"219","keep"
"220","thinking"
"221","woke"
"222","bieber"
"223","track"
"224","ass"
"225","couple"
"226","money"
"227","easier"
"228","video"
"229","friends"
"230","yeah"
"231","big"
"232","reason"
"233","house"
"234","health"
"235","enjoyed"
"236","hope"
"237","trip"
"238","hello"
"239","tonight"
"240","korea"
"241","pictures"
"242","grade"
"243","months"
"244","pm"
"245","figure"
"246","three"
"247","till"
"248","tv"
"249","played"
"250","change"
"251","end"
"252","kill"
"253","open"
"254","peace"
"255","war"
"256","known"
"257","across"
"258","hear"
"259","play"
"260","remember"
"261","write"
"262","win"
"263","chip"
"264","council"
"265","cheese"
"266","coffee"
"267","ingredients"
"268","minutes"
"269","happy"
"270","asleep"
"271","comfortable"
"272","line"
"273","tweet"
"274","mine"
"275","marriage"
"276","started"
"277","leaves"
"278","easter"
"279","recommend"
"280","hop"
"281","party"
"282","season"
"283","depot"
"284","christ"
"285","bought"
"286","called"
"287","came"
"288","gonna"
"289","read"
"290","mind"
"291","vegas"
"292","minute"
"293","name"
"294","summer"
"295","two"
"296","thank"
"297","jesus"
"298","song"
"299","ya"
