"","x"
"1","vested"
"2","interests"
"3","right"
"4","last"
"5","looking"
"6","looks"
"7","years"
"8","feel"
"9","new"
"10","let"
"11","just"
"12","happy"
"13","make"
"14","every"
"15","good"
"16","even"
"17","thanks"
"18","can"
"19","first"
"20","go"
"21","mothers"
"22","next"
"23","look"
"24","social"
"25","follow"
"26","high"
"27","one"
"28","please"
"29","great"
"30","will"
"31","sounds"
"32","come"
"33","year"
"34","much"
"35","really"
"36","wait"
"37","ice"
"38","many"
"39","pretty"
"40","thank"
"41","getting"
"42","feels"
"43","get"
"44","long"
"45","need"
"46","united"
"47","two"
"48","join"
"49","beautiful"
"50","something"
"51","us"
"52","austin"
"53","coming"
"54","ha"
"55","little"
"56","want"
"57","san"
"58","cant"
"59","felt"
"60","love"
"61","think"
"62","time"
"63","trying"
"64","weeks"
"65","help"
"66","people"
"67","someone"
"68","stay"
"69","take"
"70","way"
"71","another"
"72","anything"
"73","facebook"
"74","forward"
"75","hope"
"76","olive"
"77","rt"
"78","back"
"79","best"
"80","everyone"
"81","gotta"
"82","hard"
"83","like"
"84","looked"
"85","now"
"86","oh"
"87","parking"
"88","put"
"89","real"
"90","seem"
"91","seems"
"92","sure"
"93","awkward"
"94","big"
"95","brand"
"96","finally"
"97","five"
"98","hunger"
"99","see"
"100","u"
"101","wanna"
"102","anyone"
"103","couple"
"104","day"
"105","feeling"
"106","friday"
"107","god"
"108","got"
"109","know"
"110","least"
"111","los"
"112","may"
"113","never"
"114","nothing"
"115","th"
"116","tomorrow"
"117","twitter"
"118","valentines"
"119","able"
"120","april"
"121","blog"
"122","bring"
"123","friends"
"124","going"
"125","italy"
"126","living"
"127","might"
"128","months"
"129","nolita"
"130","omg"
"131","say"
"132","spring"
"133","start"
"134","things"
"135","blah"
"136","came"
"137","early"
"138","far"
"139","gonna"
"140","grocery"
"141","headed"
"142","im"
"143","keep"
"144","lot"
"145","makes"
"146","peanut"
"147","ready"
"148","sometimes"
"149","sound"
"150","spend"
"151","spread"
"152","super"
"153","tell"
"154","welcome"
"155","well"
"156","whole"
"157","yes"
"158","yet"
"159","young"
"160","yr"
"161","act"
"162","black"
"163","chinese"
"164","dont"
"165","end"
"166","enough"
"167","ever"
"168","four"
"169","fun"
"170","give"
"171","guess"
"172","hate"
"173","nice"
"174","per"
"175","play"
"176","quite"
"177","read"
"178","salt"
"179","today"
"180","try"
"181","weight"
"182","across"
"183","along"
"184","also"
"185","around"
"186","bin"
"187","cell"
"188","check"
"189","customer"
"190","dear"
"191","dining"
"192","etc"
"193","everything"
"194","excited"
"195","favorite"
"196","find"
"197","free"
"198","hey"
"199","home"
"200","human"
"201","justin"
"202","kick"
"203","lets"
"204","morning"
"205","music"
"206","open"
"207","public"
"208","road"
"209","saturday"
"210","second"
"211","seemed"
