"","word"
"1","the"
"2","of"
"3","a"
"4","time"
"5","as"
"6","to"
"7","most"
"8","hand"
"9","that"
"10","be"
"11","been"
"12","my"
"13","was"
"14","york"
"15","not"
"16","are"
"17","world"
"18","see"
"19","sure"
"20","end"
"21","best"
"22","same"
"23","though"
"24","now"
"25","have"
"26","year"
"27","other"
"28","no"
"29","first"
"30","know"
"31","those"
"32","like"
"33","day"
"34","with"
"35","ago"
"36","i"
"37","say"
"38","way"
"39","favorite"
"40","am"
"41","is"
"42","states"
"43","do"
"44","want"
"45","who"
"46","get"
"47","bit"
"48","middle"
"49","what"
"50","able"
"51","night"
"52","while"
"53","going"
"54","comes"
"55","week"
"56","old"
"57","idea"
"58","place"
"59","things"
"60","think"
"61","more"
"62","them"
"63","in"
"64","past"
"65","had"
"66","can"
"67","and"
"68","good"
"69","result"
"70","it"
"71","life"
"72","you"
"73","years"
"74","part"
"75","admit"
"76","at"
"77","times"
"78","people"
"79","over"
"80","school"
"81","days"
"82","also"
"83","will"
"84","could"
"85","morning"
"86","all"
"87","would"
"88","out"
"89","century"
"90","side"
"91","again"
"92","they"
"93","many"
"94","where"
"95","make"
"96","these"
"97","me"
"98","his"
"99","lot"
"100","why"
"101","her"
"102","saw"
"103","some"
"104","cream"
"105","thing"
"106","back"
"107","forward"
"108","much"
"109","weeks"
"110","few"
"111","future"
"112","s"
"113","how"
"114","so"
"115","fun"
"116","were"
"117","us"
"118","if"
"119","biggest"
"120","which"
"121","really"
"122","point"
"123","long"
"124","never"
"125","for"
"126","about"
"127","single"
"128","find"
"129","another"
"130","go"
"131","minutes"
"132","deal"
"133","bottom"
"134","house"
"135","new"
"136","mention"
"137","decided"
"138","didnt"
"139","little"
"140","months"
"141","dont"
"142","course"
"143","couple"
"144","reason"
"145","last"
"146","on"
"147","midst"
"148","process"
"149","only"
"150","least"
"151","next"
"152","one"
"153","this"
"154","use"
"155","hours"
"156","later"
"157","we"
"158","possible"
"159","fact"
"160","love"
"161","live"
"162","up"
"163","change"
"164","very"
"165","hard"
"166","basis"
"167","main"
"168","into"
"169","growing"
"170","great"
"171","help"
"172","take"
"173","tell"
"174","two"
