"","x"
"1","now"
"2","year"
"3","york"
"4","night"
"5","school"
"6","time"
"7","like"
"8","ago"
"9","week"
"10","get"
"11","sure"
"12","forward"
"13","though"
"14","morning"
"15","see"
"16","got"
"17","birthday"
"18","day"
"19","louis"
"20","know"
"21","states"
"22","luck"
"23","jersey"
"24","follow"
"25","back"
"26","years"
"27","angeles"
"28","people"
"29","media"
"30","make"
"31","bit"
"32","francisco"
"33","take"
"34","thing"
"35","care"
"36","help"
"37","diego"
"38","following"
"39","weeks"
"40","cream"
"41","never"
"42","one"
"43","said"
"44","old"
"45","us"
"46","best"
"47","also"
"48","come"
"49","go"
"50","good"
"51","month"
"52","estate"
"53","saw"
"54","find"
"55","mothers"
"56","want"
"57","times"
"58","rt"
"59","friend"
"60","can"
"61","else"
"62","tuned"
"63","two"
"64","much"
"65","say"
"66","use"
"67","better"
"68","court"
"69","home"
"70","season"
"71","lot"
"72","need"
"73","continue"
"74","single"
"75","ready"
"76","favorite"
"77","century"
"78","days"
"79","house"
"80","still"
"81","pm"
"82","president"
"83","idea"
"84","finished"
"85","will"
"86","district"
"87","give"
"88","job"
"89","wanted"
"90","tell"
"91","ever"
"92","vegas"
"93","always"
"94","just"
"95","friends"
"96","new"
"97","director"
"98","work"
"99","room"
"100","point"
"101","statement"
"102","months"
"103","country"
"104","obama"
"105","wait"
"106","ha"
"107","things"
"108","yeah"
"109","another"
"110","press"
"111","love"
"112","well"
"113","think"
"114","bowl"
"115","way"
"116","phone"
"117","free"
"118","city"
"119","person"
"120","life"
"121","able"
"122","keep"
"123","world"
"124","beep"
"125","soon"
"126","half"
"127","place"
"128","manager"
"129","percent"
"130","street"
"131","dc"
"132","post"
"133","mayo"
"134","seen"
"135","away"
"136","let"
"137","made"
"138","sense"
"139","fun"
"140","orleans"
"141","barack"
"142","really"
"143","aside"
"144","since"
"145","yes"
"146","de"
"147","round"
"148","chance"
"149","sleep"
"150","bless"
"151","news"
"152","deal"
"153","romney"
"154","carolina"
"155","anniversary"
"156","till"
"157","happen"
"158","later"
"159","th"
"160","executive"
"161","council"
"162","page"
"163","government"
"164","marriage"
"165","going"
"166","feel"
"167","forget"
"168","thought"
"169","england"
"170","wars"
"171","hours"
"172","done"
"173","probably"
"174","white"
"175","even"
"176","seeing"
"177","rid"
"178","great"
"179","right"
"180","many"
"181","sox"
"182","hi"
"183","board"
"184","security"
"185","charles"
"186","likely"
"187","hard"
"188","questions"
"189","imagine"
"190","look"
"191","please"
"192","coast"
"193","development"
"194","members"
"195","bed"
"196","store"
"197","fame"
"198","bieber"
"199","center"
"200","oil"
"201","side"
"202","department"
"203","africa"
"204","buy"
"205","true"
"206","long"
"207","bad"
"208","four"
"209","try"
"210","enough"
"211","stuff"
"212","weekend"
"213","hour"
"214","disease"
"215","run"
"216","christ"
"217","started"
"218","fall"
"219","summer"
"220","enforcement"
"221","tournament"
"222","big"
"223","county"
"224","butter"
"225","dealer"
"226","officer"
"227","districts"
"228","feet"
"229","university"
"230","force"
"231","open"
"232","corner"
"233","laden"
"234","cancer"
"235","change"
"236","easily"
"237","start"
"238","rights"
"239","across"
"240","family"
"241","insurance"
"242","music"
"243","christmas"
"244","easier"
