"","x"
"1",1
"2",3
"3",6
"4",7
"5",8
"6",9
"7",10
"8",11
"9",15
"10",16
"11",17
"12",18
"13",19
"14",20
"15",26
"16",27
"17",28
"18",29
"19",31
"20",32
"21",34
"22",36
"23",38
"24",40
"25",43
"26",44
"27",46
"28",47
"29",48
"30",49
"31",53
"32",54
"33",55
"34",56
"35",57
"36",58
"37",59
"38",61
"39",62
"40",67
"41",68
"42",70
"43",71
"44",72
"45",74
"46",75
"47",76
"48",77
"49",78
"50",79
"51",81
"52",83
"53",88
"54",90
"55",92
"56",93
"57",95
"58",98
"59",99
"60",103
"61",105
"62",109
"63",110
"64",111
"65",112
"66",113
"67",115
"68",117
"69",119
"70",122
"71",124
"72",125
"73",126
"74",127
"75",129
"76",130
"77",131
"78",132
"79",138
"80",139
"81",141
"82",142
"83",143
"84",145
"85",146
"86",149
"87",150
"88",152
"89",153
"90",155
"91",156
"92",157
"93",158
"94",159
"95",160
"96",161
"97",164
"98",165
"99",166
"100",171
"101",172
"102",173
"103",174
"104",175
"105",176
"106",177
"107",178
"108",180
"109",183
"110",185
"111",186
"112",188
"113",189
"114",190
"115",198
"116",200
"117",201
"118",204
"119",205
"120",206
"121",207
"122",208
"123",209
"124",210
"125",211
"126",212
"127",214
"128",217
"129",220
"130",221
"131",224
"132",225
"133",226
"134",227
"135",228
"136",229
"137",230
"138",232
"139",234
"140",237
"141",238
"142",239
"143",241
"144",243
"145",244
"146",245
"147",246
"148",254
"149",256
"150",257
"151",258
"152",259
"153",260
"154",261
"155",262
"156",263
"157",266
"158",270
"159",271
"160",272
"161",273
"162",278
"163",280
"164",282
"165",283
"166",285
"167",286
"168",287
"169",289
"170",290
"171",291
"172",292
"173",297
"174",298
"175",299
"176",300
"177",301
"178",303
"179",304
"180",305
"181",307
"182",308
"183",310
"184",311
"185",312
"186",313
"187",314
"188",316
"189",317
"190",318
"191",319
"192",320
"193",321
"194",323
"195",324
"196",325
"197",326
"198",328
"199",331
"200",334
"201",336
"202",338
"203",342
"204",343
"205",344
"206",347
"207",348
"208",350
"209",352
"210",354
"211",355
"212",356
"213",357
"214",358
"215",359
"216",360
"217",364
"218",367
"219",370
"220",372
"221",374
"222",375
"223",376
"224",378
"225",381
"226",382
"227",383
"228",385
"229",386
