"","x"
"1",4
"2",7
"3",11
"4",13
"5",15
"6",18
"7",20
"8",25
"9",27
"10",28
"11",30
"12",34
"13",40
"14",43
"15",45
"16",46
"17",48
"18",54
"19",55
"20",58
"21",59
"22",60
"23",63
"24",65
"25",66
"26",67
"27",70
"28",71
"29",72
"30",73
"31",75
"32",76
"33",77
"34",80
"35",83
"36",84
"37",85
"38",89
"39",90
"40",92
"41",93
"42",94
"43",95
"44",97
"45",100
"46",101
"47",104
"48",105
"49",107
"50",109
"51",110
"52",111
"53",112
"54",117
"55",124
"56",126
"57",127
"58",128
"59",134
"60",135
"61",136
"62",137
"63",138
"64",140
"65",145
"66",146
"67",148
"68",149
"69",153
"70",154
"71",161
"72",175
"73",178
"74",180
"75",183
"76",184
"77",189
"78",191
"79",192
"80",193
"81",196
"82",197
"83",201
"84",204
"85",206
"86",208
"87",209
"88",211
"89",213
"90",218
"91",219
"92",222
"93",223
"94",226
"95",231
"96",232
"97",233
"98",234
"99",240
"100",244
"101",245
"102",248
"103",260
"104",262
"105",264
"106",265
"107",267
"108",268
"109",270
"110",271
"111",275
"112",277
"113",283
"114",284
"115",286
"116",288
"117",292
"118",293
"119",296
"120",299
"121",303
"122",304
"123",309
"124",313
"125",314
"126",315
"127",316
"128",317
"129",319
"130",321
"131",323
"132",324
"133",328
"134",330
"135",332
"136",333
"137",334
"138",335
"139",339
"140",347
"141",348
"142",350
"143",352
"144",355
"145",358
"146",359
"147",364
"148",366
"149",372
"150",373
"151",374
"152",375
"153",376
"154",380
"155",381
"156",385
"157",386
"158",392
"159",398
"160",400
"161",402
"162",403
"163",405
"164",407
"165",411
"166",414
"167",415
"168",419
"169",421
"170",423
"171",424
"172",425
"173",426
"174",430
"175",432
"176",433
"177",434
"178",437
"179",438
"180",442
"181",445
"182",446
"183",447
"184",449
"185",450
"186",451
"187",452
"188",453
"189",457
"190",459
"191",472
"192",475
"193",476
"194",477
"195",480
"196",484
"197",485
"198",486
"199",487
"200",488
"201",489
"202",490
"203",491
"204",492
"205",494
"206",495
"207",502
"208",503
"209",504
"210",505
"211",506
"212",509
"213",510
"214",511
"215",512
"216",513
"217",516
"218",517
"219",525
"220",529
"221",530
"222",536
"223",537
"224",539
"225",540
"226",542
"227",543
"228",544
"229",545
"230",548
"231",554
"232",557
"233",558
"234",559
"235",560
"236",562
"237",563
"238",564
"239",565
"240",568
"241",574
"242",578
"243",580
"244",584
"245",585
"246",586
"247",587
"248",589
"249",591
"250",592
"251",595
"252",597
"253",598
"254",599
"255",601
"256",602
"257",604
"258",606
"259",607
"260",616
"261",623
"262",627
"263",628
"264",630
"265",631
"266",650
"267",652
"268",653
"269",656
"270",657
"271",658
"272",660
"273",668
"274",669
"275",672
"276",673
"277",679
"278",680
"279",682
"280",689
"281",691
"282",693
"283",695
"284",696
"285",697
"286",698
"287",699
"288",704
"289",705
"290",708
"291",709
"292",712
"293",713
"294",716
"295",718
"296",720
"297",723
"298",724
"299",725
"300",728
"301",732
"302",733
"303",735
"304",741
"305",743
"306",747
"307",754
"308",756
"309",762
"310",767
"311",776
"312",781
"313",785
"314",786
"315",787
"316",793
"317",794
"318",797
"319",802
"320",803
"321",805
"322",807
"323",809
"324",815
"325",816
"326",819
"327",821
"328",823
"329",826
"330",827
"331",829
"332",831
"333",832
"334",835
"335",836
"336",838
"337",839
"338",845
"339",846
"340",847
"341",849
"342",856
"343",859
"344",860
"345",861
"346",862
"347",876
"348",882
"349",886
"350",888
"351",892
"352",896
"353",897
"354",898
"355",900
"356",903
"357",906
"358",913
"359",914
"360",915
"361",920
"362",922
"363",924
"364",926
"365",929
"366",930
"367",933
"368",934
"369",936
"370",941
"371",943
"372",945
"373",946
"374",951
"375",952
"376",953
"377",955
"378",956
"379",958
"380",959
"381",962
"382",963
"383",964
"384",966
"385",967
"386",971
"387",975
"388",976
"389",977
"390",978
"391",981
"392",985
"393",986
"394",988
"395",990
"396",993
"397",994
"398",995
"399",997
"400",1000
