"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct"
"1","#osamabinladen We are researching here to figure out why buried at sea? speculates it was to keep from him getting exhumed","we are researching here to",6,"figure",NA,NA,FALSE
"2","Loving the run so far sir. Keep up the solid work! What are we calling the Baldo Bomb/Derailer this time around?","loving the run so far sir keep up the solid work what are we calling",16,"the",NA,NA,FALSE
"3","good luck to the NEST + M chess team on Monday at our CIS MLK Jr. Day Tournament at FDA- we have 1100 students pre-registered!","good luck to the nest m chess team on monday at our cis mlk jr day tournament at fda we",21,"have",NA,NA,FALSE
"4","RT People are born. People die. MCA lived.","rt people are",4,"born",NA,NA,FALSE
"5","I wish the best of luck, though honestly i dont think she needs it","i wish the best of luck though",8,"honestly",NA,NA,FALSE
"6","Awe you too..... xo Love you","awe you too",4,"xo",NA,NA,FALSE
"7","Wow, it's hot out. Time for the AC.","wow its hot out time",6,"for",NA,NA,FALSE
"8","watch the lakers flop the game again for sayin this shit lol","watch the lakers flop the game again for",9,"sayin",NA,NA,FALSE
"9","This chic is a site for my soar eyes!","this chic is a site for",7,"my",NA,NA,FALSE
"10","Any college students developing on SimpleGeo? Give us a buzz: andrew [at] simplegeo.com","any college students developing on",6,"simplegeo",NA,NA,FALSE
"11","We love having you! RT : you got me...again!","we love having",4,"you",NA,NA,FALSE
"12","You will never wear this crown of thorns like me!","you will never wear this crown of",8,"thorns",NA,NA,FALSE
"13","Hello Single Bella on who wants to talk to me","hello single bella on who",6,"wants",NA,NA,FALSE
"14","I just earned the Statesman badge on #Yelp!","i just earned the statesman badge",7,"on",NA,NA,FALSE
"15","Thanks! Hope your foot heals quickly!","thanks hope your foot",5,"heals",NA,NA,FALSE
"16","the first email I read this morning was the Arment Dietrich Smart Talk & I'm really pumped about the Trapster app ha","the first email i read this morning was the arment dietrich smart talk im really pumped about the trapster app",21,"ha",NA,NA,FALSE
"17","im too picky.","im too",3,"picky",NA,NA,FALSE
"18","#NFL suspends Coach #SeanPeyton of #NewOrleansSaints for one year.","suspends coach of for one",6,"year",NA,NA,FALSE
"19","Uhm... why was I not invited?","uhm why",3,"was",NA,NA,FALSE
"20","Should I organize my day around seeing Sarah Vowell at the Brooklyn Public Library, or should I not? Seems an easy choice, m","should i organize my",5,"day",NA,NA,FALSE
"21","YOUR ON THE RADIO AGAIN!!!(: #BOYFRIEND <33 I LOVE YOU!!! #FOLLOWME ?","your on",3,"the",NA,NA,FALSE
"22","That's not the way I read it to myself in my head.","thats",2,"not",NA,NA,FALSE
