"","word"
"1","new"
"2","feel"
"3","first"
"4","four"
"5","many"
"6","almost"
"7","even"
"8","expensive"
"9","free"
"10","get"
"11","give"
"12","go"
"13","hard"
"14","hey"
"15","hit"
"16","home"
"17","john"
"18","just"
"19","lakers"
"20","last"
"21","left"
"22","let"
"23","looking"
"24","make"
"25","maybe"
"26","mind"
"27","next"
"28","oh"
"29","partners"
"30","question"
"31","road"
"32","san"
"33","situation"
"34","south"
"35","stoudemire"
"36","study"
"37","system"
"38","time"
"39","twinkling"
"40","unrestricted"
"41","waste"
"42","will"
"43","ã"
"44","abbys"
"45","abe"
"46","ability"
"47","able"
"48","abroad"
"49","absolutely"
"50","absurdity"
"51","abuse"
"52","academic"
"53","accelerated"
"54","accept"
"55","accepting"
"56","according"
"57","accused"
"58","accustomed"
"59","achieve"
"60","acknowledges"
"61","acosta"
"62","acres"
"63","across"
"64","act"
"65","acting"
"66","action"
"67","actress"
"68","actually"
"69","added"
"70","adding"
"71","addition"
"72","additional"
"73","address"
"74","administering"
"75","admission"
"76","adulthood"
"77","adults"
"78","advances"
"79","advancing"
"80","advisor"
"81","advocates"
"82","afford"
"83","afforded"
"84","afghan"
"85","afraid"
"86","age"
"87","agencies"
"88","agency"
"89","agents"
"90","aggreed"
"91","ago"
"92","agree"
"93","agreed"
"94","ah"
"95","airport"
"96","al"
"97","alaimo"
"98","alaska"
"99","album"
"100","alchemy"
"101","alex"
"102","alive"
"103","allied"
"104","allow"
"105","allowed"
"106","almighty"
"107","alone"
"108","along"
"109","alongside"
"110","already"
"111","also"
"112","alternative"
"113","although"
"114","alvin"
"115","always"
"116","amare"
"117","amazing"
"118","amazon"
"119","amberg"
"120","amelan"
"121","america"
"122","american"
"123","americans"
"124","amid"
"125","among"
"126","amongst"
"127","amount"
"128","anatol"
"129","anc"
"130","ancient"
"131","ancoras"
"132","anderson"
"133","andrades"
"134","andrew"
"135","animal"
"136","ankles"
"137","announces"
"138","another"
"139","answers"
"140","antioxidant"
"141","antonio"
"142","anyone"
"143","anything"
"144","anytime"
"145","anyway"
"146","anyways"
"147","anywhere"
"148","apartment"
"149","apparent"
"150","appeal"
"151","appearance"
"152","appeared"
"153","applauded"
"154","applauding"
"155","applies"
"156","approached"
"157","appropriate"
"158","april"
"159","aquarium"
"160","area"
"161","areas"
"162","argument"
"163","arguments"
"164","arkansas"
"165","armchair"
"166","around"
"167","arrest"
"168","arrests"
"169","arrieta"
"170","art"
"171","artest"
"172","artie"
"173","artist"
"174","artists"
"175","ashland"
"176","asianmiddle"
"177","ask"
"178","asked"
"179","ass"
"180","assam"
