"","x"
"1","now"
"2","night"
"3","york"
"4","year"
"5","week"
"6","like"
"7","get"
"8","forward"
"9","much"
"10","school"
"11","time"
"12","ago"
"13","though"
"14","sure"
"15","day"
"16","states"
"17","see"
"18","morning"
"19","know"
"20","old"
"21","post"
"22","say"
"23","weeks"
"24","back"
"25","favorite"
"26","soon"
"27","another"
"28","thing"
"29","follow"
"30","following"
"31","take"
"32","got"
"33","well"
"34","help"
"35","also"
"36","use"
"37","better"
"38","idea"
"39","luck"
"40","finished"
"41","one"
"42","can"
"43","good"
"44","go"
"45","make"
"46","still"
"47","tell"
"48","else"
"49","people"
"50","just"
"51","last"
"52","sports"
"53","italy"
"54","years"
"55","change"
"56","team"
"57","us"
"58","new"
"59","news"
"60","birthday"
"61","friday"
"62","christ"
"63","came"
"64","mind"
"65","two"
"66","month"
"67","god"
"68","love"
"69","media"
"70","trek"
"71","days"
"72","loss"
"73","lot"
"74","able"
"75","need"
"76","never"
"77","wanted"
"78","reason"
"79","forth"
"80","blah"
"81","boom"
"82","across"
"83","found"
"84","imagine"
"85","since"
"86","going"
"87","away"
"88","free"
"89","rights"
"90","started"
"91","home"
"92","potter"
"93","will"
"94","bought"
"95","find"
"96","little"
"97","bit"
"98","girl"
"99","angeles"
"100","feel"
"101","sense"
"102","times"
"103","mommy"
"104","album"
"105","really"
"106","games"
"107","want"
"108","rt"
"109","months"
"110","always"
"111","give"
"112","longer"
"113","city"
"114","every"
"115","known"
"116","said"
"117","house"
"118","world"
"119","buy"
"120","less"
"121","war"
"122","check"
"123","property"
"124","justice"
"125","coke"
"126","address"
"127","novel"
"128","written"
"129","single"
"130","asleep"
"131","ahead"
"132","sheet"
"133","bad"
"134","way"
"135","work"
"136","care"
"137","insurance"
"138","schools"
"139","spirit"
"140","gonna"
"141","let"
"142","saw"
"143","bowl"
"144","weekend"
"145","comment"
"146","sit"
"147","room"
"148","fun"
"149","hear"
"150","song"
"151","think"
"152","something"
"153","ways"
"154","thought"
"155","friends"
"156","actually"
"157","best"
"158","favourite"
"159","first"
"160","greatest"
"161","minister"
"162","enjoyed"
"163","hard"
"164","humor"
"165","th"
"166","town"
"167","networks"
"168","elses"
"169","louis"
"170","playing"
"171","league"
"172","pictures"
"173","place"
"174","ever"
"175","start"
"176","tina"
"177","hours"
"178","oh"
"179","come"
"180","continue"
"181","definitely"
"182","happen"
"183","live"
"184","pick"
"185","probably"
"186","win"
"187","ny"
"188","man"
"189","leave"
"190","except"
"191","block"
"192","job"
"193","words"
"194","obama"
"195","player"
"196","fan"
"197","difference"
"198","party"
"199","eyes"
"200","read"
"201","cancer"
"202","become"
"203","distinguished"
"204","improve"
"205","learn"
"206","remember"
"207","save"
"208","talk"
"209","turn"
"210","walk"
"211","wait"
"212","phone"
"213","around"
"214","cake"
"215","football"
"216","true"
"217","island"
"218","card"
"219","coffee"
"220","line"
"221","life"
"222","later"
"223","jam"
"224","duck"
"225","coast"
"226","hour"
"227","season"
"228","drink"
"229","al"
"230","done"
"231","seen"
"232","possible"
"233","great"
"234","government"
"235","based"
"236","crossed"
"237","class"
"238","round"
"239","story"
"240","drinks"
"241","book"
"242","yard"
"243","today"
"244","enough"
"245","lost"
"246","money"
"247","point"
"248","ready"
"249","rid"
"250","used"
"251","gems"
"252","advice"
"253","even"
"254","bed"
"255","keep"
"256","try"
"257","beer"
"258","married"
"259","deal"
"260","marathon"
"261","believe"
"262","soul"
"263","quality"
"264","replacement"
"265","dogs"
"266","past"
"267","getting"
"268","reform"
"269","fine"
"270","happened"
"271","made"
"272","matter"
"273","told"
"274","turned"
"275","tweet"
"276","watch"
"277","wish"
"278","anything"
"279","exactly"
"280","american"
"281","singer"
"282","curve"
"283","comments"
"284","everything"
"285","support"
"286","girls"
"287","music"
"288","ones"
"289","level"
"290","character"
"291","different"
"292","fact"
"293","look"
"294","knew"
"295","band"
"296","jersey"
"297","mexico"
"298","happens"
"299","put"
"300","seems"
"301","bolts"
"302","yeah"
"303","oil"
"304","many"
"305","might"
"306","person"
"307","pound"
"308","small"
"309","litigation"
"310","dioxins"
"311","cent"
"312","blog"
"313","picture"
"314","pray"
"315","release"
"316","already"
"317","pic"
"318","easy"
"319","enjoy"
"320","gets"
"321","liked"
"322","wants"
"323","watching"
"324","antonio"
"325","diego"
"326","francisco"
"327","pan"
