"","x"
"1","york"
"2","year"
"3","now"
"4","school"
"5","night"
"6","ago"
"7","time"
"8","get"
"9","week"
"10","day"
"11","jersey"
"12","like"
"13","see"
"14","though"
"15","sure"
"16","louis"
"17","states"
"18","angeles"
"19","thing"
"20","care"
"21","years"
"22","old"
"23","bit"
"24","francisco"
"25","people"
"26","estate"
"27","forward"
"28","got"
"29","one"
"30","pm"
"31","weeks"
"32","make"
"33","take"
"34","morning"
"35","much"
"36","media"
"37","days"
"38","come"
"39","back"
"40","luck"
"41","birthday"
"42","also"
"43","go"
"44","single"
"45","month"
"46","said"
"47","lot"
"48","never"
"49","else"
"50","use"
"51","district"
"52","century"
"53","just"
"54","director"
"55","cream"
"56","know"
"57","times"
"58","two"
"59","will"
"60","since"
"61","can"
"62","best"
"63","point"
"64","good"
"65","statement"
"66","court"
"67","new"
"68","say"
"69","still"
"70","another"
"71","favorite"
"72","really"
"73","help"
"74","way"
"75","friends"
"76","us"
"77","season"
"78","diego"
"79","tuned"
"80","follow"
"81","always"
"82","home"
"83","phone"
"84","want"
"85","oil"
"86","need"
"87","following"
"88","months"
"89","continue"
"90","give"
"91","country"
"92","world"
"93","find"
"94","seen"
"95","parks"
"96","deal"
"97","disease"
"98","saw"
"99","wanted"
"100","weekend"
"101","things"
"102","fountain"
"103","percent"
"104","together"
"105","president"
"106","happen"
"107","keep"
"108","obama"
"109","friend"
"110","cancer"
"111","even"
"112","tell"
"113","wait"
"114","council"
"115","development"
"116","free"
"117","half"
"118","round"
"119","better"
"120","done"
"121","ready"
"122","idea"
"123","news"
"124","ha"
"125","work"
"126","insurance"
"127","think"
"128","room"
"129","love"
"130","decision"
"131","great"
"132","fun"
"133","tournament"
"134","life"
"135","security"
"136","africa"
"137","anniversary"
"138","rt"
"139","hours"
"140","street"
"141","boy"
"142","white"
"143","post"
"144","imagine"
"145","page"
"146","place"
"147","marriage"
"148","store"
"149","suk"
"150","came"
"151","romney"
"152","orleans"
"153","carolina"
"154","god"
"155","side"
"156","officers"
"157","barack"
"158","minister"
"159","many"
"160","monday"
"161","quarter"
"162","dc"
"163","house"
"164","ever"
"165","later"
"166","city"
"167","look"
"168","executive"
"169","de"
"170","pates"
"171","members"
"172","mayo"
"173","four"
"174","manager"
"175","rid"
"176","try"
"177","job"
"178","mothers"
"179","finished"
"180","little"
"181","vegas"
"182","going"
"183","sense"
"184","center"
"185","england"
"186","law"
"187","yeah"
"188","first"
"189","game"
"190","department"
"191","conference"
"192","book"
"193","feel"
"194","wars"
"195","away"
"196","party"
"197","loss"
"198","hard"
"199","every"
"200","corner"
"201","press"
"202","sheet"
"203","laden"
"204","across"
"205","cause"
"206","change"
"207","easily"
"208","hear"
"209","used"
"210","min"
"211","sheriffs"
"212","government"
"213","bad"
"214","six"
"215","bless"
"216","enough"
"217","jpmorgan"
"218","stout"
"219","tax"
"220","christ"
"221","trying"
"222","fall"
"223","summer"
"224","music"
"225","ways"
"226","well"
"227","easier"
"228","money"
"229","thought"
"230","step"
"231","county"
"232","butter"
"233","state"
"234","dealer"
"235","rebounds"
"236","officer"
"237","hope"
"238","yes"
"239","board"
"240","aside"
"241","playing"
"242","university"
"243","bowl"
"244","three"
"245","rate"
"246","believe"
"247","coast"
"248","able"
"249","add"
"250","allow"
"251","become"
"252","remain"
"253","war"
"254","prison"
"255","ny"
"256","report"
"257","force"
"258","soon"
"259","crafts"
"260","minutes"
"261","church"
"262","ten"
"263","buy"
"264","found"
"265","provide"
"266","win"
"267","clinic"
"268","appeals"
"269","service"
"270","judge"
"271","kick"
"272","harder"
"273","door"
"274","card"
"275","warming"
"276","brown"
"277","start"
"278","stuff"
"279","chris"
"280","coach"
"281","run"
"282","rights"
"283","immigrants"
"284","ask"
"285","made"
"286","last"
"287","behind"
"288","alone"
"289","lies"
"290","bulb"
"291","girl"
"292","weight"
"293","difference"
"294","others"
"295","stewart"
"296","dad"
"297","less"
"298","needed"
"299","rules"
"300","america"
"301","man"
"302","big"
"303","biggest"
"304","hand"
"305","bin"
"306","fruit"
"307","paper"
"308","saturday"
"309","guard"
"310","view"
"311","cool"
"312","safety"
"313","whether"
"314","quite"
"315","team"
"316","hello"
"317","consecutive"
"318","bill"
"319","games"
"320","word"
"321","charles"
"322","blog"
"323","potato"
"324","long"
"325","different"
"326","seasons"
"327","ii"
"328","end"
"329","available"
"330","definitely"
"331","held"
"332","lead"
"333","play"
"334","cup"
"335","information"
"336","th"
"337","museum"
"338","questions"
"339","nigga"
"340","office"
"341","area"
"342","blue"
"343","hair"
"344","series"
"345","girls"
"346","brenda"
"347","eat"
"348","put"
"349","stop"
"350","christie"
"351","ohio"
"352","beer"
"353","right"
"354","comment"
"355","water"
"356","march"
"357","today"
"358","growth"
"359","paso"
"360","worse"
"361","comfortable"
"362","let"
"363","processor"
"364","agent"
"365","throw"
"366","afternoon"
"367","involved"
"368","real"
"369","something"
"370","bed"
"371","wrong"
"372","jury"
"373","hour"
"374","happy"
"375","thanksgiving"
"376","jump"
"377","kong"
"378","park"
"379","part"
"380","creation"
"381","liquid"
"382","fine"
"383","saying"
"384","started"
"385","told"
"386","mind"
"387","nights"
"388","thursday"
"389","without"
"390","assets"
"391","term"
"392","ones"
"393","adjustments"
"394","may"
"395","health"
"396","seconds"
"397","grose"
"398","gas"
"399","million"
"400","forget"
"401","album"
"402","followers"
"403","hampshire"
"404","zealand"
"405","administration"
"406","might"
"407","reason"
"408","north"
"409","living"
"410","calls"
"411","parenthood"
"412","guilty"
"413","april"
"414","chief"
"415","police"
"416","foot"
"417","enjoyed"
"418","liked"
"419","mean"
"420","sox"
"421","around"
"422","wednesday"
"423","pepper"
"424","districts"
"425","students"
"426","period"
"427","business"
"428","businesses"
"429","possible"
"430","california"
"431","ovation"
"432","springs"
"433","easy"
"434","group"
"435","photos"
"436","breaks"
"437","cuts"
"438","beat"
"439","straight"
"440","spent"
"441","martin"
"442","self"
"443","figure"
"444","children"
"445","military"
"446","majority"
"447","till"
"448","live"
"449","known"
"450","bring"
"451","likely"
"452","receive"
"453","remember"
"454","serve"
"455","brother"
"456","exercise"
"457","american"
"458","certainly"
