"","x"
"1","new"
"2","last"
"3","right"
"4","high"
"5","years"
"6","first"
"7","can"
"8","every"
"9","feel"
"10","even"
"11","make"
"12","one"
"13","st"
"14","united"
"15","los"
"16","just"
"17","health"
"18","look"
"19","two"
"20","year"
"21","little"
"22","looks"
"23","next"
"24","san"
"25","long"
"26","many"
"27","real"
"28","looking"
"29","m"
"30","sounds"
"31","will"
"32","five"
"33","good"
"34","pretty"
"35","social"
"36","three"
"37","go"
"38","happy"
"39","mothers"
"40","follow"
"41","officials"
"42","parking"
"43","several"
"44","anyone"
"45","feels"
"46","get"
"47","school"
"48","th"
"49","things"
"50","executive"
"51","four"
"52","ice"
"53","let"
"54","people"
"55","said"
"56","time"
"57","know"
"58","police"
"59","really"
"60","supreme"
"61","weeks"
"62","brand"
"63","months"
"64","recent"
"65","saturday"
"66","want"
"67","along"
"68","family"
"69","join"
"70","least"
"71","now"
"72","someone"
"73","something"
"74","stay"
"75","thanks"
"76","wait"
"77","way"
"78","back"
"79","cell"
"80","coming"
"81","felt"
"82","olive"
"83","second"
"84","seems"
"85","yet"
"86","york"
"87","across"
"88","also"
"89","around"
"90","come"
"91","couple"
"92","ever"
"93","fountain"
"94","going"
"95","great"
"96","heart"
"97","much"
"98","need"
"99","pates"
"100","percent"
"101","put"
"102","trying"
"103","vice"
"104","barack"
"105","best"
"106","breast"
"107","cant"
"108","city"
"109","days"
"110","economic"
"111","give"
"112","ha"
"113","hard"
"114","lets"
"115","like"
"116","living"
"117","lot"
"118","love"
"119","made"
"120","monday"
"121","ncaa"
"122","south"
"123","take"
"124","try"
"125","us"
"126","wall"
"127","yearold"
"128","anything"
"129","black"
"130","blog"
"131","came"
"132","earlier"
"133","facebook"
"134","friday"
"135","gay"
"136","getting"
"137","grocery"
"138","help"
"139","hyun"
"140","looked"
"141","makes"
"142","mitt"
"143","north"
"144","number"
"145","oh"
"146","president"
"147","prime"
"148","rose"
"149","six"
"150","today"
"151","valentines"
"152","washington"
"153","white"
"154","absolutely"
"155","always"
"156","another"
"157","believe"
"158","chief"
"159","cinco"
"160","classic"
"161","council"
"162","day"
"163","de"
"164","everyone"
"165","everything"
"166","find"
"167","general"
"168","las"
"169","may"
"170","maybe"
"171","medical"
"172","never"
"173","past"
"174","per"
"175","please"
"176","press"
"177","read"
"178","seven"
"179","star"
"180","tea"
"181","ten"
"182","think"
"183","told"
"184","weight"
"185","well"
"186","work"
"187","young"
"188","act"
"189","almost"
"190","associated"
"191","baking"
"192","beautiful"
"193","better"
"194","bin"
"195","chang"
"196","county"
"197","dining"
"198","district"
"199","elementary"
"200","federal"
"201","final"
"202","fiscal"
"203","giving"
"204","god"
"205","got"
"206","h"
"207","hope"
"208","imperial"
"209","income"
"210","issued"
"211","jae"
"212","jersey"
"213","jesus"
"214","late"
"215","live"
"216","making"
"217","middle"
"218","moving"
"219","nothing"
"220","orange"
"221","passed"
"222","peanut"
"223","penn"
"224","plain"
"225","pm"
"226","points"
"227","regular"
"228","say"
"229","set"
"230","spend"
"231","spending"
"232","started"
"233","state"
"234","super"
"235","tell"
"236","unemployment"
"237","west"
"238","world"
"239","able"
"240","according"
"241","air"
"242","already"
"243","anytime"
"244","arts"
"245","atlantic"
"246","bake"
"247","baptist"
"248","big"
"249","bring"
"250","chance"
"251","circuit"
"252","cleveland"
"253","comes"
"254","company"
"255","court"
"256","customer"
"257","desperately"
"258","either"
"259","eli"
"260","end"
"261","front"
"262","game"
"263","gift"
"264","global"
"265","golden"
"266","gov"
"267","group"
"268","head"
"269","home"
"270","human"
"271","illegal"
"272","jpmorgan"
"273","kansas"
"274","left"
"275","lies"
"276","light"
"277","lose"
"278","martha"
"279","middlesex"
"280","might"
"281","mom"
"282","month"
"283","must"
"284","old"
"285","osama"
"286","passion"
"287","patterned"
"288","point"
"289","public"
"290","question"
"291","relay"
"292","see"
"293","senate"
"294","since"
"295","sound"
"296","spokesman"
"297","spread"
"298","still"
"299","sure"
"300","sweet"
"301","tax"
"302","thank"
"303","third"
"304","took"
"305","tuesday"
"306","wanna"
"307","wanted"
"308","war"
"309","week"
"310","whole"
"311","working"
"312","wrong"
"313","ago"
"314","amount"
"315","april"
"316","art"
"317","ask"
"318","ass"
"319","attorneys"
"320","away"
"321","bay"
"322","bit"
"323","board"
"324","book"
"325","boys"
"326","brenda"
"327","brought"
"328","build"
"329","building"
"330","chris"
"331","comic"
"332","craft"
"333","cute"
"334","cuyahoga"
"335","declined"
"336","defensive"
"337","design"
"338","drinking"
"339","early"
"340","east"
"341","el"
"342","excited"
"343","experts"
"344","fair"
"345","far"
"346","february"
"347","feeling"
"348","fell"
"349","finally"
"350","food"
"351","football"
"352","free"
"353","friends"
"354","glad"
"355","grand"
"356","half"
"357","hong"
"358","hotel"
"359","hyde"
"360","important"
"361","job"
"362","keep"
"363","knew"
"364","later"
"365","life"
"366","liquid"
"367","louis"
"368","loved"
"369","mental"
"370","million"
"371","minutes"
"372","move"
"373","mrs"
"374","national"
"375","natural"
"376","nearly"
"377","news"
"378","obama"
"379","ohio"
"380","parkway"
"381","phone"
"382","planned"
"383","pleaded"
"384","portland"
"385","post"
"386","program"
"387","prosecutors"
"388","quite"
"389","red"
"390","run"
"391","salt"
"392","seem"
"393","seemed"
"394","single"
"395","small"
"396","soon"
"397","sour"
"398","southern"
"399","spent"
"400","standing"
"401","start"
"402","steamboat"
"403","students"
"404","sunday"
"405","support"
"406","takes"
"407","team"
"408","though"
"409","thought"
"410","thursday"
"411","times"
"412","trayvon"
"413","true"
"414","turned"
"415","u"
"416","vast"
"417","walk"
"418","walking"
"419","went"
"420","within"
"421","worked"
"422","yes"
"423","younger"
"424","adams"
"425","aerobic"
"426","african"
"427","although"
"428","among"
"429","announced"
"430","answer"
"431","asked"
"432","attorney"
"433","authorities"
"434","avenue"
"435","averaging"
"436","bad"
"437","bank"
"438","barnes"
"439","baseball"
"440","become"
"441","began"
"442","blood"
"443","box"
"444","british"
"445","brother"
"446","brown"
"447","busy"
"448","california"
"449","center"
"450","centered"
"451","central"
"452","cents"
"453","championship"
"454","christmas"
"455","church"
"456","civil"
"457","clean"
"458","coach"
"459","college"
"460","color"
"461","colt"
"462","conference"
"463","contributed"
"464","cook"
"465","country"
"466","cricket"
"467","critical"
"468","cup"
"469","daily"
"470","decided"
"471","determine"
"472","different"
"473","difficult"
"474","dim"
"475","direct"
"476","disorderly"
"477","double"
"478","eastern"
"479","else"
"480","email"
"481","enough"
"482","essex"
"483","european"
"484","except"
"485","extremely"
"486","fact"
"487","fans"
"488","favorite"
"489","financial"
"490","finish"
"491","foreign"
"492","fourth"
"493","fox"
"494","fresh"
"495","fun"
"496","funeral"
"497","funny"
"498","gabrielle"
"499","gas"
"500","gave"
"501","girl"
"502","gonna"
"503","gop"
"504","grilled"
"505","gummi"
"506","gun"
"507","hall"
"508","hell"
"509","hey"
"510","hi"
"511","hip"
"512","hit"
"513","holiday"
"514","hopefully"
"515","hours"
"516","howard"
"517","hunger"
"518","im"
"519","jack"
"520","january"
"521","jones"
"522","june"
"523","keeps"
"524","kelly"
"525","kids"
"526","king"
"527","lake"
"528","law"
"529","lawsuit"
"530","lebron"
"531","less"
"532","likely"
"533","lives"
"534","location"
"535","lucky"
"536","major"
"537","march"
"538","mean"
"539","medium"
"540","mediumhigh"
"541","mega"
"542","michael"
"543","millions"
"544","mmfmorgan"
"545","moved"
"546","mr"
"547","music"
"548","night"
"549","none"
"550","office"
"551","oil"
"552","open"
"553","operating"
"554","order"
"555","oregon"
"556","paintball"
"557","pay"
"558","peoples"
"559","peyton"
"560","pine"
"561","played"
"562","port"
"563","probably"
"564","radio"
"565","raise"
"566","recently"
"567","report"
"568","rest"
"569","river"
"570","road"
"571","roman"
"572","romney"
"573","running"
"574","santa"
"575","schools"
"576","sea"
"577","seconds"
"578","secretary"
"579","send"
"580","seung"
"581","sheriffs"
"582","short"
"583","show"
"584","singing"
"585","smelly"
"586","smith"
"587","sometimes"
"588","spring"
"589","staff"
"590","stamp"
"591","substance"
"592","taken"
"593","taking"
"594","tampa"
"595","thing"
"596","thus"
"597","tomorrow"
"598","tonight"
"599","transition"
"600","turning"
"601","tv"
"602","use"
"603","vegetable"
"604","visitor"
"605","w"
"606","waiting"
"607","waste"
"608","watch"
"609","wearing"
"610","wednesday"
"611","whenever"
"612","whether"
"613","whipped"
"614","whoa"
"615","widely"
"616","wonderful"
"617","workshop"
"618","worth"
"619","yeah"
"620","„"
"621","aaron"
"622","academic"
"623","academy"
"624","acting"
"625","action"
"626","added"
"627","advent"
"628","affordable"
"629","aged"
"630","agreed"
"631","albert"
"632","allow"
"633","american"
"634","americans"
"635","angeles"
"636","anne"
"637","ansar"
"638","answered"
"639","answering"
"640","arms"
"641","arrested"
"642","artistic"
"643","assistant"
"644","attempted"
"645","automakers"
"646","available"
"647","ball"
"648","basketball"
"649","bbq"
"650","begins"
"651","behind"
"652","bigger"
"653","biggest"
"654","bill"
"655","birth"
"656","bloomfield"
"657","body"
"658","border"
"659","born"
"660","bottom"
"661","boy"
"662","breaking"
"663","brewing"
"664","brick"
"665","bride"
"666","brokeback"
"667","bruce"
"668","bucket"
"669","budget"
"670","bus"
"671","business"
"672","butte"
"673","buy"
"674","cafe"
"675","call"
"676","called"
"677","camino"
"678","cancer"
"679","car"
"680","care"
"681","case"
"682","caught"
"683","cause"
"684","certain"
"685","challenge"
"686","chamber"
"687","chances"
"688","change"
"689","changed"
"690","child"
"691","children"
"692","childrens"
"693","chinese"
"694","chores"
"695","christie"
"696","clackamas"
"697","classes"
"698","clinic"
"699","close"
"700","closed"
"701","coaching"
"702","columbia"
"703","columbus"
"704","common"
"705","community"
"706","completed"
"707","completely"
"708","connect"
"709","constant"
"710","construction"
"711","consumer"
"712","contact"
"713","cool"
"714","course"
"715","covent"
"716","crack"
"717","cream"
"718","create"
"719","crested"
"720","criminal"
"721","cross"
"722","crowd"
"723","cumberland"
"724","cut"
"725","cuts"
"726","cutting"
"727","damn"
"728","dance"
"729","dark"
"730","data"
"731","dear"
"732","debt"
"733","debut"
"734","december"
"735","decision"
"736","deep"
"737","defense"
"738","definitely"
"739","department"
"740","deputy"
"741","determined"
"742","dinner"
"743","distance"
"744","distress"
"745","dominican"
"746","done"
"747","dont"
"748","downtown"
"749","earn"
"750","easier"
"751","easily"
"752","easy"
"753","eat"
"754","eating"
"755","eclectic"
"756","education"
"757","eight"
"758","elected"
"759","emergency"
"760","energy"
"761","enterprise"
"762","entirely"
"763","entry"
"764","estate"
"765","ethnic"
"766","everybody"
"767","everyday"
"768","expect"
"769","experience"
"770","express"
"771","extra"
"772","fabric"
"773","fabulous"
"774","faces"
"775","factors"
"776","faith"
"777","fall"
"778","fallen"
"779","farmers"
"780","fast"
"781","fastest"
"782","father"
"783","feet"
"784","fewer"
"785","fictional"
"786","fight"
"787","film"
"788","fine"
"789","fingers"
"790","finished"
"791","fire"
"792","firstdegree"
"793","florence"
"794","foam"
"795","focus"
"796","foot"
"797","former"
"798","forward"
"799","fossil"
"800","found"
"801","french"
"802","friend"
"803","full"
"804","games"
"805","gang"
"806","gets"
"807","girls"
"808","given"
"809","goal"
"810","goat"
"811","goes"
"812","gold"
"813","golf"
"814","goods"
"815","gorgeous"
"816","gotta"
"817","government"
"818","graduate"
"819","granite"
"820","green"
"821","greenhouse"
"822","grow"
"823","growing"
"824","guest"
"825","guy"
"826","guys"
"827","haha"
"828","hand"
"829","happened"
"830","harry"
