"","word"
"1","a+lot"
"2","a"
"3","one+of"
"4","one"
"5","and+have"
"6","and+i"
"7","i+wanted"
"8","i"
"9","and+have+to"
"10","and+i+to"
"11","and+i+have"
"12","and+i+was"
"13","and+then+was"
"14","and+then+i"
"15","be+unto+us"
"16","be+done+us"
"17","be+done+unto"
"18","done+us+as"
"19","done+unto+as"
"20","done+unto+us"
"21","i+to+work"
"22","i+had+work"
"23","i+had+to"
"24","that+could+be"
"25","that+i+be"
"26","that+i+could"
"27","then+was+going"
"28","then+i+going"
"29","then+i+was"
"30","to+my+books"
"31","to+hide+books"
"32","to+hide+my"
"33","what+want+to"
"34","what+i+to"
"35","what+i+want"
"36","i+had"
"37","it+is"
"38","it"
"39","as+much"
"40","i+want"
"41","as"
"42","at+age"
"43","at+the"
"44","for+first"
"45","for+the"
"46","how+times"
"47","how+many"
"48","i+going"
"49","i+am"
"50","i+need"
"51","i+just"
"52","i+was"
"53","if+would"
"54","if+you"
"55","in+name"
"56","in+the"
"57","in+same"
"58","the+of"
"59","the+back"
"60","the+end"
"61","the+family"
"62","to+able"
"63","to+be"
"64","i+have"
"65","it+was"
"66","and"
"67","the"
"68","hyun"
"69","a+couple"
"70","according+to"
"71","i+decided"
"72","that+it"
"73","there+is"
"74","according"
"75","that"
"76","there"
"77","a+of"
"78","a+bit"
"79","a+few"
"80","a+idea"
"81","a+good"
"82","a+when"
"83","a+time"
"84","a+back"
"85","a+while"
"86","admit+i"
"87","admit+that"
"88","and+know"
"89","and+then"
"90","are+few"
"91","are+a"
"92","are+just"
"93","as+can"
"94","as+it"
"95","as+as"
"96","as+of"
"97","as+one"
"98","as+well"
"99","at+end"
"100","be+unto"
"101","be+done"
"102","be+one"
"103","be+the"
"104","because+wanted"
"105","because+i"
"106","being+of"
"107","being+one"
"108","but+so"
"109","but+like"
"110","chang+scoffs"
"111","chang+min"
"112","code+canon"
"113","code+of"
"114","done+us"
"115","done+unto"
"116","during+reign"
"117","during+the"
"118","every+will"
"119","every+cab"
"120","every+day"
"121","every+single"
"122","fell+love"
"123","fell+in"
"124","find+what"
"125","find+out"
"126","first+to"
"127","first+woman"
"128","for+of"
"129","for+most"
"130","for+second"
"131","friends+come"
"132","friends+to"
"133","from+to"
"134","from+time"
"135","get+chores"
"136","get+my"
"137","had+work"
"138","had+to"
"139","have+lot"
"140","have+a"
"141","have+relearn"
"142","have+to"
"143","having+work"
"144","having+to"
"145","hide+books"
"146","hide+my"
"147","him+it"
"148","him+that"
"149","i+wait"
"150","i+cant"
"151","i+be"
"152","i+could"
"153","i+a"
"154","i+to"
"155","i+never"
"156","i+it"
"157","i+think"
"158","i+if"
"159","i+wonder"
"160","in+case"
"161","in+any"
"162","in+york"
"163","in+new"
"164","in+words"
"165","in+other"
"166","in+end"
"167","in+face"
"168","in+light"
"169","in+process"
"170","in+room"
"171","in+third"
"172","in+will"
"173","in+turn"
"174","insist+they"
"175","insist+that"
"176","iron+is"
"177","iron+tooth"
"178","it+one"
"179","it+makes"
"180","it+have"
"181","it+would"
"182","its+cool"
"183","its+pretty"
"184","makes+think"
"185","makes+me"
"186","many+have"
"187","many+times"
"188","no+no"
"189","no+more"
"190","not+of"
"191","not+one"
"192","of+of"
"193","of+journey"
"194","on+way"
"195","on+my"
"196","on+week"
"197","on+faces"
"198","on+their"
"199","on+of"
"200","on+top"
"201","one+the"
"202","out+the"
"203","out+what"
"204","over+had"
"205","over+i"
"206","past+or"
"207","past+week"
"208","quite+bit"
"209","quite+a"
"210","regarded+one"
"211","regarded+as"
"212","south+and"
"213","south+africa"
"214","that+could"
"215","that+i"
"216","that+didnt"
"217","that+had"
"218","that+can"
"219","that+they"
"220","that+should"
"221","that+we"
"222","the+way"
"223","the+best"
"224","the+bottom"
"225","the+woman"
"226","the+first"
"227","the+tooth"
"228","the+iron"
"229","the+will"
"230","the+meters"
"231","then+was"
"232","then+i"
"233","those+us"
"234","those+of"
"235","those+you"
"236","to+that"
"237","to+admit"
"238","to+seen"
"239","to+up"
"240","to+come"
"241","to+my"
"242","to+hide"
"243","to+how"
"244","to+relearn"
"245","to+nature"
"246","to+the"
"247","to+for"
"248","to+work"
"249","unto+as"
"250","unto+us"
"251","us+we"
"252","us+as"
"253","what+want"
"254","what+i"
"255","what+was"
"256","what+iron"
"257","what+the"
"258","what+taken"
"259","when+had"
"260","when+i"
"261","when+comes"
"262","when+it"
"263","which+turn"
"264","which+in"
"265","who+being"
"266","who+are"
"267","with+look"
"268","with+a"
"269","with+but"
"270","with+us"
"271","world+dvd"
"272","world+cup"
"273","as+i"
"274","back+to"
"275","in+order"
"276","that+he"
"277","the+fact"
"278","there+was"
"279","was+going"
"280","back"
"281","in"
"282","was"
"283","a+awesome+deal"
"284","a+an+deal"
"285","a+an+awesome"
"286","a+thing+moved"
"287","a+bad+moved"
