"","count"
"theres",65
"something",341
"in",6043
"the",18893
"air",65
"pisces",1
"and",11187
"you",3028
"can't",113
"quite",182
"put",204
"your",984
"finger",13
"on",2787
"it",4003
"i",7689
"made",360
"mistake",13
"of",8966
"telling",47
"my",2660
"bff",3
"kiki",1
"all",1485
"details",27
"had",1131
"failed",28
"to",10733
"share",102
"with",2975
"parents",86
"about",1162
"l",9
"lightly",9
"she",851
"was",2820
"totally",42
"not",1700
"cool",61
"me",1393
"going",407
"italy",12
"promise",31
"call",104
"her",996
"daily",46
"or",1404
"else",107
"tell",160
"can",1001
"believe",139
"that",4644
"so",1640
"many",404
"paranoid",4
"people",646
"these",471
"days",201
"oh",89
"well",527
"agreed",17
"anyhow",5
"a",9132
"few",360
"before",382
"thanksgiving",14
"time",881
"finally",116
"come",267
"for",3618
"board",41
"plane",21
"as",2363
"other",573
"planes",5
"would",817
"take",376
"boyfriend",2
"took",140
"hours",106
"reach",35
"venice",1
"when",1048
"touched",12
"down",356
"overwhelmed",10
"excitement",13
"could",460
"barely",12
"stay",100
"seated",4
"went",200
"airport",10
"washroom",1
"tried",89
"pretty",131
"myself",195
"up",1001
"first",470
"but",2030
"wasnt",59
"travel",39
"does",180
"produce",22
"anything",154
"beautiful",100
"even",534
"presentable",1
"sprayed",2
"perfume",4
"gave",69
"teeth",22
"brush",11
"meet",48
"love",429
"life",409
"new",610
"york's",2
"chief",19
"auction",5
"houses",30
"sotheby's",1
"christie's",1
"international",42
"say",291
"prices",22
"any",370
"artist",31
"are",1923
"heavily",12
"contingent",4
"upon",88
"whims",1
"supply",17
"it's",408
"rare",21
"occurrence",1
"seller",2
"consigns",1
"work",367
"important",116
"picasso's",1
"nude",2
"green",67
"leaves",33
"bust",6
"last",391
"week's",13
"million",40
"sale",33
"hahasure",1
"writing",126
"ya",15
"novel",38
"sent",44
"scenes",23
"an",1103
"old",208
"friend",108
"alpha",3
"read",204
"called",135
"said",387
"character",66
"derek",8
"reminds",11
"lot",204
"xxx",1
"from",1431
"high",115
"school",194
"know",557
"what",1124
"correct",20
"id",76
"subconsciously",4
"written",66
"guy",70
"who",854
"always",271
"thought",211
"whats",31
"day",509
"off",341
"barry",5
"he",1483
"asked",103
"meeting",37
"darcy",1
"miller",2
"which",710
"just",1010
"sublime",2
"really",469
"knows",49
"weddings",5
"there",921
"no",712
"words",119
"describe",23
"although",77
"if",1049
"find",236
"them",801
"they",1415
"be",2093
"good",463
"sat",39
"beside",17
"teenager",10
"began",51
"talking",84
"offered",24
"drive",42
"hotel",33
"where",381
"friends",162
"moved",45
"chose",32
"go",412
"busan",1
"by",1254
"ferry",8
"rather",126
"than",520
"because",575
"cheap",17
"wanted",155
"trip",46
"become",127
"more",929
"different",189
"adventurous",5
"try",163
"every",284
"taste",43
"why",272
"wouldnt",28
"answered",8
"we",1959
"actually",175
"between",183
"japan",18
"south",74
"korea",4
"is",4367
"best",213
"option",15
"since",275
"fast",42
"comfortable",21
"choose",55
"choices",22
"never",348
"decided",124
"nearly",45
"way",502
"spend",56
"one",1259
"night",193
"fine",51
"plenty",28
"this",2626
"journey",25
"lets",47
"still",381
"didnt",132
"yet",158
"wanna",9
"happens",43
"heard",91
"at",1721
"seasick",1
"see",502
"alright",15
"wonderstuff",1
"dont",293
"let",190
"uk",29
"none",34
"kajol",3
"exception",10
"swarthy",1
"supertalented",1
"actress",7
"learnt",1
"getting",175
"whopping",2
"rs",1
"crore",2
"karan",3
"johars",1
"next",275
"movie",85
"name",109
"khan",4
"its",731
"considerable",5
"increase",27
"reportedly",4
"charged",9
"kunal",1
"kohlis",1
"fanaa",1
"years",385
"back",489
"then",606
"has",979
"only",511
"worked",56
"hubby",12
"ajay",1
"devgan",1
"s",96
"directorial",1
"debut",16
"u",15
"aur",1
"hum",6
"family",180
"kajols",1
"priority",6
"johar",1
"some",936
"amount",38
"persuasion",2
"convince",9
"end",221
"brief",9
"sabbatical",1
"like",992
"producer",12
"appreciates",2
"true",102
"talent",19
"offering",22
"market",59
"fee",7
"commanded",5
"top",123
"actresses",2
"bollywood",6
"hataway",1
"accused",8
"attacking",4
"rachael",3
"clarke",4
"august",23
"seminole",1
"county",23
"left",178
"neck",17
"brace",1
"scratches",4
"bruises",3
"over",543
"body",111
"bit",213
"remaining",16
"baby",89
"gear",4
"have",2237
"slings",1
"slingaccommodating",1
"jacket",5
"umbrella",6
"stroller",6
"nursing",8
"bras",2
