"","count"
"he",2292
"wasn't",77
"home",336
"alone",28
"apparently",22
"the",19745
"st",229
"louis",86
"plant",32
"had",831
"to",9092
"close",96
"it",2259
"would",682
"die",13
"of",7855
"old",99
"age",54
"workers",70
"been",695
"making",120
"cars",34
"there",557
"since",227
"onset",2
"mass",15
"automotive",3
"production",32
"in",6708
"s",97
"wsu's",1
"plans",79
"quickly",39
"became",80
"a",8906
"hot",53
"topic",5
"on",2654
"local",129
"online",66
"sites",24
"though",154
"most",382
"people",495
"applauded",4
"for",3658
"new",678
"biomedical",1
"center",195
"many",317
"deplored",1
"potential",62
"loss",75
"building",97
"alaimo",1
"group",128
"mount",9
"holly",3
"was",2346
"up",767
"contract",57
"last",534
"fall",75
"evaluate",4
"and",8998
"suggest",21
"improvements",18
"trenton",27
"water",103
"works",61
"but",1542
"campaign",77
"finance",23
"records",62
"released",73
"this",1203
"week",218
"show",183
"two",585
"employees",82
"donated",6
"total",61
"political",86
"action",48
"committee",69
"pac",12
"partners",20
"progress",21
"early",144
"june",61
"reported",71
"gave",76
"more",872
"than",598
"both",198
"direct",19
"inkind",1
"contributions",17
"mayor",62
"tony",35
"mack",5
"weeks",84
"leading",51
"his",1522
"victory",47
"mayoral",3
"runoff",2
"election",43
"when",800
"it's",614
"often",111
"difficult",56
"predict",5
"law's",4
"impact",28
"legislators",10
"should",240
"think",261
"twice",35
"before",344
"carrying",15
"any",271
"bill",122
"is",3003
"absolutely",21
"necessary",28
"an",1204
"issue",86
"serious",52
"enough",123
"merit",4
"their",873
"attention",49
"will",1095
"definitely",28
"not",1143
"make",316
"situation",43
"worse",25
"certain",42
"amount",51
"scoffing",1
"going",335
"around",185
"few",150
"years",477
"ago",127
"nfl",44
"decided",53
"move",75
"draft",32
"from",1582
"weekend",53
"prime",24
"time",516
"eventually",43
"splitting",3
"off",275
"first",512
"round",44
"separate",18
"day",289
"charlevoix",1
"detroit",42
"its",683
"just",559
"another",229
"long",189
"line",92
"failed",48
"attempts",15
"subsidize",5
"atlantic",31
"city",336
"said",2509
"americans",49
"prosperity",6
"jersey",92
"director",129
"steve",30
"lonegan",1
"conservative",39
"who",1047
"lost",86
"christie",48
"gop",32
"primary",28
"revel",2
"casino",23
"hit",112
"jackpot",5
"here",170
"at",2121
"government",159
"expense",7
"again",120
"report",113
"sullivan",9
"called",155
"cps",5
"correct",13
"problems",57
"improve",27
"employee",32
"accountability",5
"saying",91
"example",48
"that",3449
"measures",12
"keep",120
"submitting",3
"fraudulent",3
"invoices",1
"or",982
"block",41
"accessing",1
"inappropriate",7
"websites",5
"were",736
"place",179
"i",1601
"trying",114
"hard",93
"someplace",4
"rizzo",1
"pitch",21
"opposite",12
"field",78
"leftcenter",1
"im",38
"good",303
"contact",23
"mhta",1
"president",200
"ceo",36
"margaret",4
"anderson",20
"kelliher",2
"construction",62
"likely",92
"begin",40
"soon",52
"suite",7
"offices",16
"building's",4
"fourth",61
"floor",42
"near",93
"historic",26
"trading",17
"absurdity",3
"attempting",7
"bottle",10
"news",102
"such",223
"magnitude",3
"too",191
"apparent",12
"later",132
"write",14
"gm",19
"labor",34
"relations",15
"vice",35
"diana",1
"tremblay",1
"deal",99
"enable",5
"be",1498
"fully",23
"competitive",24
"has",1221
"eliminated",4
"gap",6
"with",2614
"our",420
"competitors",5
"why",138
"wandry",1
"matters",17
"current",58
"system",114
"imposes",1
"gift",25
"tax",116
"taxpayers",19
"give",141
"assets",26
"away",124
"exceptions",3
"individuals",20
"now",372
"get",420
"one",847
"million",326
"lifetime",17
"exemption",5
"they",1084
"can",580
"also",591
"year",610
"unlimited",6
"number",117
"recipients",6
"next",208
"break",50
"scheduled",42
"drop",27
"top",147
"rate",51
"rise",24
"cheap",10
"me",243
"really",171
"feel",103
"then",328
"batum",12
"rose",60
"feet",85
"squared",2
