"","count"
"okay",73
"people",528
"get",1132
"mad",59
"at",1877
"different",64
"things",232
"so",1676
"when",763
"i",7195
"don't",794
"say",334
"i'm",1314
"over",311
"reacting",1
"or",749
"that",2319
"it's",822
"stupid",49
"ppl",60
"rlly",1
"to",7802
"have",1671
"a",6017
"dictionary",1
"thrwn",1
"thur",1
"faces",10
"please",317
"stop",177
"typing",5
"like",1194
"its",347
"definitely",69
"easier",21
"blame",22
"my",2868
"problems",35
"on",2811
"someone",208
"else",99
"then",297
"myself",91
"haha",280
"fire",38
"retardant",1
"was",1173
"found",64
"in",3762
"soda",11
"must",126
"be",1784
"flame",2
"resistant",2
"loving",37
"his",283
"intensity",6
"what's",156
"not",1190
"love",1064
"by",611
"jonathan",5
"ames",2
"some",640
"if",1031
"these",165
"annoying",28
"as",696
"fuck",121
"just",1509
"started",68
"run",107
"f",20
"mph",8
"n",99
"and",4318
"the",9424
"hell",98
"is",3517
"up",1142
"with",1655
"hair",77
"he",564
"got",537
"long",159
"ass",126
"slick",6
"back",534
"doc",12
"checking",25
"here",399
"gonna",186
"good",976
"show",287
"tonight",421
"lots",70
"of",3494
"fun",203
"stuff",105
"talking",97
"about",932
"casey",6
"anthony",16
"tune",11
"nicknamed",1
"dog",73
"jasmine",2
"bin",6
"laden",3
"thatswhenyouknow",1
"she's",73
"terrorist",1
"whenaustin",3
"doesn't",122
"miss",206
"one",761
"austream",1
"sick",65
"friends",187
"out",1211
"town",56
"he's",121
"always",291
"doing",216
"them",390
"from",878
"yeah",196
"crazy",104
"how",794
"twitter",292
"addictive",5
"right",471
"listening",66
"mj",4
"for",3922
"all",1169
"time",748
"michael's",2
"voice",51
"him",280
"icf",2
"tools",15
"u",745
"can",865
"use",142
"think",564
"leonardo",4
"mind",91
"mapping",5
"generate",1
"first",337
"organize",1
"im",263
"do",1104
"you",5386
"could",301
"help",194
"me",1941
"thank",409
"much",427
"singing",22
"life",339
"same",189
"school",226
"well",384
"mom's",7
"fault",12
"she",303
"threw",9
"wrapper",1
"catnip",2
"there",620
"am",475
"supposed",27
"leave",70
"it",2969
"alone",35
"notre",1
"dame",1
"vs",42
"pitt",8
"todaywho",1
"ya",143
"who",553
"caught",17
"big",226
"freedia's",1
"division",5
"last",395
"night",410
"control",24
"today's",42
"tip",37
"start",169
"your",1674
"day",899
"positive",33
"note",23
"list",61
"are",1501
"grateful",6
"will",970
"improve",12
"overall",16
"feeling",77
"wellbeing",1
"best",373
"way",393
"follow",440
"draft",25
"nice",245
"glad",144
"green",55
"team",151
"mongolian",1
"restaurant",17
"hu",2
"hot",103
"now",829
"officially",20
"fav",15
"sullinger",1
"getting",249
"locked",6
"down",262
"double",33
"passing",12
"sketchy",2
"still",418
"trying",136
"jack",16
"shots",17
"bfei",1
"need",497
"passion",14
"business",90
"necessarily",5
"product",17
"service",53
"watched",42
"virgin",4
"suicides",4
"an",669
"amazing",179
"look",241
"into",205
"girls",99
"america",31
"deconstruction",1
"'s",89
"we",1339
"camera",22
"turned",28
"uphave",1
"lost",80
"yours",36
"source",13
"temporary",4
"housing",5
"catching",22
"thebachelor",2
"such",106
"guilty",9
"pleasure",29
"really",453
"believe",127
"d",225
"close",61
"we're",163
"never",333
"there's",101
"friend",125
"wheels",7
"boston",26
"ist",1
"week",290
"beirut",1
"discover",10
"city",92
"nd",54
"malta",1
"sicily",1
"sardinia",1
"corsica",1
"cyprus",2
"fantastic",38
"lets",49
"play",172
"worst",46
"part",98
"blacking",2
"go",695
"fee",7
"structures",2
"math",15
"guestimating",1
"comparing",2
"apples",7
"oranges",1
"ugh",64
"sent",51
"email",96
"gmail",4
"account",45
"posted",28
"linkedin",12
"impressed",10
"amount",12
"size",19
"hills",7
"mideast",1
"ks",3
"stereotype",1
"has",494
"been",464
"crushed",2
"almost",87
"forgot",41
"happy",513
"birthday",166
"free",194
"wall",18
"posters",4
"lord",31
"protect",10
"take",311
"care",93
"enemies",5
"ah",56
"yup",22
"two",178
"lane",12
"highway",4
"traffice",1
"travels",5
"road",41
"needs",92
"widened",1
"manager",12
"administers",1
"leader",15
"innovates",1
"warren",4
"bennis",1
"luck",97
"tent",4
"dr",38
"john",50
"today",695
"hey",274
"poynter",1
"great",746
"how's",21
"france",5
"game",286
"ad",22
"mw",3
"guns",6
"new",710
"maps",1
"goldman",1
"names",15
"schiro",1
"former",14
"insurance",16
"exec",3
"lead",41
"director",5
"board",25
"head",98
"corporate",14
"governance",2
"nominating",1
"committee",14
"friggin",4
"rihanna",3
"theymightbegiants",1
"goldmotel",1
"hmm",8
"twitcon",2
"mcdreamy",2
"oh",348
"god",168
"sexy",38
"thanks",902
"coming",166
"training",33
"picture",46
"busy",53
"this",1587
"but",1202
"any",289
"next",301
"except",24
"wednesday",45
"listen",64
"what",1134
"they",728
"know",797
"bout",58
"put",120
"cuz",51
"jealousy",3
"song",126
"why",360
"sing",26
"rap",16
"hallway",3
"wow",136
"sounds",97
"bad",221
"houston",30
"visited",7
"once",86
"thought",129
"loved",62
"had",426
"internship",9
"every",208
"second",61
"lol",704
"cool",170
"national",44
"tv",95
"glasses",13
"no",773
"baked",8
"chicken",38
"walmart",11
"lot",128
"kids",85
"couldn't",53
"bc",37
"babysit",3
"sibs",1
"while",159
"mom",101
"went",99
"grrr",3
"comatose",1
"sleep",135
"kind",88
"whose",7
"going",504
"edgefest",1
"more",621
"importantly",2
"pit",7
"taking",75
"tests",12
"involved",14
"past",50
"weeks",50
"both",107
"certified",6
"hope",367
"pretty",155
"useful",4
"little",170
"site",50
"weep",4
"movies",38
"pulled",13
"stories",25
"thankful",23
"skype",14
"see",674
"edwin",1
"david",28
"peter",14
"talk",152
"falseteaching",1
"many",196
"thx",47
"everyone",264
"came",75
"our",584
"days",175
"event",86
"special",73
"members",18
"halloween",16
"puppy",8
"parade",13
"nandos",1
"rt",914
"puss",1
"nigga",44
"honestly",20
"should",371
"feel",233
"doingbut",1
"bbq",21
"battleship",1
"pitphi",1
"left",116
"degree",15
"weather",69
"orleans",8
"already",146
"support",108
"stephen",3
"colbert",2
"president",35
"speaking",30
"krio",1
"book",136
"saw",117
"interview",39
"other",195
"rehearsal",13
"bcs",4
"yooooo",1
"alabama",5
"roll",21
"tide",1
"let's",117
"off",359
"another",157
"filming",13
"may",203
"intern",4
"come",415
"agreement",4
"wake",33
"hip",12
"hop",12
"album",53
"since",109
"bias",3
"than",349
"mmxi",1
"ur",132
"rite",10
"calendars",3
"saysomethin",3
"can't",454
"dead",44
"coffee",74
"morning",258
"chiz",1
"stache",1
"plant",4
"boot",10
"dabo's",1
"won't",94
"timid",1
"underclassmen",1
"september",6
"st",118
"dome",1
"again",222
"introducing",3
"leroy",1
"neiman's",1
"moustache",1
"itself",12
"hour",85
"somewhere",19
"world",219
"rangers",20
"goal",29
"bring",83
"york",39
"jersey",18
"eastern",5
"conference",58
"finals",25
"devils",11
"weird",41
"rather",49
"post",83
"pics",33
"instagram",16
"very",252
"obama's",4
"announcement",3
"external",4
"validating",1
"relevancy",1
"sometimes",64
"might",122
"subscribed",3
"keep",220
"work",405
"shitters",1
"access",15
"summer",98
"picnic",3
"surprise",15
"after",242
"beat",62
"spiritual",3
"economicsfinancial",1
"peace",42
"prosperity",1
"uncertain",2
"times",89
"sunday",75
"sorry",161
"late",85
"dear",55
"dream",44
"most",188
"horrifying",2
"insect",1
"thinking",95
"exists",4
"warm",27
"forget",58
"drink",59
"plenty",10
"water",52
"wear",44
"sunscreen",3
"heat",34
"computers",9
"intelligentthey",1
"only",357
"hopes",6
"too",590
"early",88
"info",55
"buddy",24
"attend",13
"zendaya's",1
"ever",245
"concert",33
"cali",9
"woot",8
"woo",10
"anymore",51
"notes",8
"apus",1
"wide",9
"awake",17
"lives",27
"footprints",1
"hearts",9
"yes",246
"fucking",67
"sure",256
"interesting",68
"seth",6
"p",106
"level",22
"solving",2
"thinks",30
"save",42
"global",19
"warming",6
"group",40
"packed",15
"rack",3
"sorts",6
"goodies",5
"juicy",4
"couture",3
"kid",41
"biscotti",1
"zutano",1
"brand",22
"something",215
"superartfight",1
"troll",2
"face",82
"yellow",8
"card",40
"drank",5
"apple",26
"juice",16
"ghettogirlsmusthave",1
"chongos",1
"hairties",1
"ponytailsetc",1
"you'r",1
"needa",4
"yo'",1
"weave",2
"fight",45
"bitch",69
"adding",10
"knows",47
"hurt",39
"anything",112
"healthy",25
"vote",49
"ronpaul",2
"civil",5
"liberties",1
"instead",39
"complaining",5
"everyday",37
"feds",2
"mattock",1
"smoking",11
"heads",10
"sq",3
"ft",13
"commercial",23
"hvac",1
"smoked",4
"building",29
"pdrr",1
"man",254
"half",60
"naked",9
"her",339
"pictures",41
"internet",30
"eerily",2
"bright",14
"rainbow",8
"sprung",1
"window",12
"haven't",89
"seen",80
"beautiful",134
"years",126
"hear",156
"full",68
"dinner",77
"comfy",4
"chair",11
"motivation",16
"lincoln",6
"center",50
"encore",5
"kisses",7
"motion",9
"dancer",7
"want",469
"where",266
"deer",4
"hopefully",36
"changes",19
"evening",37
"hunt",9
"that's",347
"manly",2
"music",165
"remember",108
"battle",10
"soul",31
"republican",10
"party",112
"wasn't",51
"ha",83
"whatcha",2
"awful",22
"poor",25
"guy",123
"ohio",17
"trick",9
"treated",7
"neighborhood",17
"theres",16
"year",263
"indesign",2
"adobe",4
"tables",6
"table",24
"styles",7
"barely",9
"usable",2
"frustrating",7
"inconsistent",2
"quit",22
"tweeting",48
"diddy",2
"snoop",1
"cent",7
"daysmore",1
"lonely",8
"island",17
"kill",40
"kindness",5
"decent",6
"shape",8
"hard",148
"family",107
"rich",17
"wife",35
"claimed",2
"andre",7
"adrian",2
"brode",1
"rat",7
"packbut",1
"didn't",164
"heri",1
"buying",19
"gilette",1
"razor",2
"packers",11
"fans",88
"unacceptable",4
"let",243
"guys",228
"slow",24
"drive",57
"safe",43
"jules",1
"kinds",8
"loti",1
"agree",62
"looks",136
"we've",40
"disaster",6
"ff",52
"memories",26
"they're",85
"fading",1
"followers",112
"samesies",1
"wish",157
"weekend",226
"spend",35
"entire",29
"yolo",11
"sit",34
"laugh",26
"waist",2
"breath",17
"worthless",3
"mf",5
"thing",223
"fellow",17
"writersat",1
"least",96
"aren't",40
"stephaniemeyer",1
"literature",4
"yet",137
"sotiredcan't",1
"typefalling",1
"asleepgoodnight",1
"aspen",3
"tell",185
"said",178
"hi",95
"hahahaha",17
"hold",33
"ralph",5
"waldo",3
"emersonwhen",1
"says",97
"hain't",1
"money",115
"principle",1
"o'",4
"th'",1
"jobs",37
"move",75
"wi",6
"bankrupt",2
"il",6
"income",7
"taxes",12
"jump",19
"nearly",12
"secondhighest",1
"nation",12
"readers",8
"also",158
"engage",8
"conversation",24
"tomorrow",263
"behalf",4
"youth",13
"leaders",14
"everybody",49
"because",216
"awesome",256
"guymahomie",1
"guybelieber",1
"screwed",9
"interested",45
"joining",18
"us",523
"serve",10
"sweet",87
"during",62
"mother's",39
"festivities",4
"allgirls",1
"schools",13
"boys",55
"bathrooms",2
"welcome",123
"guest",16
"aecsm",1
"ron",18
"worth",53
"smps",1
"corn",9
"random",27
"you've",65
"smile",32
"heaven",14
"make",439
"pray",16
"holds",8
"photographer",5
"live",201
"blazerslakers",1
"pm",175
"blazers",6
"call",203
"statement",13
"truth",31
"gone",53
"th",218
"tweet",191
"counting",15
"pumped",18
"video",115
"fish",22
"chips",6
"rockies",5
"killer",18
"freddie",3
"freeman",1
"does",193
"shot",48
"field",40
"nicasio",1
"i've",220
"intense",10
"happen",60
"discuss",13
"lazer",1
"frenzy",2
"lunch",89
"gotta",119
"yo",66
"guard",7
"word",110
"punt",5
"interception",1
"plus",34
"kevin",15
"turner",2
"chap",1
"lips",5
"painful",6
"looking",268
"living",34
"watching",222
"old",176
"moses",1
"rameses",1
"theme",13
"s",51
"reminded",5
"meghan",1
"prohibition",2
"correct",17
"done",175
"dark",25
"store",48
"buy",95
"comics",6
"favorite",120
"planet",15
"conversing",1
"missing",41
"xoxox",4
"probably",93
"bipolar",2
"oc",4
"those",204
"cenantua's",1
"blog",72
"fb",55
"page",63
"far",88
"em",40
"whoever",11
"veryy",1
"lucky",61
"killed",35
"delighted",2
"provides",6
"downloadable",1
"backups",2
"resourcehog",1
"plugins",2
"meeting",76
"thatdelightfullist",1
"digest",2
"you're",324
"realized",39
"mistake",14
"following",117
"though",156
"join",68
"lxchat",1
"monday",75
"reverse",6
"jinx",3
"jealous",32
"later",76
"clear",33
"conscience",4
"usually",28
"sign",63
"memory",15
"chinese",11
"version",26
"google",59
"called",89
"googre",1
"keeping",24
"till",62
"amha",1
"practice",27
"bit",59
"stand",34
"beside",4
"even",284
"you'll",67
"hurts",30
"wiunion",2
"mt",43
"none",13
"judged",6
"clueless",3
"shit",193
"did",428
"hs",9
"adults",10
"however",17
"pro",23
"awkward",35
"situations",2
"imslightlyjealous",1
"lighting",7
"controls",3
"unoccupied",2
"home",256
"occupied",1
"light",46
"path",15
"entry",11
"studied",1
"mentions",13
"hardest",5
"figuring",7
"difference",23
"between",39
"friendship",7
"lmaoawww",1
"geez",4
"ma",17
"would",528
"able",46
"pendulum",2
"answers",13
"questions",50
"types",9
"power",50
"letting",26
"eat",77
"french",17
"fries",10
"making",115
"give",186
"return",29
"romans",3
"interpreted",1
"yanks",5
"forever",38
"lady",54
"together",75
"better",322
"lapse",2
"judgement",1
"entitled",3
"yr",34
"gi",1
"joe",14
"cuts",7
"happenin",1
"ok",114
"shout",49
"follower",26
"scratch",5
"anyone",137
"meet",106
"pronto",2
"send",74
"samples",5
"congrats",97
"step",33
"share",54
"budget",15
"range",6
"plan",55
"ahead",30
"w",171
"phased",2
"approach",8
"percentages",1
"tired",72
"verge",3
"greatness",5
"traveling",6
"interviews",12
"musicians",8
"vw",1
"favors",5
"mexico",14
"audi",2
"volkswagen",1
"leaning",2
"toward",3
"factory",9
"premium",7
"parent",4
"co",19
"encounter",4
"dumbass",5
"wwwkingoffittedscom",1
"rochester",5
"red",66
"wings",11
"fitteds",1
"custom",19
"colors",8
"drupalgov",1
"state",80
"nc",13
"nike",7
"teams",21
"biggest",32
"hotbeds",1
"talent",26
"g",23
"nate",5
"try",155
"guava",1
"candy",22
"brought",23
"guysfrom",1
"pittsburgh",8
"november",13
"tryin",5
"comfortable",8
"workin",6
"normal",16
"flirting",2
"cuite",1
"were",265
"lemon",10
"everything",123
"taste",30
"nutella",8
"oo",12
"mcgrady",1
"relevant",10
"enough",107
"tt",4
"using",68
"myspace",4
"darwin",1
"gay",35
"matter",52
"wait",252
"wichita",1
"hours",103
"political",11
"sincere",3
"q",34
"abt",12
"decisions",17
"gingrich",5
"voters",6
"responding",3
"working",183
"neighbors",8
"i'll",234
"campaign",16
"office",62
"missed",66
"flash",7
"nanny",2
"boo",29
"stick",16
"doo",4
"goes",78
"through",117
"win",160
"argument",8
"winning",26
"yall",20
