"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.","fields","and","platforms","were","named","c(2006, 2012, 2008)","c(1, 1, 1)","c(974, 974, 974)","c(2, 939, 30)","c(1953, 1959, 1955)","c(156, 165, 539)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.152272727272728, 0.155681818181818, 0.297348484848481)",0.0200000000000031,FALSE
"2","We love you Mr. Brown.","we","love","you","mr","brown","c(2108, 2110, 2115)","c(1, 1, 1)","c(1009, 1009, 1009)","c(396, 478, 896)","c(2053, 2055, 2060)","c(149, 275, 311)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.149621212121213, 0.197348484848484, 0.210984848484847)",0.00999999999999801,FALSE
"3","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","from","his","birthday","he","has","c(780, 779, 785)","c(1, 1, 1)","c(385, 385, 385)","c(661, 609, 1021)","c(767, 766, 771)","c(295, 1010, 203)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)","c(0.204924242424241, 0.475757575757566, 0.171528588098017)",0.019999999999996,FALSE
"4","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","inspiration","that","i","have","been","c(3110, 3106, 3186)","c(1, 1, 1)","c(2574, 2574, 2606)","c(848, 72, 789)","c(3096, 3092, 3170)","c(160, 1036, 406)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.153787878787879, 0.485606060606051, 0.246969696969694)",0.0600000000000023,FALSE
"5","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","life","i","stamped","the","images","c(1720, 1692, 1724)","c(1, 1, 1)","c(876, 876, 876)","c(776, 470, 845)","c(1678, 1652, 1682)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.159469696969697, 0.17310606060606, 0.174621212121212)",0.0200000000000031,FALSE
"6","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.","to","buy","stuff","it","could","c(955, 964, 965)","c(1, 1, 1)","c(462, 462, 462)","c(422, 858, 956)","c(935, 943, 944)","c(196, 435, 793)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.167424242424242, 0.257954545454543, 0.393560606060599)",0.00999999999999801,FALSE
"7","State contracts worth over 100 MILLION ringgit!","state","contracts","worth","over","","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"8","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.",NA,NA,"we","attend","our","c(1986, 1989, 1979)","c(1, 1, 1)","c(959, 959, 959)","c(867, 1021, 72)","c(1933, 1936, 1926)","c(314, 347, 369)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.212121212121211, 0.22462121212121, 0.232954545454543)",0.019999999999996,FALSE
"9","Fallout by Ellen Hopkins (p.1-140)","fallout","by","ellen","hopkins","p","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"10","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","more","likely","refuse","the","group","c(1720, 1692, 1724)","c(1, 1, 1)","c(876, 876, 876)","c(776, 470, 845)","c(1678, 1652, 1682)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.159469696969697, 0.17310606060606, 0.174621212121212)",0.0200000000000031,FALSE
"11","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","my","first","russian","novel","in","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"12","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","of","it","than","anything","but","c(223, 1610, 1611)","c(1, 1, 1)","c(51, 872, 872)","c(146, 254, 478)","c(218, 1572, 1573)","c(598, 228, 382)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)","c(0.319696969696965, 0.179545454545454, 0.275962660443409)",0.0300000000000011,FALSE
"13","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","them","since","this","and","i","c(2508, 2543, 2505)","c(1, 1, 1)","c(2232, 2232, 2232)","c(1116, 957, 447)","c(2503, 2537, 2500)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.168939393939394, 0.203030303030302, 0.215530303030301)",0.0500000000000043,FALSE
"14","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","a","book","is","always","better","c(125, 933, 940)","c(1, 1, 1)","c(35, 459, 459)","c(2, 34, 472)","c(123, 914, 921)","c(386, 276, 639)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.239393939393937, 0.197727272727272, 0.335227272727268)",0.029999999999994,FALSE
"15","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","opportunity","to","meet","new","people","c(1189, 1188, 1190)","c(1, 1, 1)","c(614, 614, 614)","c(481, 152, 512)","c(1164, 1163, 1165)","c(108, 341, 725)","c(0.00058343057176196, 0.00058343057176196, 0.00058343057176196)","c(0.11610268378063, 0.252042007001169, 0.476079346557764)",0.0200000000000031,FALSE
"16","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","was","unconstitutional","and","fitted","the","c(169, 204, 166)","c(1, 1, 1)","c(42, 42, 42)","c(491, 918, 434)","c(165, 199, 162)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.168939393939394, 0.203030303030302, 0.215530303030301)",0.00999999999999801,FALSE
"17","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","to","the","value","of","k","c(1246, 1249, 1247)","c(1, 1, 1)","c(634, 634, 634)","c(422, 594, 478)","c(1218, 1221, 1219)","c(163, 185, 195)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.154924242424243, 0.163257575757576, 0.167045454545454)",0.0300000000000011,FALSE
"18","It's a sickening feeling.",NA,NA,NA,"it's","a","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"19","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","a","mess","after","working","on","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"20","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","and","ministry","they","may","truly","c(1109, 1768, 1767)","c(1, 1, 1)","c(561, 884, 884)","c(34, 801, 619)","c(1085, 1725, 1724)","c(1021, 230, 890)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.479924242424233, 0.18030303030303, 0.430303030303022)",0.029999999999994,FALSE
"21","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","too","nice","to","tell","the","c(1865, 1833, 1876)","c(1, 1, 1)","c(898, 898, 898)","c(848, 257, 945)","c(1816, 1785, 1825)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.164393939393939, 0.193560606060605, 0.201893939393938)",0.0200000000000031,FALSE
"22","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!","in","terms","of","traditional","instruments","c(1246, 1249, 1247)","c(1, 1, 1)","c(634, 634, 634)","c(422, 594, 478)","c(1218, 1221, 1219)","c(163, 185, 195)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.154924242424243, 0.163257575757576, 0.167045454545454)",0.00999999999999801,FALSE
"23","could be added to the gallery wall.",NA,NA,NA,"could","be","c(491, 490)","c(1, 1)","c(209, 209)","c(837, 34)","c(485, 484)","c(339, 702)","c(0.00058343057176196, 0.00058343057176196)","c(0.250875145857645, 0.462660443407239)",0,FALSE
"24","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","the","band","who","play","both","c(2037, 2036, 2040)","c(1, 1, 1)","c(982, 982, 982)","c(532, 500, 623)","c(1984, 1983, 1987)","c(339, 571, 613)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.221590909090907, 0.309469696969693, 0.325378787878783)",0,FALSE
"25","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","modelturnedactress","rosie","huntingtonwhiteley","jazz","artist","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"26","M. Blakeman Ingle",NA,NA,"m","blakeman","ingle","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"27","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","making","their","own","entertainment","in","c(1357, 1355, 1356)","c(1, 1, 1)","c(662, 662, 662)","c(465, 295, 320)","c(1321, 1319, 1320)","c(260, 373, 524)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.191666666666666, 0.234469696969695, 0.291666666666663)",0.0300000000000011,FALSE
"28","In shrouds of words,",NA,"in","shrouds","of","words","c(1246, 1249, 1247)","c(1, 1, 1)","c(634, 634, 634)","c(422, 594, 478)","c(1218, 1221, 1219)","c(163, 185, 195)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.154924242424243, 0.163257575757576, 0.167045454545454)",0.00999999999999801,FALSE
"29","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","the","most","famous","","costume","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"30","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!",NA,"tomorrow","only","may","","c(1109, 1309, 1311)","c(1, 1, 1)","c(561, 646, 646)","c(34, 386, 964)","c(1085, 1274, 1276)","c(1021, 204, 500)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.479924242424233, 0.170454545454545, 0.282575757575754)",0,FALSE
