"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","timeToPredict","Correct","prediction8"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.","of","the","oil","fields","and","NA","NA","NA","NA","NA","NA","NA",0.019999999999996,FALSE,NA
"2","We love you Mr. Brown.",NA,NA,NA,"we","love","c(4081, 4087, 4064)","c(1, 1, 1)","c(1762, 1762, 1762)","c(1560, 1859, 108)","c(3939, 3945, 3923)","c(314, 347, 369)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.212121212121211, 0.22462121212121, 0.232954545454543)"
"3","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","watch","his","reaction","when","he","c(4138, 4142, 4143)","c(1, 1, 1)","c(1786, 1786, 1786)","c(46, 1080, 1606)","c(3995, 3998, 3999)","c(248, 506, 241)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.0399999999999991,FALSE,"c(0.187121212121211, 0.284848484848481, 0.193698949824972)"
"4","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","away","ready","to","come","to","c(5349, 5348, 5346)","c(1, 1, 1)","c(4342, 4342, 4342)","c(1665, 1599, 2)","c(5310, 5309, 5307)","c(319, 714, 1023)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.21401515151515, 0.363636363636358, 0.480681818181809)"
"5","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","occasion","that","brings","on","a","c(2591, 2578, 2601)","c(1, 1, 1)","c(1116, 1116, 1116)","c(1483, 636, 1698)","c(2501, 2488, 2509)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0500000000000043,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"6","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.","will","blame","it","on","capitalism","c(2591, 2578, 2601)","c(1, 1, 1)","c(1116, 1116, 1116)","c(1483, 636, 1698)","c(2501, 2488, 2509)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"7","State contracts worth over 100 MILLION ringgit!",NA,"state","contracts","worth","over","4271","1","1831","1626","4124","1234","0.000378787878787879",0,FALSE,"0.560606060606049"
"8","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","wedding","","such","a","joy","c(4464, 4507, 4486)","c(1, 1, 1)","c(4030, 4030, 4030)","c(151, 684, 322)","c(4457, 4494, 4475)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.152651515151516, 0.162121212121212, 0.181060606060606)"
"9","Fallout by Ellen Hopkins (p.1-140)",NA,"fallout","by","ellen","hopkins","c(750, 754, 762)","c(1, 1, 1)","c(230, 230, 230)","c(904, 1107, 1836)","c(719, 723, 730)","c(168, 225, 355)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.156818181818182, 0.17840909090909, 0.227651515151513)"
"10","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","tens","of","thousands","die","think","c(8150, 3767)","c(1, 1)","c(5662, 3421)","c(1070, 1746)","c(8031, 3761)","c(817, 800)","c(0.00058343057176196, 0.000613873542050338)",0.0200000000000031,FALSE,"c(0.529754959159862, 0.49355432780847)"
"11","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","job","secondly","i","finally","began","c(1713, 1724, 1685)","c(1, 1, 1)","c(761, 761, 761)","c(1340, 1778, 429)","c(1652, 1663, 1629)","c(406, 433, 711)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.029999999999994,FALSE,"c(0.246969696969694, 0.257196969696967, 0.362499999999994)"
"12","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!",NA,"i","was","hoping","howie","c(8489, 8480, 8499)","c(1, 1, 1)","c(5782, 5782, 5782)","c(757, 108, 1556)","c(8344, 8335, 8354)","c(474, 531, 534)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.272727272727269, 0.294318181818178, 0.295454545454542)"
"13","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","my","mom","was","on","the","c(7052, 7039, 7062)","c(1, 1, 1)","c(5144, 5144, 5144)","c(1422, 1828, 1624)","c(6955, 6942, 6963)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0700000000000003,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"14","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.",NA,NA,NA,"point","","2781:2782","c(1, 1)","c(1203, 1203)","c(114, 804)","2686:2687","c(1025, 1692)","c(0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.481439393939384, 0.734090909090892)"
"15","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","will","self","control","and","the","c(322, 381, 316)","c(1, 1, 1)","c(71, 71, 71)","c(870, 1670, 782)","c(305, 361, 299)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.168939393939394, 0.203030303030302, 0.215530303030301)"
"16","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.",NA,NA,NA,"the","anc","c(3551, 3491, 3566)","c(1, 1, 1)","c(1608, 1608, 1608)","c(1381, 831, 1521)","c(3442, 3385, 3456)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.019999999999996,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"17","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","strikers","attended","the","companyfunded","xmas","c(3551, 3491, 3566)","c(1, 1, 1)","c(1608, 1608, 1608)","c(1381, 831, 1521)","c(3442, 3385, 3456)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"18","It's a sickening feeling.",NA,NA,NA,"it's","a","c(1907, 1909, 1908)","c(1, 1, 1)","c(829, 829, 829)","c(609, 1761, 1131)","c(1838, 1840, 1839)","c(2094, 986, 1215)","c(0.000378787878787879, 0.00058343057176196, 0.00058343057176196)",0.00999999999999801,FALSE,"c(0.886363636363615, 0.628354725787625, 0.761960326721103)"
