"","trainSampNos"
"1",2
"2",3
"3",4
"4",6
"5",7
"6",8
"7",9
"8",10
"9",11
"10",13
"11",14
"12",17
"13",18
"14",25
"15",29
"16",31
"17",32
"18",33
"19",40
"20",41
"21",42
"22",43
"23",45
"24",47
"25",48
"26",49
"27",50
"28",51
"29",52
"30",53
"31",54
"32",55
"33",56
"34",57
"35",58
"36",60
"37",61
"38",68
"39",71
"40",74
"41",76
"42",77
"43",80
"44",81
"45",83
"46",89
"47",90
"48",93
"49",95
"50",96
"51",98
"52",100
"53",101
"54",102
"55",103
"56",105
"57",106
"58",107
"59",108
"60",109
"61",110
"62",113
"63",114
"64",116
"65",119
"66",121
"67",122
"68",123
"69",124
"70",126
"71",127
"72",133
"73",134
"74",135
"75",136
"76",137
"77",139
"78",140
"79",142
"80",144
"81",146
"82",147
"83",148
"84",150
"85",152
"86",153
"87",156
"88",158
"89",159
"90",160
"91",162
"92",164
"93",166
"94",167
"95",168
"96",169
"97",172
"98",174
"99",176
"100",177
"101",178
"102",179
"103",180
"104",181
"105",183
"106",184
"107",186
"108",188
"109",189
"110",191
"111",192
"112",193
"113",194
"114",195
"115",196
"116",197
"117",198
"118",200
"119",201
"120",202
"121",203
"122",206
"123",207
"124",208
"125",209
"126",210
"127",211
"128",216
"129",217
"130",220
"131",221
"132",223
"133",224
"134",225
"135",226
"136",228
"137",229
"138",230
"139",232
"140",234
"141",238
"142",241
"143",242
"144",243
"145",244
"146",246
"147",249
"148",250
"149",255
"150",256
"151",257
"152",258
"153",259
"154",260
"155",262
"156",263
"157",264
"158",265
"159",266
"160",268
"161",269
"162",270
"163",271
"164",277
"165",279
"166",283
"167",284
"168",286
"169",287
"170",289
"171",294
"172",295
"173",296
"174",299
"175",300
"176",302
"177",303
"178",304
"179",306
"180",307
"181",308
"182",311
"183",314
"184",316
"185",317
"186",318
"187",319
"188",321
"189",322
"190",324
"191",325
"192",326
"193",328
"194",329
"195",330
"196",333
"197",335
"198",336
"199",337
"200",339
"201",341
"202",342
"203",347
"204",349
"205",350
"206",352
"207",353
"208",354
"209",355
"210",356
"211",358
"212",359
"213",360
"214",362
"215",366
"216",367
"217",368
"218",369
"219",371
"220",373
"221",374
"222",376
"223",377
"224",378
"225",379
"226",380
"227",382
"228",386
"229",388
"230",390
"231",392
"232",393
"233",394
"234",395
"235",397
"236",399
"237",401
"238",402
"239",404
"240",405
"241",406
"242",408
"243",409
"244",410
"245",411
"246",412
"247",413
"248",414
"249",415
"250",416
"251",417
"252",419
"253",420
"254",422
"255",423
"256",424
"257",427
"258",429
"259",430
"260",431
"261",433
"262",434
"263",435
"264",436
"265",440
"266",441
"267",442
"268",443
"269",444
"270",447
"271",448
"272",450
"273",451
"274",454
"275",457
"276",458
"277",459
"278",460
"279",462
"280",464
"281",465
"282",466
"283",467
"284",468
"285",469
"286",471
"287",472
"288",473
"289",478
"290",479
"291",480
"292",482
"293",484
"294",485
"295",486
"296",487
"297",489
"298",490
"299",491
"300",495
"301",498
"302",499
"303",505
"304",509
"305",510
"306",511
"307",512
"308",514
"309",515
"310",516
"311",517
"312",520
"313",523
"314",525
"315",527
"316",528
"317",529
"318",530
"319",532
"320",534
"321",536
"322",538
"323",542
"324",543
"325",547
"326",548
"327",550
"328",551
"329",552
"330",553
"331",556
"332",557
"333",558
"334",559
"335",560
"336",561
"337",562
"338",563
"339",564
"340",565
"341",567
"342",572
"343",574
"344",575
"345",576
"346",579
"347",582
"348",583
"349",584
"350",587
"351",589
"352",591
"353",593
"354",595
"355",598
"356",600
"357",601
"358",602
"359",603
"360",604
"361",605
"362",606
"363",607
"364",609
"365",610
"366",611
"367",612
"368",613
"369",614
"370",615
"371",617
"372",619
"373",621
"374",627
"375",628
"376",629
"377",630
"378",631
"379",634
"380",635
"381",636
"382",638
"383",639
"384",640
"385",643
"386",644
"387",646
"388",647
"389",649
"390",650
"391",653
"392",654
"393",656
"394",657
"395",658
"396",660
"397",662
"398",667
"399",668
"400",669
"401",670
"402",672
"403",673
"404",675
"405",676
"406",678
"407",680
"408",681
"409",682
"410",683
"411",684
"412",685
"413",687
"414",688
"415",690
"416",691
"417",692
"418",693
"419",694
"420",695
"421",697
"422",700
"423",701
"424",702
"425",704
"426",705
"427",707
"428",709
"429",710
"430",711
"431",713
"432",715
"433",717
"434",718
"435",721
"436",722
"437",724
"438",726
"439",727
"440",730
"441",731
"442",732
"443",733
"444",735
"445",736
"446",737
"447",739
"448",740
"449",742
"450",743
"451",745
"452",747
"453",750
"454",751
"455",754
"456",755
"457",757
"458",759
"459",761
"460",762
"461",763
"462",764
"463",765
"464",766
"465",767
"466",771
"467",772
"468",774
"469",777
"470",778
"471",779
"472",780
"473",781
"474",783
"475",785
"476",786
"477",788
"478",789
"479",790
"480",791
"481",793
"482",794
"483",795
"484",796
"485",801
"486",804
"487",805
"488",806
"489",807
"490",809
"491",810
"492",811
"493",812
"494",813
"495",814
"496",818
"497",819
"498",822
"499",823
"500",825
"501",829
"502",830
"503",834
"504",837
"505",838
"506",839
"507",840
"508",843
"509",844
"510",845
"511",846
"512",847
"513",848
"514",849
"515",850
"516",851
"517",852
"518",854
"519",855
"520",857
"521",859
"522",862
"523",863
"524",864
"525",865
"526",867
"527",868
"528",869
"529",871
"530",873
"531",874
"532",876
"533",878
"534",879
"535",880
"536",882
"537",884
"538",886
"539",887
"540",889
"541",890
"542",892
"543",893
"544",894
"545",896
"546",897
"547",900
"548",902
"549",903
"550",904
"551",905
"552",906
"553",908
"554",909
"555",910
"556",911
"557",912
"558",913
"559",914
"560",921
"561",924
"562",928
"563",929
"564",930
"565",931
"566",935
"567",936
"568",937
"569",938
"570",939
"571",940
"572",941
"573",942
"574",943
"575",944
"576",945
"577",946
"578",947
"579",948
"580",950
"581",951
"582",952
"583",953
"584",954
"585",955
"586",956
"587",957
"588",958
"589",959
"590",960
"591",961
"592",963
"593",964
"594",966
"595",970
"596",974
"597",976
"598",977
"599",979
"600",981
"601",983
"602",984
"603",986
"604",987
"605",988
"606",989
"607",990
"608",993
"609",994
"610",995
"611",996
"612",998
"613",999
"614",1000
"615",1001
"616",1002
"617",1003
"618",1005
"619",1006
"620",1010
"621",1011
"622",1012
"623",1013
"624",1015
"625",1021
"626",1023
"627",1024
"628",1025
"629",1026
"630",1029
"631",1030
"632",1031
"633",1034
"634",1035
"635",1037
"636",1039
"637",1040
"638",1041
"639",1044
"640",1045
"641",1052
"642",1055
"643",1056
"644",1057
"645",1058
"646",1059
"647",1061
"648",1062
"649",1065
"650",1067
"651",1068
"652",1069
"653",1070
"654",1071
"655",1073
"656",1074
"657",1075
"658",1076
"659",1077
"660",1078
"661",1079
"662",1080
"663",1081
"664",1082
"665",1083
"666",1086
"667",1091
"668",1092
"669",1093
"670",1096
"671",1098
"672",1099
"673",1100
"674",1101
"675",1102
"676",1103
"677",1105
"678",1106
"679",1107
"680",1108
"681",1112
"682",1114
"683",1116
"684",1119
"685",1120
"686",1122
"687",1123
"688",1127
"689",1128
"690",1129
"691",1130
"692",1131
"693",1134
"694",1136
"695",1137
"696",1139
"697",1140
"698",1141
"699",1142
"700",1143
"701",1144
"702",1147
"703",1148
"704",1150
"705",1151
"706",1155
"707",1156
"708",1157
"709",1159
"710",1160
"711",1162
"712",1163
"713",1164
"714",1165
"715",1169
"716",1172
"717",1173
"718",1175
"719",1176
"720",1178
"721",1179
"722",1181
"723",1183
"724",1184
"725",1185
"726",1186
"727",1187
"728",1188
"729",1190
"730",1191
"731",1193
"732",1194
"733",1195
