"","count","basis","prediction","word","rowCount","freq","cumFreq"
"in+the",6,"in","the","in+the",1,0.00530503978779841,0.00530503978779841
"of+the",4,"of","the","of+the",2,0.00353669319186561,0.00884173297966401
"you+do",4,"you","do","you+do",3,0.00353669319186561,0.0123784261715296
"i+have",3,"i","have","i+have",4,0.0026525198938992,0.0150309460654288
"on+the",3,"on","the","on+the",5,0.0026525198938992,0.017683465959328
"the+images",3,"the","images","the+images",6,0.0026525198938992,0.0203359858532272
"it+could",3,"it","could","it+could",7,0.0026525198938992,0.0229885057471264
"could+be",3,"could","be","could+be",8,0.0026525198938992,0.0256410256410256
"of+all",3,"of","all","of+all",9,0.0026525198938992,0.0282935455349248
"with+the",3,"with","the","with+the",10,0.0026525198938992,0.030946065428824
"your+own",3,"your","own","your+own",11,0.0026525198938992,0.0335985853227233
"do+this",3,"do","this","do+this",12,0.0026525198938992,0.0362511052166225
"as+a",3,"as","a","as+a",13,0.0026525198938992,0.0389036251105217
"i+was",3,"i","was","i+was",14,0.0026525198938992,0.0415561450044209
"and+i",3,"and","i","and+i",15,0.0026525198938992,0.0442086648983201
"i+am",2,"i","am","i+am",16,0.0017683465959328,0.0459770114942529
"that+i",2,"that","i","that+i",17,0.0017683465959328,0.0477453580901857
"to+come",2,"to","come","to+come",18,0.0017683465959328,0.0495137046861185
"our+home",2,"our","home","our+home",19,0.0017683465959328,0.0512820512820513
"out+with",2,"out","with","out+with",20,0.0017683465959328,0.0530503978779841
"on+a",2,"on","a","on+a",21,0.0017683465959328,0.0548187444739169
"need+to",2,"need","to","need+to",22,0.0017683465959328,0.0565870910698497
"to+do",2,"to","do","to+do",23,0.0017683465959328,0.0583554376657825
"if+you",2,"if","you","if+you",24,0.0017683465959328,0.0601237842617153
"and+as",2,"and","as","and+as",25,0.0017683465959328,0.0618921308576481
"about+a",2,"about","a","about+a",26,0.0017683465959328,0.0636604774535809
"because+of",2,"because","of","because+of",27,0.0017683465959328,0.0654288240495137
"of+it",2,"of","it","of+it",28,0.0017683465959328,0.0671971706454465
"how+many",2,"how","many","how+many",29,0.0017683465959328,0.0689655172413793
"it+will",2,"it","will","it+will",30,0.0017683465959328,0.0707338638373121
"and+they",2,"and","they","and+they",31,0.0017683465959328,0.0725022104332449
"very+bad",2,"very","bad","very+bad",32,0.0017683465959328,0.0742705570291777
"a+lot",2,"a","lot","a+lot",33,0.0017683465959328,0.0760389036251105
"lot+of",2,"lot","of","lot+of",34,0.0017683465959328,0.0778072502210433
"as+an",2,"as","an","as+an",35,0.0017683465959328,0.0795755968169761
"an+impetus",2,"an","impetus","an+impetus",36,0.0017683465959328,0.0813439434129089
"be+a",2,"be","a","be+a",37,0.0017683465959328,0.0831122900088418
"all+the",2,"all","the","all+the",38,0.0017683465959328,0.0848806366047746
