"","count","basis","prediction","word","rowCount","freq","cumFreq"
"in+the+years+thereafter",1,"in+the+years","thereafter","in+the+years+thereafter",1,0.000945179584120983,0.000945179584120983
"the+years+thereafter+most",1,"the+years+thereafter","most","the+years+thereafter+most",2,0.000945179584120983,0.00189035916824197
"years+thereafter+most+of",1,"years+thereafter+most","of","years+thereafter+most+of",3,0.000945179584120983,0.00283553875236295
"thereafter+most+of+the",1,"thereafter+most+of","the","thereafter+most+of+the",4,0.000945179584120983,0.00378071833648393
"most+of+the+oil",1,"most+of+the","oil","most+of+the+oil",5,0.000945179584120983,0.00472589792060491
"of+the+oil+fields",1,"of+the+oil","fields","of+the+oil+fields",6,0.000945179584120983,0.0056710775047259
"the+oil+fields+and",1,"the+oil+fields","and","the+oil+fields+and",7,0.000945179584120983,0.00661625708884688
"oil+fields+and+platforms",1,"oil+fields+and","platforms","oil+fields+and+platforms",8,0.000945179584120983,0.00756143667296786
"fields+and+platforms+were",1,"fields+and+platforms","were","fields+and+platforms+were",9,0.000945179584120983,0.00850661625708885
"and+platforms+were+named",1,"and+platforms+were","named","and+platforms+were+named",10,0.000945179584120983,0.00945179584120983
"platforms+were+named+after",1,"platforms+were+named","after","platforms+were+named+after",11,0.000945179584120983,0.0103969754253308
"were+named+after+pagan",1,"were+named+after","pagan","were+named+after+pagan",12,0.000945179584120983,0.0113421550094518
"named+after+pagan+gods",1,"named+after+pagan","gods","named+after+pagan+gods",13,0.000945179584120983,0.0122873345935728
"so+anyways+i+am",1,"so+anyways+i","am","so+anyways+i+am",14,0.000945179584120983,0.0132325141776938
"anyways+i+am+going",1,"anyways+i+am","going","anyways+i+am+going",15,0.000945179584120983,0.0141776937618147
"i+am+going+to",1,"i+am+going","to","i+am+going+to",16,0.000945179584120983,0.0151228733459357
"am+going+to+share",1,"am+going+to","share","am+going+to+share",17,0.000945179584120983,0.0160680529300567
"going+to+share+some",1,"going+to+share","some","going+to+share+some",18,0.000945179584120983,0.0170132325141777
"to+share+some+home",1,"to+share+some","home","to+share+some+home",19,0.000945179584120983,0.0179584120982987
"share+some+home+decor",1,"share+some+home","decor","share+some+home+decor",20,0.000945179584120983,0.0189035916824197
"some+home+decor+inspiration",1,"some+home+decor","inspiration","some+home+decor+inspiration",21,0.000945179584120983,0.0198487712665406
"home+decor+inspiration+that",1,"home+decor+inspiration","that","home+decor+inspiration+that",22,0.000945179584120983,0.0207939508506616
"decor+inspiration+that+i",1,"decor+inspiration+that","i","decor+inspiration+that+i",23,0.000945179584120983,0.0217391304347826
"inspiration+that+i+have",1,"inspiration+that+i","have","inspiration+that+i+have",24,0.000945179584120983,0.0226843100189036
"that+i+have+been",1,"that+i+have","been","that+i+have+been",25,0.000945179584120983,0.0236294896030246
"i+have+been+storing",1,"i+have+been","storing","i+have+been+storing",26,0.000945179584120983,0.0245746691871455
"have+been+storing+in",1,"have+been+storing","in","have+been+storing+in",27,0.000945179584120983,0.0255198487712665
"been+storing+in+my",1,"been+storing+in","my","been+storing+in+my",28,0.000945179584120983,0.0264650283553875
"storing+in+my+folder",1,"storing+in+my","folder","storing+in+my+folder",29,0.000945179584120983,0.0274102079395085
"in+my+folder+on",1,"in+my+folder","on","in+my+folder+on",30,0.000945179584120983,0.0283553875236295
"my+folder+on+the",1,"my+folder+on","the","my+folder+on+the",31,0.000945179584120983,0.0293005671077505
"folder+on+the+puter",1,"folder+on+the","puter","folder+on+the+puter",32,0.000945179584120983,0.0302457466918714
"on+the+puter+i",1,"on+the+puter","i","on+the+puter+i",33,0.000945179584120983,0.0311909262759924
"the+puter+i+have",1,"the+puter+i","have","the+puter+i+have",34,0.000945179584120983,0.0321361058601134
